Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
07-43-34,2.563,4.000,0.949,1.000,5.368,5.855,0.524,0.436,0.533,0.334,0.001,0.006,-0.030,0.114,0.179,0.975,23.098,9.426,79.530,-0.381,-0.104,-0.880,34.767,4.959,-32.786,-33.271,6.541,-27.093,-0.103,0.180,0.976,-0.126,0.179,0.973,,11,roller
07-43-35,1.404,4.000,0.666,0.821,4.260,4.559,0.478,0.516,0.491,0.416,0.004,0.004,-0.027,-0.011,-0.080,0.978,15.509,7.010,49.031,-0.556,0.254,-0.498,35.550,5.085,-37.339,-32.565,5.242,-26.812,0.020,-0.082,0.828,0.002,-0.075,0.825,,11,roller
07-43-36,3.218,4.000,0.581,0.790,5.152,5.447,0.453,0.582,0.471,0.487,0.005,0.004,-0.031,-0.086,-0.352,0.932,2.724,18.095,38.767,-0.821,-0.007,-0.549,36.020,3.166,-33.830,-32.290,4.271,-27.493,0.085,-0.348,0.933,0.087,-0.357,0.930,,11,roller
07-43-37,0.976,4.000,0.627,0.786,4.130,4.394,0.449,0.557,0.464,0.463,0.004,0.003,-0.025,-0.104,-0.226,0.961,-13.110,18.015,21.234,-0.566,-0.401,-0.259,35.999,3.622,-33.764,-32.245,4.707,-27.514,0.105,-0.218,0.786,0.103,-0.233,0.782,,11,roller
07-43-38,3.156,4.000,0.962,0.969,5.312,5.486,0.446,0.520,0.460,0.427,0.017,0.004,-0.032,-0.136,-0.140,0.980,-34.548,14.614,10.934,-0.564,-0.579,-0.584,36.033,4.049,-33.798,-32.103,5.191,-27.699,0.137,-0.138,0.980,0.127,-0.137,0.981,,11,roller
07-43-39,2.868,4.000,0.843,0.870,4.252,4.369,0.452,0.531,0.466,0.433,0.017,0.004,-0.029,-0.102,-0.148,0.981,-41.708,5.822,-7.366,-0.284,-0.280,-0.628,35.931,3.944,-33.919,-32.237,5.292,-28.108,0.099,-0.137,0.831,0.091,-0.142,0.831,,11,roller
07-43-40,2.268,4.000,0.666,0.703,3.957,4.269,0.438,0.538,0.445,0.437,0.008,0.004,-0.027,-0.140,-0.168,0.970,-40.305,6.986,-29.655,0.334,-0.074,-0.584,36.196,4.002,-34.017,-31.915,5.405,-28.546,0.132,-0.159,0.785,0.140,-0.173,0.813,,11,roller
07-43-41,1.348,4.000,0.443,0.614,3.848,3.943,0.441,0.563,0.444,0.467,0.004,0.003,-0.024,-0.122,-0.227,0.955,-21.188,9.094,-40.325,0.682,-0.254,0.049,36.038,3.683,-34.193,-31.918,4.979,-28.623,0.126,-0.224,0.757,0.130,-0.246,0.749,,11,roller
07-43-42,1.400,4.000,0.693,0.835,5.156,5.334,0.404,0.532,0.418,0.433,0.009,0.005,-0.032,-0.258,-0.191,0.938,-6.855,8.954,-46.295,0.366,-0.409,0.723,36.701,4.027,-34.300,-31.416,5.383,-28.320,0.263,-0.175,0.940,0.254,-0.192,0.938,,11,roller
07-43-43,4.008,4.000,0.998,0.993,4.960,5.181,0.454,0.492,0.468,0.389,0.004,0.005,-0.031,-0.104,-0.039,0.991,-0.118,5.812,-22.344,-0.024,-0.063,0.997,35.925,4.696,-34.642,-32.249,5.766,-27.090,0.102,-0.043,0.991,0.096,-0.038,0.992,,11,roller
07-43-44,4.662,4.000,0.761,0.851,4.222,4.427,0.409,0.517,0.424,0.409,0.008,0.004,-0.029,-0.230,-0.078,0.959,-0.005,5.171,-8.231,-0.172,-0.081,0.972,36.631,4.386,-35.012,-31.474,5.608,-27.762,0.226,-0.073,0.831,0.220,-0.073,0.832,,11,roller
07-43-45,2.107,4.000,0.807,0.811,4.630,4.830,0.457,0.541,0.474,0.446,0.005,0.004,-0.030,-0.082,-0.210,0.972,-0.008,5.358,-2.599,-0.006,-0.176,0.983,35.922,4.033,-34.792,-32.396,5.065,-27.934,0.079,-0.204,0.909,0.085,-0.218,0.906,,11,roller
