Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
08-15-14,0,-0.125,0.688,-0.121,-0.584,30.145,261.244,164.705,11,room
08-15-15,0,-0.074,0.772,-0.054,-0.392,9.719,234.550,266.162,11,room
08-15-16,0,0.007,0.669,-0.016,0.698,49.318,87.609,215.265,11,room
08-15-17,0,0.041,0.169,-0.026,0.653,8.459,23.986,357.566,11,room
08-15-18,0,0.156,0.406,-0.042,0.896,18.177,49.160,72.667,11,room
08-15-19,0,-0.012,0.733,0.064,0.651,341.391,96.436,4.144,11,room
08-15-20,0,-0.019,0.886,0.142,0.435,344.326,126.937,5.237,11,room
08-15-21,0,-0.071,0.878,0.303,0.354,324.314,133.470,7.055,11,room
08-15-22,0,-0.004,0.978,0.100,0.179,348.545,159.016,1.612,11,room
08-15-23,0,0.003,0.978,0.127,0.167,345.669,160.210,2.850,11,room
08-15-24,0,0.014,0.952,0.098,0.281,349.781,146.785,4.612,11,room
08-15-25,0,0.021,0.931,0.102,0.349,349.846,138.282,6.434,11,room
08-15-26,0,0.039,0.929,0.063,0.362,354.940,137.120,6.752,11,room
08-15-27,0,0.042,0.923,0.056,0.377,355.886,135.358,6.913,11,room
08-15-28,0,0.049,0.865,0.059,0.488,356.861,120.925,8.193,11,room
08-15-29,0,-0.005,0.762,0.084,0.641,352.192,99.487,5.900,11,room
08-15-30,0,-0.018,0.737,0.069,0.672,352.789,95.001,3.789,11,room
08-15-31,0,-0.015,0.742,0.071,0.665,352.842,96.042,4.216,11,room
08-15-32,0,0.023,0.699,0.065,0.710,356.651,88.861,7.134,11,room
08-15-33,0,0.013,0.884,0.044,0.448,356.364,126.144,3.609,11,room
08-15-34,0,0.017,0.933,0.042,0.357,321.354,138.046,3.493,11,room
08-15-35,0,0.033,0.917,0.012,0.396,132.298,133.260,4.006,11,room
08-15-36,0,-0.034,0.890,0.023,0.445,135.386,126.669,230.432,11,room
08-15-37,0,-0.041,0.869,0.077,0.487,350.047,121.390,211.305,11,room
08-15-38,0,-0.004,0.869,0.031,0.492,220.087,120.972,125.478,11,room
08-15-39,0,0.077,0.864,-0.029,0.494,7.276,120.824,5.917,11,room
08-15-40,0,0.070,0.924,-0.032,0.357,6.230,138.016,5.874,11,room
08-15-41,0,-0.002,0.989,-0.056,0.116,6.431,166.510,263.225,11,room
08-15-42,0,-0.001,0.892,-0.070,0.394,7.271,132.292,356.962,11,room
08-15-43,0,0.035,0.905,-0.042,0.385,5.500,133.896,141.056,11,room
