Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
07-14-52,0,-0.092,0.256,0.076,0.959,347.547,29.300,5.841,11,sea
07-14-53,0,-0.100,0.143,0.064,0.982,347.588,16.007,5.680,11,sea
07-14-54,0,-0.105,0.112,0.040,0.987,347.555,12.567,3.250,11,sea
07-14-55,0,-0.103,0.144,0.026,0.984,347.825,16.520,1.230,11,sea
07-14-56,0,-0.104,0.156,0.024,0.982,347.817,17.995,12.426,11,sea
07-14-57,0,-0.099,0.039,0.025,0.992,348.629,88.275,2.362,11,sea
07-14-58,0,-0.094,-0.225,0.035,0.968,350.410,333.315,6.501,11,sea
07-14-59,0,-0.100,-0.414,0.012,0.903,350.155,310.265,6.022,11,sea
07-15-00,0,-0.093,-0.421,-0.032,0.901,348.764,309.745,109.195,11,sea
07-15-01,0,-0.093,-0.373,-0.034,0.922,348.627,315.867,74.846,11,sea
07-15-02,0,-0.092,-0.291,-0.036,0.951,348.716,326.047,359.068,11,sea
07-15-03,0,-0.097,-0.244,-0.022,0.965,348.632,331.642,116.367,11,sea
07-15-04,0,-0.096,-0.253,-0.009,0.963,349.067,330.348,1.857,11,sea
07-15-05,0,-0.098,-0.279,-0.007,0.955,349.029,327.264,2.393,11,sea
07-15-06,0,-0.096,-0.293,-0.009,0.951,349.189,325.592,2.275,11,sea
07-15-07,0,-0.097,-0.316,-0.008,0.944,349.101,322.732,2.669,11,sea
07-15-08,0,-0.097,-0.341,-0.008,0.935,349.231,319.646,2.940,11,sea
07-15-09,0,-0.096,-0.364,-0.012,0.926,349.230,316.852,2.761,11,sea
07-15-10,0,-0.098,-0.388,-0.014,0.916,349.017,313.767,2.905,11,sea
07-15-11,0,-0.097,-0.409,-0.015,0.907,349.142,311.200,2.986,11,sea
07-15-12,0,-0.100,-0.476,-0.011,0.873,349.341,302.433,4.396,11,sea
07-15-13,0,-0.092,-0.509,-0.025,0.854,349.579,298.173,84.284,11,sea
07-15-14,0,-0.088,-0.417,-0.038,0.903,348.968,310.387,139.620,11,sea
07-15-15,0,-0.089,-0.376,-0.032,0.922,349.153,315.510,151.445,11,sea
07-15-16,0,-0.093,-0.380,-0.022,0.920,349.155,314.911,1.781,11,sea
07-15-17,0,-0.094,-0.395,-0.017,0.913,349.331,312.948,2.463,11,sea
07-15-18,0,-0.096,-0.485,-0.009,0.869,349.850,301.248,4.473,11,sea
07-15-19,0,-0.104,-0.651,-0.002,0.746,350.995,277.217,7.706,11,sea
07-15-20,0,-0.115,-0.865,-0.014,0.481,352.173,237.419,10.897,11,sea
07-15-21,0,-0.097,-0.952,-0.051,0.280,351.231,212.036,9.159,11,sea
