Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-23-20,1.036,0,0.852,0.826,2.715,2.618,0.482,0.520,0.444,0.535,0.012,0.003,-0.027,-0.060,-0.156,0.983,0.812,1.379,-13.752,-0.578,-0.381,-0.263,32.367,4.424,-34.468,-28.664,3.034,-31.103,0.047,-0.154,0.806,0.088,-0.156,0.765,,12,room
12-23-21,1.372,0,1.000,1.000,3.492,3.596,0.440,0.517,0.399,0.527,0.010,0.004,-0.033,-0.189,-0.190,0.957,1.009,1.678,-16.725,-0.560,-0.418,-0.693,33.116,4.301,-34.457,-27.818,3.011,-30.961,0.178,-0.187,0.959,0.214,-0.195,0.952,,12,room
12-23-22,0.419,0,0.921,0.940,3.468,3.568,0.563,0.595,0.472,0.609,0.000,0.003,-0.033,0.048,-0.427,0.899,1.040,1.684,-16.705,-0.574,-0.564,-0.589,31.042,3.301,-34.576,-29.006,1.965,-31.465,-0.131,-0.423,0.893,0.018,-0.426,0.902,,12,room
12-23-23,0.803,0,0.822,0.838,2.632,2.717,0.528,0.551,0.473,0.569,0.009,0.003,-0.027,0.028,-0.275,0.941,0.860,1.401,-13.818,-0.460,-0.303,-0.419,31.562,3.957,-34.183,-28.979,2.603,-30.798,-0.066,-0.273,0.765,0.016,-0.280,0.769,,12,room
12-23-24,1.558,0,0.968,0.982,3.336,3.456,0.498,0.490,0.454,0.500,0.002,0.004,-0.032,-0.054,-0.138,0.978,1.047,1.699,-16.687,-0.516,-0.058,-0.830,32.145,4.610,-33.672,-28.802,3.344,-30.466,0.032,-0.131,0.979,0.085,-0.130,0.978,,12,room
12-23-25,1.632,0,0.807,0.830,2.437,2.797,0.524,0.526,0.492,0.551,-0.007,0.003,-0.027,0.038,-0.137,0.966,0.890,1.446,-14.306,-0.537,-0.187,-0.309,31.168,4.157,-33.162,-29.171,2.473,-30.456,-0.029,-0.105,0.763,-0.034,-0.147,0.819,,12,room
12-23-26,1.312,0,0.980,0.985,3.419,3.514,0.547,0.554,0.489,0.567,-0.003,0.003,-0.032,0.059,-0.311,0.941,0.998,1.665,-16.704,-0.707,-0.679,-0.102,31.310,3.586,-33.568,-29.223,2.298,-30.311,-0.088,-0.304,0.941,-0.038,-0.315,0.942,,12,room
12-23-27,0.378,0,0.954,0.933,3.270,3.411,0.568,0.602,0.468,0.613,0.001,0.002,-0.032,0.068,-0.434,0.898,0.996,1.659,-16.709,-0.556,-0.828,0.059,30.963,2.906,-33.825,-28.869,1.624,-30.572,-0.146,-0.427,0.892,0.014,-0.435,0.899,,12,room
12-23-28,1.745,0,0.989,0.990,3.342,3.374,0.528,0.538,0.478,0.547,0.008,0.003,-0.032,0.025,-0.269,0.960,0.974,1.668,-16.712,-0.736,-0.667,-0.080,31.619,3.829,-33.582,-29.095,2.702,-30.665,-0.040,-0.266,0.960,-0.003,-0.265,0.961,,12,room
12-23-29,2.392,0,1.000,1.000,3.336,3.334,0.515,0.535,0.473,0.543,0.005,0.003,-0.032,-0.000,-0.256,0.966,0.968,1.669,-16.713,-0.760,-0.643,-0.089,31.837,3.936,-33.794,-29.020,2.814,-30.840,-0.011,-0.259,0.965,0.015,-0.256,0.966,,12,room
12-23-30,1.329,0,1.000,1.000,3.401,3.411,0.517,0.532,0.474,0.541,-0.001,0.004,-0.033,-0.006,-0.248,0.967,0.983,1.669,-16.720,-0.766,-0.631,-0.107,31.823,4.179,-34.635,-29.105,3.071,-31.673,-0.017,-0.244,0.968,0.027,-0.253,0.965,,12,room
12-23-31,1.021,0,1.000,1.000,3.334,3.442,0.520,0.547,0.478,0.560,0.002,0.003,-0.033,0.004,-0.288,0.957,1.000,1.669,-16.710,-0.753,-0.652,-0.090,31.779,3.898,-34.554,-29.204,2.744,-31.588,-0.027,-0.277,0.960,0.023,-0.298,0.954,,12,room
12-23-32,1.151,0,1.000,1.000,3.306,3.390,0.507,0.548,0.465,0.559,0.002,0.003,-0.033,-0.022,-0.293,0.956,0.998,1.670,-16.700,-0.759,-0.645,-0.089,32.027,3.897,-34.523,-28.954,2.715,-31.453,-0.003,-0.286,0.958,0.048,-0.299,0.953,,12,room
12-23-33,1.596,0,0.997,0.994,3.317,3.461,0.495,0.556,0.450,0.571,0.009,0.003,-0.033,-0.034,-0.296,0.949,1.005,1.670,-16.697,-0.754,-0.631,-0.154,32.278,3.748,-34.607,-28.539,2.367,-31.295,0.017,-0.294,0.949,0.053,-0.304,0.945,,12,room
12-23-34,0.732,0,0.963,0.909,3.374,3.450,0.539,0.602,0.466,0.627,0.003,0.002,-0.033,0.067,-0.405,0.901,1.025,1.665,-16.707,-0.649,-0.745,0.037,31.642,3.046,-34.828,-28.707,1.434,-31.630,-0.111,-0.396,0.899,-0.014,-0.408,0.904,,12,room
12-23-35,1.069,0,1.000,1.000,3.332,3.339,0.502,0.549,0.460,0.564,0.002,0.003,-0.033,-0.030,-0.280,0.959,1.020,1.668,-16.705,-0.769,-0.634,-0.085,32.157,3.814,-34.511,-28.846,2.414,-31.131,0.004,-0.275,0.962,0.058,-0.286,0.956,,12,room
12-23-36,1.276,0,0.895,0.868,3.048,3.128,0.505,0.522,0.486,0.545,0.006,0.003,-0.032,0.008,-0.221,0.962,0.990,1.620,-16.059,-0.786,-0.473,0.109,31.677,4.322,-34.437,-29.079,2.688,-31.168,-0.056,-0.185,0.897,0.004,-0.205,0.895,,12,room
12-23-37,2.234,0,0.950,0.939,3.218,3.260,0.552,0.531,0.501,0.540,0.015,0.004,-0.034,0.063,-0.205,0.928,1.006,1.696,-16.704,-0.638,-0.378,0.583,31.119,4.106,-34.679,-29.588,2.932,-31.669,-0.074,-0.204,0.927,-0.035,-0.200,0.924,,12,room
12-23-38,2.141,0,0.891,0.874,2.645,2.646,0.563,0.504,0.519,0.521,-0.013,0.003,-0.028,0.089,-0.123,0.984,0.841,1.480,-14.385,-0.366,-0.173,0.887,31.119,4.375,-33.868,-29.975,3.362,-31.819,-0.099,-0.114,0.812,-0.084,-0.124,0.812,,12,room
12-23-39,1.783,0,1.000,1.000,3.300,3.310,0.552,0.485,0.523,0.499,-0.019,0.004,-0.032,0.091,-0.127,0.987,0.977,1.719,-16.676,-0.210,-0.200,0.955,31.236,4.543,-33.264,-30.004,3.770,-31.895,-0.104,-0.112,0.988,-0.085,-0.130,0.987,,12,room
