Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-07-17,6,0.018,0.842,0.071,-0.533,352.049,244.813,357.353,12,sea
12-07-18,6,0.019,0.552,0.059,-0.823,354.403,292.435,355.695,12,sea
12-07-19,6,0.024,0.346,0.034,-0.935,356.025,319.443,357.273,12,sea
12-07-20,6,0.057,0.268,0.016,-0.961,353.181,328.806,201.645,12,sea
12-07-21,6,0.063,0.236,0.014,-0.970,352.635,332.646,180.129,12,sea
12-07-22,6,0.069,0.236,-0.020,-0.969,352.930,332.366,4.163,12,sea
12-07-23,6,0.071,0.298,-0.012,-0.952,352.664,324.940,3.706,12,sea
12-07-24,6,0.064,0.289,0.022,-0.955,352.240,326.365,243.974,12,sea
12-07-25,6,0.066,0.227,0.036,-0.971,351.720,333.876,357.646,12,sea
12-07-26,6,0.075,0.242,0.017,-0.967,351.146,331.874,133.574,12,sea
12-07-27,6,0.076,0.263,0.011,-0.961,351.327,329.303,104.007,12,sea
12-07-28,6,0.065,0.263,0.024,-0.962,352.118,329.502,282.110,12,sea
12-07-29,6,0.069,0.242,0.011,-0.968,351.982,331.921,50.402,12,sea
12-07-30,6,0.072,0.221,0.010,-0.973,351.727,334.398,27.335,12,sea
12-07-31,6,0.075,0.217,0.008,-0.973,351.441,334.812,1.028,12,sea
12-07-32,6,0.071,0.207,0.006,-0.976,351.845,335.934,1.006,12,sea
12-07-33,6,0.070,0.216,0.002,-0.974,352.180,334.898,1.567,12,sea
12-07-34,6,0.071,0.224,0.014,-0.972,351.750,334.041,193.116,12,sea
12-07-35,6,0.070,0.208,0.011,-0.976,351.893,335.881,50.092,12,sea
12-07-36,6,0.071,0.208,0.007,-0.975,351.869,335.806,0.901,12,sea
12-07-37,6,0.072,0.216,0.012,-0.973,351.591,334.922,141.854,12,sea
12-07-38,6,0.077,0.194,0.016,-0.978,351.032,337.525,260.573,12,sea
12-07-39,6,0.075,0.251,0.014,-0.965,351.265,330.776,103.482,12,sea
12-07-40,6,0.071,0.267,0.025,-0.959,351.480,328.896,191.346,12,sea
12-07-41,6,0.068,0.260,0.025,-0.962,351.693,329.777,359.206,12,sea
12-07-42,6,0.076,0.227,0.019,-0.971,350.998,333.726,260.585,12,sea
12-07-43,6,0.075,0.245,0.024,-0.966,351.041,331.609,205.159,12,sea
12-07-44,6,0.077,0.206,0.024,-0.975,350.833,336.273,251.085,12,sea
12-07-45,6,0.079,0.200,0.015,-0.976,350.795,336.827,173.907,12,sea
12-07-46,6,0.080,0.258,0.006,-0.963,350.935,329.881,26.549,12,sea
