Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-43-34,1.579,0,1.000,1.000,3.282,3.341,0.499,0.726,0.425,0.675,0.000,-0.003,-0.026,-0.024,-0.250,0.962,-48.962,3.770,45.729,-0.164,-0.227,-0.952,32.484,-3.603,-26.975,-27.821,-2.669,-25.225,-0.044,-0.250,0.958,0.068,-0.249,0.961,,12,walk
12-43-35,3.436,0,1.000,1.000,3.351,3.387,0.417,0.665,0.388,0.613,0.011,-0.002,-0.026,-0.173,-0.070,0.982,-48.978,3.767,45.718,-0.006,-0.081,-0.997,33.914,-2.665,-27.000,-27.166,-1.748,-25.137,0.177,-0.070,0.981,0.168,-0.064,0.983,,12,walk
12-43-36,2.705,0,1.000,1.000,3.366,3.465,0.399,0.663,0.370,0.608,0.013,-0.002,-0.026,-0.214,-0.063,0.974,-48.999,3.755,45.724,-0.000,-0.080,-0.997,34.236,-2.603,-27.064,-26.823,-1.709,-24.880,0.219,-0.066,0.973,0.209,-0.058,0.976,,12,walk
12-43-37,1.304,0,1.000,1.000,3.411,3.456,0.393,0.669,0.364,0.605,0.013,-0.002,-0.026,-0.215,-0.068,0.974,-49.022,3.752,45.727,0.000,-0.079,-0.997,34.442,-2.741,-27.037,-26.649,-1.654,-24.844,0.216,-0.073,0.973,0.210,-0.055,0.976,,12,walk
12-43-38,5.244,0,0.945,0.950,3.026,3.010,0.486,0.656,0.456,0.578,-0.006,-0.002,-0.025,0.010,-0.028,0.983,-46.918,3.608,43.816,-0.192,-0.077,-0.870,32.648,-2.196,-27.642,-28.501,-1.339,-25.570,0.007,-0.038,0.907,-0.000,-0.039,0.906,,12,walk
12-43-39,2.229,0,0.957,0.955,3.007,2.958,0.572,0.713,0.532,0.668,0.005,-0.002,-0.025,0.231,-0.192,0.930,-45.096,3.450,42.112,-0.636,-0.458,0.408,31.225,-2.978,-28.095,-29.531,-2.157,-26.134,-0.222,-0.202,0.849,-0.225,-0.199,0.850,,12,walk
12-43-40,4.260,0,0.996,1.000,3.408,3.398,0.450,0.638,0.416,0.586,0.009,-0.001,-0.027,-0.097,-0.010,0.970,-49.057,3.741,45.735,-0.782,-0.377,-0.087,33.299,-1.767,-28.364,-27.675,-0.922,-26.239,0.094,-0.002,0.970,0.098,0.005,0.970,,12,walk
12-43-41,2.446,0,0.951,0.980,2.652,3.115,0.431,0.689,0.393,0.635,0.010,-0.002,-0.025,-0.148,-0.073,0.967,-44.935,3.454,41.930,-0.368,-0.214,-0.620,33.616,-2.406,-28.617,-27.251,-1.679,-26.184,0.150,-0.056,0.846,0.147,-0.107,0.914,,12,walk
12-43-42,1.589,0,0.903,0.905,2.850,3.006,0.414,0.739,0.364,0.673,0.005,-0.003,-0.025,-0.136,-0.252,0.919,-44.872,3.395,41.758,0.324,-0.665,-0.185,33.943,-3.313,-28.681,-26.596,-2.141,-26.172,0.116,-0.237,0.800,0.159,-0.225,0.835,,12,walk
12-43-43,1.970,0,0.977,0.956,3.179,3.012,0.497,0.772,0.437,0.718,-0.001,-0.003,-0.026,0.023,-0.314,0.935,-46.848,3.527,43.553,0.196,-0.832,-0.162,32.501,-4.084,-28.007,-27.960,-2.929,-26.333,-0.025,-0.324,0.887,-0.016,-0.306,0.848,,12,walk
12-43-44,2.393,0,0.948,0.940,2.687,2.777,0.380,0.691,0.354,0.631,0.017,-0.002,-0.024,-0.225,-0.085,0.961,-42.854,3.304,39.881,0.839,-0.116,0.114,34.532,-2.863,-28.017,-26.410,-2.083,-25.605,0.219,-0.086,0.838,0.209,-0.076,0.840,,12,walk
12-43-45,1.709,0,1.000,1.000,3.131,3.206,0.498,0.638,0.473,0.584,0.006,-0.001,-0.027,0.044,-0.003,0.970,-48.971,3.778,45.619,0.784,-0.105,-0.320,32.618,-1.820,-28.250,-28.595,-0.862,-26.051,-0.060,0.001,0.967,-0.072,-0.000,0.964,,12,walk
12-43-46,3.655,0,0.946,0.948,2.745,2.761,0.524,0.682,0.494,0.626,-0.004,-0.001,-0.024,0.087,-0.109,0.947,-42.896,3.296,39.884,0.149,-0.276,-0.576,32.153,-2.259,-28.689,-28.919,-1.427,-26.437,-0.091,-0.128,0.815,-0.092,-0.113,0.819,,12,walk
12-43-47,1.596,0,0.921,0.920,2.650,2.710,0.508,0.709,0.468,0.657,-0.004,-0.002,-0.022,0.050,-0.234,0.933,-40.148,3.049,37.193,-0.022,-0.535,-0.324,32.312,-2.598,-28.530,-28.466,-1.732,-26.404,-0.055,-0.226,0.796,-0.049,-0.218,0.804,,12,walk
12-43-48,2.533,0,1.000,1.000,3.096,3.205,0.478,0.658,0.436,0.606,0.004,-0.002,-0.027,-0.037,-0.087,0.982,-49.109,3.774,45.240,0.074,-0.176,-0.961,32.846,-2.032,-28.189,-28.045,-1.136,-26.070,0.018,-0.087,0.980,0.048,-0.089,0.983,,12,walk
12-43-49,0.404,0,1.000,1.000,3.266,3.229,0.525,0.735,0.436,0.681,-0.003,-0.003,-0.027,0.028,-0.345,0.937,-49.130,3.768,45.105,-0.101,-0.467,-0.877,32.029,-3.000,-28.185,-28.000,-2.185,-25.977,-0.113,-0.349,0.929,0.033,-0.335,0.941,,12,walk
12-43-50,3.668,0,0.948,0.937,2.786,2.685,0.449,0.641,0.428,0.592,0.001,-0.001,-0.023,-0.082,-0.042,0.995,-42.731,3.278,39.163,0.006,-0.082,-0.735,33.366,-1.641,-28.131,-27.755,-0.902,-25.552,0.085,-0.050,0.907,0.086,-0.041,0.864,,12,walk
12-43-51,6.466,0,1.000,1.000,3.262,3.353,0.422,0.645,0.395,0.591,-0.000,-0.002,-0.026,-0.148,-0.039,0.988,-49.147,3.767,45.029,0.009,-0.088,-0.996,33.918,-1.944,-27.946,-27.294,-1.210,-25.245,0.144,-0.040,0.989,0.150,-0.038,0.988,,12,walk
12-43-52,2.743,0,1.000,1.000,3.305,3.337,0.472,0.675,0.418,0.623,-0.005,-0.002,-0.026,-0.064,-0.130,0.986,-49.125,3.763,45.020,-0.063,-0.198,-0.974,33.047,-2.571,-27.314,-27.650,-1.562,-25.657,0.011,-0.137,0.983,0.079,-0.134,0.985,,12,walk
