Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-42-56,1,-0.011,-0.960,0.029,0.278,2.881,212.400,2.167,13,beach
11-42-57,1,-0.016,-0.968,0.027,0.250,2.564,208.999,2.544,13,beach
11-42-58,1,-0.013,-0.970,0.018,0.241,1.623,207.985,1.949,13,beach
11-42-59,1,-0.010,-0.968,0.016,0.248,1.465,208.793,1.617,13,beach
11-43-00,1,0.040,-0.946,0.041,0.317,5.958,216.856,357.173,13,beach
11-43-01,1,0.031,-0.908,0.044,0.415,5.993,229.044,358.849,13,beach
11-43-02,1,-0.004,-0.921,0.045,0.386,4.644,225.556,33.726,13,beach
11-43-03,1,-0.021,-0.921,0.050,0.387,4.345,225.752,4.396,13,beach
11-43-04,1,0.015,-0.848,0.022,0.521,3.171,243.139,234.653,13,beach
11-43-05,1,0.076,-0.853,0.071,0.506,27.843,240.963,356.616,13,beach
11-43-06,1,-0.094,-0.930,-0.113,0.327,344.237,217.664,6.416,13,beach
11-43-07,1,-0.104,-0.940,-0.162,0.282,338.740,212.147,6.480,13,beach
11-43-08,1,-0.095,-0.942,-0.165,0.277,338.665,211.813,5.344,13,beach
11-43-09,1,-0.045,-0.948,-0.183,-0.016,338.312,176.806,6.170,13,beach
11-43-10,1,0.022,-0.858,-0.121,-0.466,346.952,122.643,66.787,13,beach
11-43-11,1,0.004,-0.971,-0.159,0.157,341.905,198.933,356.500,13,beach
11-43-12,1,0.038,-0.948,0.049,0.285,104.785,213.159,357.016,13,beach
11-43-13,1,0.054,-0.973,0.162,0.149,19.375,196.760,356.492,13,beach
11-43-14,1,0.062,-0.984,0.100,0.111,12.294,192.283,354.400,13,beach
11-43-15,1,0.065,-0.995,-0.032,0.059,294.181,186.960,352.362,13,beach
11-43-16,1,0.041,-0.998,-0.052,0.020,354.127,182.567,355.128,13,beach
11-43-17,1,0.038,-0.999,-0.006,-0.005,155.796,179.458,355.560,13,beach
11-43-18,1,0.015,-0.999,-0.030,-0.002,356.614,179.758,255.472,13,beach
11-43-19,1,0.009,-0.999,-0.039,-0.015,355.479,178.293,343.399,13,beach
11-43-20,1,0.026,-0.999,-0.001,-0.040,212.451,175.384,357.028,13,beach
11-43-21,1,-0.010,-0.998,-0.047,-0.011,354.654,178.693,110.761,13,beach
11-43-22,1,-0.027,-0.997,-0.073,-0.012,351.676,178.430,3.266,13,beach
11-43-23,1,-0.003,-0.976,-0.059,0.148,353.423,197.266,244.935,13,beach
11-43-24,1,0.052,-0.911,0.071,0.400,9.774,227.216,292.286,13,beach
11-43-25,1,0.006,-0.878,0.052,0.475,5.589,236.882,2.275,13,beach
