Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-55-45,2,-0.053,0.979,-0.045,-0.178,82.554,200.361,354.741,13,roller
11-55-46,2,-0.016,0.926,0.157,-0.328,343.468,220.294,351.530,13,roller
11-55-47,2,0.068,0.884,0.118,-0.443,344.390,233.173,62.696,13,roller
11-55-48,2,-0.007,0.900,-0.131,-0.411,14.021,229.942,5.605,13,roller
11-55-49,2,0.030,0.953,-0.197,-0.097,22.079,193.064,6.770,13,roller
11-55-50,2,0.203,0.886,-0.053,0.396,15.183,133.935,19.432,13,roller
11-55-51,2,0.238,0.724,0.144,0.618,4.878,100.367,31.946,13,roller
11-55-52,2,0.230,0.272,0.082,0.922,22.147,36.400,17.637,13,roller
11-55-53,2,0.023,-0.118,0.046,0.988,149.394,301.613,5.329,13,roller
11-55-54,2,-0.061,-0.088,0.083,0.991,353.919,349.255,10.159,13,roller
11-55-55,2,-0.072,-0.075,0.082,0.991,352.519,350.687,10.040,13,roller
11-55-56,2,-0.067,-0.073,0.076,0.992,353.045,350.994,9.320,13,roller
11-55-57,2,-0.042,-0.212,0.065,0.965,248.711,334.953,7.892,13,roller
11-55-58,2,-0.037,-0.373,0.067,0.924,178.934,315.874,8.706,13,roller
11-55-59,2,-0.170,-0.333,0.038,0.923,343.192,318.598,11.262,13,roller
11-56-00,2,0.099,0.057,-0.071,-0.990,349.170,352.535,8.890,13,roller
11-56-01,2,0.094,0.044,-0.068,-0.992,349.617,354.107,8.380,13,roller
11-56-02,2,0.091,0.045,-0.066,-0.993,349.890,354.064,8.081,13,roller
11-56-03,2,0.090,0.041,-0.064,-0.993,350.011,354.522,7.908,13,roller
11-56-04,2,0.087,0.041,-0.063,-0.993,350.391,354.662,7.712,13,roller
11-56-05,2,0.085,0.040,-0.061,-0.994,350.542,354.799,7.443,13,roller
11-56-06,2,0.085,0.040,-0.060,-0.994,350.551,354.830,7.359,13,roller
11-56-07,2,0.002,0.010,-0.037,-0.996,208.975,219.262,4.526,13,roller
11-56-08,2,-0.147,-0.026,0.008,-0.989,16.949,2.888,347.539,13,roller
11-56-09,2,-0.147,-0.025,0.009,-0.989,16.918,2.840,359.372,13,roller
11-56-10,2,-0.144,-0.026,0.011,-0.989,16.574,2.898,359.198,13,roller
11-56-11,2,-0.125,-0.022,0.010,-0.992,14.383,2.386,359.185,13,roller
11-56-12,2,0.049,-0.002,-0.005,-0.996,241.913,101.447,56.897,13,roller
11-56-13,2,0.181,0.001,-0.012,-0.983,339.131,359.649,1.418,13,roller
11-56-14,2,0.383,-0.002,-0.016,-0.923,314.905,359.301,2.308,13,roller
