Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-09-20,0.986,1,0.537,0.505,2.711,3.151,0.366,0.572,0.466,0.659,0.003,-0.001,-0.020,0.085,-0.289,0.926,13.728,1.391,-13.505,-0.420,-0.505,-0.096,33.671,-1.668,-26.418,-28.503,-1.324,-24.731,-0.098,-0.241,0.615,-0.049,-0.259,0.691,,13,room
12-09-21,0.389,1,0.562,0.635,3.924,4.296,0.467,0.733,0.475,0.691,0.007,-0.002,-0.026,0.103,-0.487,0.866,17.394,1.705,-17.195,-0.292,-0.956,0.004,33.718,-2.448,-26.684,-28.617,-1.996,-24.978,-0.125,-0.520,0.843,-0.068,-0.450,0.889,,13,room
12-09-22,0.364,1,0.431,0.535,3.693,4.003,0.465,0.740,0.473,0.704,0.010,-0.002,-0.026,0.085,-0.512,0.855,17.394,1.704,-17.182,-0.291,-0.956,0.006,33.700,-2.543,-26.761,-28.602,-2.233,-25.119,-0.106,-0.538,0.836,-0.059,-0.464,0.882,,13,room
12-09-23,0.392,1,0.576,0.664,3.605,3.579,0.465,0.710,0.476,0.673,0.003,-0.002,-0.026,0.077,-0.414,0.886,17.409,1.701,-17.181,-0.353,-0.915,-0.011,33.739,-2.183,-26.760,-28.722,-1.883,-25.076,-0.110,-0.440,0.864,-0.041,-0.370,0.836,,13,room
12-09-24,1.345,1,0.688,0.713,2.652,2.682,0.353,0.556,0.404,0.582,-0.005,-0.001,-0.017,0.031,-0.058,0.987,11.816,1.163,-11.668,-0.452,-0.479,0.222,33.906,-2.212,-27.175,-28.380,-1.522,-25.123,-0.051,-0.058,0.665,-0.024,-0.061,0.665,,13,room
12-09-25,0.538,1,0.355,0.456,1.889,2.482,0.271,0.571,0.304,0.578,-0.000,-0.001,-0.015,-0.045,-0.239,0.933,10.226,1.005,-10.102,-0.061,-0.502,0.177,34.634,-3.134,-27.461,-27.304,-1.934,-25.309,0.008,-0.248,0.515,0.076,-0.264,0.577,,13,room
12-09-26,1.131,1,0.747,0.797,4.192,4.108,0.464,0.681,0.463,0.647,-0.003,-0.002,-0.026,0.081,-0.297,0.925,17.463,1.733,-17.234,-0.510,-0.764,-0.225,33.789,-2.096,-27.023,-28.365,-1.583,-25.178,-0.121,-0.264,0.898,-0.042,-0.250,0.862,,13,room
12-09-27,0.868,1,0.909,0.903,3.891,4.256,0.461,0.665,0.481,0.631,0.007,-0.001,-0.026,0.088,-0.292,0.952,17.453,1.744,-17.184,-0.641,-0.753,-0.147,33.812,-1.610,-26.769,-28.772,-1.203,-25.014,-0.100,-0.308,0.946,-0.070,-0.275,0.959,,13,room
12-09-28,1.601,1,0.979,0.960,4.423,4.389,0.476,0.593,0.498,0.563,-0.013,-0.000,-0.025,0.130,-0.054,0.979,17.458,1.750,-17.197,-0.817,-0.537,-0.120,33.579,-0.682,-26.914,-29.001,-0.358,-25.018,-0.149,-0.054,0.975,-0.123,-0.047,0.981,,13,room
12-09-29,1.754,1,1.000,1.000,4.608,4.449,0.455,0.590,0.478,0.552,-0.018,-0.000,-0.025,0.081,-0.024,0.992,17.479,1.761,-17.183,-0.878,-0.467,-0.007,33.986,-0.742,-26.782,-28.664,-0.169,-24.909,-0.104,-0.034,0.989,-0.074,-0.027,0.992,,13,room
