Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-37-00,1,0.039,-0.454,0.020,0.889,4.986,305.895,215.988,4,beach
04-37-01,1,0.031,-0.371,0.013,0.924,4.031,316.288,124.806,4,beach
04-37-02,1,0.094,-0.040,-0.022,0.994,10.649,329.407,357.056,4,beach
04-37-03,1,0.060,0.283,-0.030,0.951,7.572,33.033,358.537,4,beach
04-37-04,1,0.053,0.271,-0.022,0.566,11.765,55.443,54.710,4,beach
04-37-05,1,-0.001,-0.173,0.016,0.026,9.935,73.327,2.114,4,beach
04-37-06,1,0.072,-0.407,0.025,0.895,8.694,311.119,273.105,4,beach
04-37-07,1,0.068,-0.720,0.011,0.689,6.318,267.177,355.239,4,beach
04-37-08,1,0.076,-0.585,-0.005,0.804,6.669,287.635,354.443,4,beach
04-37-09,1,0.162,-0.629,0.044,0.757,17.576,279.245,351.640,4,beach
04-37-10,1,0.146,-0.656,0.039,0.738,15.519,275.612,352.011,4,beach
04-37-11,1,0.132,-0.727,0.085,0.567,18.569,254.722,354.326,4,beach
04-37-12,1,-0.007,-0.984,0.160,-0.071,18.417,171.671,265.507,4,beach
04-37-13,1,-0.031,-0.977,0.195,-0.070,22.732,172.261,64.769,4,beach
04-37-14,1,-0.045,-0.969,0.239,-0.040,27.876,176.411,4.431,4,beach
04-37-15,1,-0.003,-0.983,0.123,0.055,30.008,186.724,141.436,4,beach
04-37-16,1,0.047,-0.992,-0.049,0.107,354.958,192.596,354.038,4,beach
04-37-17,1,-0.049,-0.997,-0.033,0.044,341.061,184.939,20.481,4,beach
04-37-18,1,0.032,-0.987,0.088,0.094,59.638,190.645,292.176,4,beach
04-37-19,1,-0.038,-0.986,0.157,-0.018,18.168,178.682,53.328,4,beach
04-37-20,1,-0.059,-0.972,0.223,-0.032,25.947,177.767,6.459,4,beach
04-37-21,1,-0.061,-0.970,0.233,-0.028,27.048,178.372,6.762,4,beach
04-37-22,1,-0.054,-0.975,0.206,-0.024,23.936,178.485,5.971,4,beach
04-37-23,1,0.023,-0.992,-0.025,0.116,312.545,193.439,326.977,4,beach
04-37-24,1,0.018,-0.982,-0.115,0.127,347.021,194.917,269.737,4,beach
04-37-25,1,-0.097,-0.969,-0.166,0.092,339.701,189.061,9.174,4,beach
04-37-26,1,-0.003,-0.997,-0.032,0.013,266.335,181.410,150.117,4,beach
04-37-27,1,-0.041,-0.985,0.147,-0.076,17.212,171.739,3.519,4,beach
04-37-28,1,0.026,-0.969,0.192,-0.152,21.375,160.861,353.246,4,beach
04-37-29,1,0.034,-0.975,0.154,-0.119,16.960,164.837,353.234,4,beach
