Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-26-06,2,0.127,-0.932,0.193,-0.223,18.549,148.658,328.412,4,roller
04-26-07,2,0.248,-0.905,0.270,0.172,34.889,192.045,332.510,4,roller
04-26-08,2,0.233,-0.766,-0.033,0.575,13.841,251.188,334.799,4,roller
04-26-09,2,0.141,-0.438,-0.312,0.817,264.208,304.353,319.061,4,roller
04-26-10,2,-0.148,0.048,-0.335,0.914,346.617,120.853,317.803,4,roller
04-26-11,2,-0.291,0.568,-0.120,0.748,341.577,79.752,326.955,4,roller
04-26-12,2,-0.226,0.733,-0.013,0.641,344.303,100.577,338.859,4,roller
04-26-13,2,-0.266,0.793,-0.101,0.534,353.002,114.012,327.690,4,roller
04-26-14,2,-0.293,0.833,-0.192,0.426,4.093,124.283,319.101,4,roller
04-26-15,2,-0.344,0.865,-0.255,0.252,15.634,140.457,311.165,4,roller
04-26-16,2,-0.201,0.949,-0.210,-0.033,23.635,178.295,335.307,4,roller
04-26-17,2,-0.056,0.971,0.038,-0.216,217.767,205.182,352.790,4,roller
04-26-18,2,0.059,0.911,0.232,-0.322,332.175,219.733,345.684,4,roller
04-26-19,2,0.069,0.903,0.098,-0.405,305.327,228.004,2.549,4,roller
04-26-20,2,-0.042,0.919,-0.142,-0.362,16.970,223.232,1.477,4,roller
04-26-21,2,0.034,0.937,-0.236,-0.241,25.621,211.402,11.482,4,roller
04-26-22,2,0.189,0.955,-0.019,0.160,75.648,162.115,22.432,4,roller
04-26-23,2,0.098,0.918,0.147,0.350,348.267,136.526,16.888,4,roller
04-26-24,2,0.079,0.802,0.102,0.573,257.297,108.274,13.839,4,roller
04-26-25,2,0.034,0.417,-0.059,0.896,29.068,49.830,274.514,4,roller
04-26-26,2,-0.051,0.159,-0.086,0.980,355.911,18.817,349.367,4,roller
04-26-27,2,-0.111,-0.187,-0.066,0.969,346.244,338.692,355.181,4,roller
04-26-28,2,-0.172,-0.365,-0.074,0.911,338.386,316.374,251.483,4,roller
04-26-29,2,-0.141,-0.437,-0.060,0.885,342.399,307.305,0.914,4,roller
04-26-30,2,-0.058,-0.477,-0.030,0.876,352.508,302.814,84.180,4,roller
04-26-31,2,-0.026,-0.408,-0.012,0.687,356.004,298.702,24.350,4,roller
04-26-32,2,0.022,0.477,0.021,-0.878,356.666,303.009,359.066,4,roller
04-26-33,2,0.009,0.163,0.034,-0.983,265.539,341.136,356.403,4,roller
04-26-34,2,-0.012,0.139,0.030,-0.990,0.852,344.016,356.439,4,roller
04-26-35,2,-0.001,0.114,0.030,-0.993,311.770,346.940,356.594,4,roller
