Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
03-52-40,2.778,0,0.973,0.905,3.200,3.007,0.376,0.570,0.321,0.487,-0.004,-0.000,-0.024,-0.082,-0.025,0.991,5.169,1.562,-13.239,0.764,-0.043,0.412,35.607,-0.361,-31.020,-29.222,0.223,-28.519,0.076,-0.019,0.748,0.081,-0.024,0.749,,4,room
03-52-41,3.082,0,0.999,0.988,3.623,3.364,0.460,0.603,0.455,0.565,0.011,-0.000,-0.028,0.034,0.004,0.989,5.957,1.794,-15.199,0.754,-0.047,0.582,34.903,-0.450,-30.677,-30.059,0.181,-28.096,-0.036,0.008,0.931,-0.035,-0.003,0.930,,4,room
03-52-42,1.902,0,0.995,0.965,4.066,3.191,0.479,0.624,0.453,0.593,0.013,-0.000,-0.029,0.059,-0.053,0.988,6.140,1.856,-15.673,0.939,-0.043,0.124,34.697,-0.631,-30.859,-30.211,-0.058,-28.294,-0.070,-0.050,0.955,-0.005,-0.054,0.841,,4,room
03-52-43,2.244,0,1.000,1.000,4.432,3.977,0.455,0.640,0.451,0.597,-0.002,-0.001,-0.030,0.019,-0.079,0.960,6.326,1.920,-16.237,0.721,-0.044,-0.623,34.983,-0.980,-30.793,-29.940,-0.211,-28.533,-0.015,-0.079,0.960,-0.018,-0.081,0.959,,4,room
03-52-44,3.292,0,1.000,1.000,4.264,3.875,0.537,0.636,0.531,0.601,0.013,-0.001,-0.030,0.253,-0.092,0.955,6.317,1.918,-16.287,-0.588,-0.093,-0.625,33.906,-0.642,-31.297,-31.057,-0.494,-27.756,-0.251,-0.094,0.956,-0.264,-0.088,0.951,,4,room
03-52-45,2.473,0,1.000,1.000,3.938,3.500,0.395,0.632,0.391,0.597,0.007,-0.001,-0.030,-0.097,-0.070,0.974,6.311,1.915,-16.225,-0.928,-0.047,-0.265,36.107,-0.825,-30.809,-28.838,-0.421,-28.050,0.101,-0.069,0.975,0.107,-0.074,0.973,,4,room
03-52-46,2.043,0,0.975,0.932,3.473,3.140,0.385,0.627,0.299,0.495,-0.008,-0.000,-0.025,-0.155,-0.004,0.980,5.493,1.648,-14.022,0.458,-0.032,-0.439,36.046,-1.160,-29.942,-28.774,-0.147,-28.551,0.153,0.006,0.842,0.149,-0.008,0.843,,4,room
03-52-47,0.914,0,1.000,1.000,4.217,3.859,0.458,0.628,0.452,0.590,-0.007,-0.000,-0.029,-0.022,-0.045,0.982,6.465,1.914,-16.247,0.941,-0.047,-0.154,34.784,-0.984,-30.593,-30.152,-0.125,-28.764,0.014,-0.028,0.984,0.019,-0.053,0.983,,4,room
03-52-48,1.080,0,0.987,0.940,3.535,3.223,0.408,0.632,0.355,0.541,-0.000,-0.000,-0.026,-0.138,-0.042,0.982,5.588,1.681,-14.342,0.649,-0.054,0.657,35.661,-0.696,-31.079,-29.197,0.069,-29.028,0.137,-0.033,0.860,0.148,-0.051,0.859,,4,room
03-52-49,1.620,0,1.000,1.000,3.984,3.718,0.480,0.613,0.476,0.578,0.009,-0.000,-0.030,0.075,-0.035,0.993,6.363,1.914,-16.348,0.929,-0.049,0.360,34.641,-0.573,-30.651,-30.393,0.059,-28.272,-0.077,-0.025,0.994,-0.074,-0.047,0.993,,4,room
03-52-50,1.989,0,1.000,1.000,4.499,4.115,0.445,0.607,0.446,0.572,0.002,0.000,-0.030,-0.013,-0.036,0.999,6.373,1.916,-16.332,0.941,-0.057,0.333,35.184,-0.426,-30.435,-29.949,0.426,-29.054,0.006,-0.029,0.999,0.019,-0.043,0.999,,4,room
03-52-51,3.854,0,0.981,0.935,4.095,3.558,0.461,0.573,0.452,0.543,-0.003,0.000,-0.026,0.073,-0.053,0.982,13.589,1.650,-11.110,0.802,-0.068,0.253,34.309,-0.302,-31.044,-30.662,0.224,-29.156,-0.085,-0.054,0.868,-0.066,-0.055,0.845,,4,room
03-52-52,2.849,0,1.000,1.000,4.629,4.226,0.520,0.628,0.514,0.593,0.019,-0.000,-0.030,0.196,-0.080,0.969,16.437,1.917,-12.694,0.222,-0.083,-0.881,34.101,-0.550,-31.007,-30.893,-0.254,-28.052,-0.198,-0.081,0.969,-0.197,-0.077,0.968,,4,room
03-52-53,1.108,0,0.819,0.665,0.317,0.236,0.039,0.210,-0.044,0.092,0.003,-0.000,-0.007,0.029,-0.042,0.994,3.891,0.454,-3.007,-0.027,-0.042,0.533,35.525,-0.203,-32.121,-29.423,-0.164,-28.254,-0.027,-0.037,0.231,-0.014,-0.036,0.233,,4,room
03-52-54,1.815,0,1.000,1.000,4.147,3.795,0.367,0.635,0.361,0.598,-0.007,-0.000,-0.029,-0.245,-0.075,0.958,16.586,1.921,-12.638,-0.473,-0.081,0.741,36.130,-0.868,-30.961,-28.695,-0.258,-28.574,0.247,-0.065,0.959,0.257,-0.079,0.956,,4,room
03-52-55,0.736,0,1.000,1.000,3.546,3.286,0.415,0.626,0.409,0.588,-0.005,-0.000,-0.029,-0.146,-0.046,0.983,16.487,1.922,-12.779,-0.962,-0.019,-0.087,35.376,-0.903,-30.779,-29.552,-0.072,-28.787,0.141,-0.028,0.984,0.145,-0.059,0.983,,4,room
03-52-56,1.519,0,1.000,1.000,3.972,3.665,0.427,0.633,0.423,0.594,0.008,-0.001,-0.030,-0.094,-0.055,0.974,16.554,1.918,-12.722,-0.526,-0.048,-0.733,35.244,-0.968,-30.933,-29.704,-0.228,-28.540,0.092,-0.044,0.975,0.099,-0.069,0.972,,4,room
03-52-57,1.860,0,0.921,0.875,3.322,3.139,0.336,0.494,0.375,0.515,-0.003,-0.000,-0.025,-0.026,-0.085,0.967,13.564,1.564,-10.410,-0.303,-0.115,-0.206,34.756,-0.918,-31.099,-30.184,-0.193,-29.496,-0.006,-0.069,0.788,0.016,-0.095,0.812,,4,room
