Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-49-05,2.764,1,0.916,0.851,3.476,3.381,0.602,0.393,0.542,0.453,-0.000,0.003,-0.020,0.160,0.038,0.984,-40.466,3.306,41.062,0.837,-0.152,0.149,29.943,4.070,-22.923,-30.029,2.443,-23.851,-0.152,0.040,0.837,-0.168,0.039,0.834,,7,walk
12-49-06,3.683,1,0.940,0.750,3.914,3.829,0.630,0.450,0.564,0.504,-0.000,0.003,-0.023,0.227,-0.189,0.950,-47.509,3.919,48.294,0.986,-0.030,-0.119,29.367,3.452,-22.897,-30.453,1.923,-23.520,-0.223,-0.194,0.950,-0.234,-0.190,0.949,,7,walk
12-49-07,2.892,1,0.897,0.659,4.022,3.990,0.630,0.463,0.564,0.516,-0.001,0.003,-0.023,0.171,-0.247,0.953,-47.508,3.920,48.348,0.998,-0.039,0.013,29.045,3.318,-22.923,-30.736,1.810,-23.452,-0.160,-0.245,0.955,-0.181,-0.244,0.952,,7,walk
12-49-08,2.794,1,0.487,0.000,3.248,-1.000,0.599,0.437,0.428,0.402,0.025,0.003,-0.019,0.075,-0.174,0.977,-39.301,3.244,39.993,0.824,-0.074,0.178,29.694,3.904,-22.818,-30.172,1.542,-23.416,-0.074,-0.172,0.805,0.000,0.000,0.000,,7,walk
12-49-09,2.794,1,0.607,0.001,4.394,-1.000,0.561,0.418,0.410,0.326,0.030,0.004,-0.023,0.028,-0.151,0.988,-47.496,3.915,48.316,0.998,-0.051,0.033,30.490,4.221,-23.128,-30.172,1.542,-23.416,-0.029,-0.148,0.988,0.000,0.000,0.000,,7,walk
12-49-10,3.207,1,0.792,0.397,3.667,1.577,0.563,0.407,0.462,0.444,0.016,0.003,-0.020,0.061,-0.060,0.996,-42.580,3.507,43.329,0.896,0.012,0.105,30.551,4.038,-22.186,-29.800,2.025,-23.849,-0.056,-0.057,0.858,-0.033,-0.033,0.480,,7,walk
12-49-11,3.335,1,0.961,0.927,4.028,3.957,0.584,0.385,0.520,0.436,-0.007,0.003,-0.024,0.115,0.040,0.977,-47.470,3.903,48.333,0.987,-0.078,-0.058,30.215,4.291,-23.050,-29.710,2.819,-23.655,-0.108,0.041,0.976,-0.114,0.042,0.977,,7,walk
12-49-12,3.444,1,1.000,1.000,4.242,4.222,0.541,0.364,0.477,0.409,-0.001,0.003,-0.024,-0.016,0.234,0.971,-47.505,3.858,48.211,0.979,-0.200,0.029,30.898,4.045,-23.443,-28.994,2.670,-23.669,0.022,0.234,0.971,0.006,0.235,0.971,,7,walk
12-49-13,2.078,1,0.950,0.895,4.004,3.723,0.565,0.350,0.503,0.416,0.001,0.004,-0.022,0.053,0.199,0.977,-44.004,3.566,44.597,0.907,-0.184,0.105,30.505,4.594,-23.352,-29.414,3.030,-23.569,-0.042,0.198,0.903,-0.063,0.190,0.866,,7,walk
12-49-14,0.922,1,0.837,0.084,4.275,-1.000,0.588,0.352,0.429,0.421,0.028,0.004,-0.022,0.129,0.215,0.965,-43.859,3.556,44.437,0.904,-0.183,0.108,30.224,4.423,-23.392,-29.280,2.220,-23.413,-0.133,0.225,0.925,0.000,0.000,0.000,,7,walk
12-49-15,0.922,1,0.817,0.038,4.678,-1.000,0.596,0.366,0.417,0.416,0.030,0.004,-0.023,0.177,0.225,0.958,-47.525,3.852,48.147,0.980,-0.196,0.039,30.183,4.063,-23.383,-29.280,2.220,-23.413,-0.179,0.226,0.957,0.000,0.000,0.000,,7,walk
12-49-16,0.922,1,0.781,0.017,4.921,-1.000,0.591,0.367,0.300,0.294,0.030,0.004,-0.023,0.183,0.221,0.958,-47.530,3.854,48.150,0.982,-0.187,0.023,30.361,4.047,-23.359,-29.280,2.220,-23.413,-0.182,0.221,0.958,0.000,0.000,0.000,,7,walk
12-49-17,1.093,1,0.729,0.104,4.463,-0.538,0.583,0.362,0.274,0.241,0.027,0.004,-0.022,0.158,0.188,0.966,-43.865,3.560,44.447,0.905,-0.177,0.097,30.534,4.294,-23.346,-29.403,2.237,-23.467,-0.152,0.183,0.852,-0.017,0.018,0.073,,7,walk
12-49-18,3.081,1,0.966,0.935,3.714,3.344,0.567,0.371,0.453,0.367,0.010,0.003,-0.021,0.103,0.134,0.979,-42.269,3.467,42.828,0.872,0.121,0.093,30.762,4.149,-23.167,-29.340,2.712,-23.508,-0.096,0.132,0.868,-0.103,0.123,0.831,,7,walk
12-49-19,2.824,1,0.996,0.993,3.884,3.923,0.533,0.436,0.466,0.488,-0.010,0.003,-0.023,-0.006,-0.135,0.986,-47.573,3.912,48.211,0.989,0.041,0.009,31.141,3.685,-23.360,-28.657,2.066,-23.459,0.021,-0.140,0.985,0.001,-0.136,0.986,,7,walk
12-49-20,1.235,1,0.572,0.333,2.570,1.010,0.545,0.467,0.399,0.409,0.009,0.003,-0.018,0.049,-0.168,0.979,-36.082,2.963,36.553,0.752,-0.094,0.257,30.670,3.962,-23.451,-29.354,2.517,-23.578,-0.043,-0.164,0.703,-0.020,-0.087,0.404,,7,walk
12-49-21,0.399,1,0.377,0.000,2.756,-1.000,0.597,0.493,0.309,0.322,0.022,0.003,-0.017,0.107,-0.282,0.933,-34.452,2.843,34.877,0.722,-0.041,0.305,29.954,3.653,-23.741,-29.527,2.686,-23.563,-0.108,-0.284,0.657,0.000,0.000,0.000,,7,walk
12-49-22,0.399,1,0.512,0.000,4.327,-1.000,0.596,0.452,0.300,0.181,0.030,0.004,-0.024,0.148,-0.292,0.943,-47.585,3.920,48.170,0.999,0.000,0.042,30.027,4.050,-23.602,-29.527,2.686,-23.563,-0.147,-0.289,0.944,0.000,0.000,0.000,,7,walk
12-49-23,0.491,1,0.667,0.054,4.328,-0.640,0.609,0.424,0.412,0.248,0.028,0.004,-0.024,0.181,-0.190,0.965,-47.592,3.914,48.178,0.994,0.096,0.043,29.789,4.391,-23.495,-29.592,2.647,-23.584,-0.180,-0.191,0.965,-0.014,-0.009,0.065,,7,walk
12-49-24,2.620,1,0.843,0.695,3.254,3.660,0.591,0.419,0.531,0.488,-0.002,0.003,-0.022,0.142,-0.128,0.973,-44.015,3.619,44.628,0.915,-0.023,0.039,30.210,4.376,-23.265,-29.797,2.441,-23.580,-0.125,-0.109,0.830,-0.148,-0.131,0.897,,7,walk
12-49-25,3.266,1,1.000,1.000,4.146,4.129,0.523,0.341,0.456,0.394,0.004,0.004,-0.023,-0.057,0.190,0.978,-47.442,3.884,48.254,0.983,-0.185,0.016,31.224,4.738,-22.425,-28.586,3.093,-22.682,0.065,0.191,0.978,0.047,0.196,0.977,,7,walk
12-49-26,3.424,1,0.779,0.224,3.662,0.013,0.548,0.364,0.223,0.212,0.019,0.003,-0.019,0.025,0.169,0.981,-38.672,3.151,39.300,0.799,-0.158,0.211,30.865,4.896,-25.650,-29.422,2.691,-24.493,-0.024,0.176,0.832,0.002,0.046,0.179,,7,walk
