Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-10-56,1.541,1,1.000,1.000,3.578,3.241,0.568,0.704,0.589,0.657,0.004,-0.002,-0.029,0.368,-0.163,0.911,-53.083,2.555,75.619,-0.779,-0.567,0.186,32.436,-2.241,-29.979,-31.428,-1.044,-28.791,-0.385,-0.159,0.907,-0.366,-0.166,0.912,,8,beach
04-10-57,0.819,1,0.912,0.992,2.865,3.374,0.432,0.696,0.460,0.625,-0.004,-0.001,-0.029,0.123,-0.092,0.934,-53.518,2.472,75.687,-0.557,-0.546,-0.010,34.881,-2.065,-30.142,-28.911,-0.507,-28.623,-0.177,-0.115,0.803,-0.094,-0.099,0.938,,8,beach
04-10-58,2.108,1,1.000,1.000,3.645,3.417,0.371,0.708,0.410,0.630,-0.007,-0.002,-0.028,-0.061,-0.150,0.984,-53.029,2.661,75.630,0.049,0.012,-0.995,36.115,-2.885,-28.853,-28.052,-0.920,-27.280,0.046,-0.143,0.986,0.060,-0.146,0.984,,8,beach
04-10-59,0.826,1,0.808,0.875,2.963,2.255,0.483,0.736,0.500,0.679,0.010,-0.002,-0.025,0.135,-0.218,0.948,-46.154,2.274,65.745,-0.274,-0.365,-0.417,33.999,-3.043,-28.886,-29.710,-1.328,-27.947,-0.143,-0.214,0.819,-0.112,-0.213,0.731,,8,beach
04-11-00,1.082,1,1.000,1.000,3.549,3.367,0.449,0.703,0.463,0.631,-0.002,-0.002,-0.028,0.136,-0.141,0.972,-55.608,2.452,75.250,-0.640,-0.684,-0.291,34.839,-2.672,-29.017,-28.897,-0.832,-27.709,-0.161,-0.144,0.967,-0.111,-0.138,0.976,,8,beach
04-11-01,2.341,1,0.951,1.000,3.840,3.661,0.364,0.733,0.397,0.650,-0.011,-0.002,-0.028,-0.051,-0.189,0.965,-62.952,2.555,73.320,0.048,-0.402,-0.786,36.229,-3.012,-29.594,-27.725,-1.112,-27.794,0.044,-0.196,0.961,0.059,-0.192,0.963,,8,beach
04-11-02,1.568,1,1.000,1.000,3.647,3.392,0.308,0.693,0.347,0.608,0.004,-0.001,-0.029,-0.168,-0.076,0.977,-62.752,2.563,73.390,0.922,-0.254,0.052,37.347,-2.404,-29.849,-26.713,-0.480,-27.607,0.162,-0.081,0.977,0.168,-0.071,0.978,,8,beach
04-11-03,2.249,1,0.613,0.845,3.693,3.499,0.276,0.759,0.316,0.666,-0.002,-0.002,-0.029,-0.224,-0.212,0.944,-62.772,2.569,73.533,0.730,-0.363,0.526,37.772,-3.429,-30.038,-26.152,-1.431,-27.810,0.232,-0.223,0.940,0.238,-0.218,0.940,,8,beach
04-11-04,1.920,1,0.893,0.948,3.457,3.288,0.419,0.668,0.455,0.598,-0.007,-0.001,-0.028,0.066,-0.081,0.978,-61.731,2.580,75.170,0.880,-0.211,0.269,35.282,-1.795,-29.456,-28.840,-0.149,-27.538,-0.071,-0.087,0.979,-0.068,-0.080,0.978,,8,beach
04-11-05,3.001,1,1.000,1.000,3.375,3.154,0.401,0.675,0.439,0.603,-0.006,-0.001,-0.028,0.029,-0.112,0.993,-61.113,2.590,76.072,0.980,-0.191,0.042,35.680,-2.131,-28.849,-28.538,-0.236,-27.300,-0.034,-0.107,0.993,-0.028,-0.118,0.992,,8,beach
04-11-06,2.123,1,1.000,1.000,3.618,3.350,0.378,0.669,0.421,0.596,-0.005,-0.001,-0.028,-0.017,-0.098,0.995,-61.112,2.587,76.061,0.979,-0.196,0.061,36.121,-2.064,-28.790,-28.203,-0.191,-27.027,0.011,-0.091,0.996,0.021,-0.102,0.994,,8,beach
04-11-07,3.016,1,0.988,1.000,3.591,3.342,0.370,0.666,0.414,0.592,0.003,-0.001,-0.028,-0.035,-0.088,0.995,-60.124,2.585,76.140,0.978,-0.198,0.062,36.291,-2.017,-28.678,-28.087,-0.084,-27.061,0.026,-0.085,0.996,0.042,-0.096,0.994,,8,beach
04-11-08,1.457,1,0.898,0.967,3.594,3.177,0.417,0.726,0.448,0.657,-0.002,-0.002,-0.028,0.067,-0.255,0.949,-53.512,2.564,76.613,0.813,-0.490,-0.173,35.349,-2.950,-28.987,-28.651,-1.114,-27.413,-0.076,-0.225,0.956,-0.064,-0.259,0.947,,8,beach
04-11-09,1.832,1,1.000,1.000,3.515,3.329,0.391,0.608,0.423,0.540,0.004,0.000,-0.028,-0.003,0.052,0.992,-53.085,2.554,76.682,0.964,-0.206,-0.031,35.876,-0.710,-29.631,-28.215,0.900,-27.578,-0.011,0.054,0.993,0.012,0.064,0.991,,8,beach
04-11-10,1.125,1,0.975,0.973,3.630,3.192,0.440,0.685,0.462,0.621,-0.009,-0.001,-0.028,0.089,-0.153,0.981,-52.336,2.572,76.775,0.945,-0.297,-0.106,34.931,-2.265,-28.794,-29.014,-0.488,-27.514,-0.125,-0.141,0.980,-0.072,-0.165,0.980,,8,beach
04-11-11,0.371,1,0.809,0.774,3.502,2.708,0.447,0.728,0.453,0.677,0.004,-0.002,-0.028,0.073,-0.311,0.945,-51.903,2.580,76.857,0.836,-0.457,-0.290,34.679,-2.833,-28.907,-28.995,-1.181,-27.618,-0.116,-0.268,0.953,-0.023,-0.360,0.928,,8,beach
04-11-12,0.495,1,0.984,0.969,3.712,3.204,0.414,0.711,0.413,0.638,-0.006,-0.001,-0.028,0.006,-0.216,0.973,-52.281,2.585,76.672,-0.002,-0.336,-0.879,35.455,-2.753,-28.793,-28.030,-0.754,-27.235,-0.075,-0.195,0.977,0.033,-0.233,0.966,,8,beach
04-11-13,0.365,1,0.968,0.988,3.764,2.926,0.412,0.713,0.406,0.647,-0.001,-0.002,-0.028,0.009,-0.247,0.967,-52.542,2.583,76.621,-0.321,-0.359,-0.872,35.533,-2.815,-28.652,-27.903,-0.853,-27.075,-0.079,-0.202,0.975,0.048,-0.285,0.955,,8,beach
