Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-22-26,1,-0.065,0.881,-0.026,-0.460,6.044,234.872,354.647,8,room
04-22-27,1,-0.066,0.627,0.012,-0.759,5.111,280.659,353.967,8,room
04-22-28,1,-0.084,0.206,0.066,-0.963,7.791,335.271,350.837,8,room
04-22-29,1,-0.060,0.409,0.050,-0.909,3.901,311.323,351.956,8,room
04-22-30,1,-0.077,0.609,0.038,-0.772,4.036,283.141,351.190,8,room
04-22-31,1,-0.059,0.707,0.041,-0.704,1.429,269.640,351.902,8,room
04-22-32,1,-0.075,0.661,0.024,-0.745,4.616,276.590,352.344,8,room
04-22-33,1,-0.085,0.613,0.013,-0.785,6.781,283.666,352.788,8,room
04-22-34,1,-0.059,0.507,0.050,-0.836,130.123,297.462,352.012,8,room
04-22-35,1,-0.090,0.058,0.059,-0.992,9.860,352.711,352.568,8,room
04-22-36,1,-0.013,-0.160,0.054,-0.976,119.070,60.855,353.613,8,room
04-22-37,1,-0.034,-0.454,0.078,-0.886,7.478,53.835,353.768,8,room
04-22-38,1,-0.045,-0.353,0.061,-0.929,50.875,41.337,355.467,8,room
04-22-39,1,-0.083,0.343,0.029,-0.849,65.356,218.306,351.408,8,room
04-22-40,1,-0.105,0.907,-0.016,-0.385,6.179,225.480,349.739,8,room
04-22-41,1,-0.048,0.969,0.010,-0.238,65.694,207.636,354.470,8,room
04-22-42,1,-0.052,0.997,0.040,-0.022,355.584,182.742,353.979,8,room
04-22-43,1,-0.036,0.976,0.096,-0.184,349.990,201.856,353.823,8,room
04-22-44,1,-0.090,0.774,0.033,-0.602,98.606,255.435,350.211,8,room
04-22-45,1,-0.073,0.674,0.011,-0.731,5.367,274.360,353.362,8,room
04-22-46,1,-0.139,0.941,-0.177,-0.082,20.384,185.794,342.557,8,room
04-22-47,1,-0.055,0.811,-0.217,0.531,17.447,110.488,340.524,8,room
04-22-48,1,-0.017,0.755,-0.119,0.643,9.043,98.313,349.598,8,room
04-22-49,1,-0.016,0.685,-0.109,0.720,7.309,86.466,349.610,8,room
04-22-50,1,-0.022,0.680,-0.105,0.725,6.358,85.689,349.491,8,room
04-22-51,1,-0.017,0.677,-0.113,0.727,7.383,85.190,349.116,8,room
04-22-52,1,0.008,0.797,-0.132,0.576,12.489,107.452,351.901,8,room
04-22-53,1,-0.035,0.861,-0.092,0.462,6.924,123.191,351.873,8,room
04-22-54,1,-0.019,0.962,-0.086,0.255,9.000,149.987,355.264,8,room
04-22-55,1,0.021,0.949,-0.135,0.284,15.527,146.329,357.809,8,room
