Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-45-29,0,0.023,0.700,0.033,0.711,311.261,89.102,4.587,9,room
12-45-30,0,-0.002,0.676,0.055,0.735,355.547,85.085,4.488,9,room
12-45-31,0,-0.001,0.690,0.054,0.722,355.647,87.186,4.424,9,room
12-45-32,0,-0.008,0.781,0.021,0.624,357.509,102.713,0.821,9,room
12-45-33,0,-0.018,0.807,-0.011,0.590,236.086,107.577,312.619,9,room
12-45-34,0,0.029,0.914,-0.140,0.313,16.150,142.423,203.393,9,room
12-45-35,0,-0.029,0.951,-0.271,-0.102,31.703,192.420,198.827,9,room
12-45-36,0,-0.035,0.942,-0.284,-0.167,33.327,200.630,1.879,9,room
12-45-37,0,0.020,0.939,-0.340,0.030,39.790,176.758,50.893,9,room
12-45-38,0,-0.053,0.908,-0.246,-0.306,29.170,217.891,2.986,9,room
12-45-39,0,-0.047,0.805,-0.114,-0.569,13.996,250.741,2.585,9,room
12-45-40,0,-0.006,0.753,-0.011,-0.655,241.445,262.014,168.141,9,room
12-45-41,0,-0.095,0.786,-0.136,-0.595,19.025,254.370,60.742,9,room
12-45-42,0,-0.114,0.757,-0.160,-0.623,22.563,259.289,1.696,9,room
12-45-43,0,-0.111,0.815,-0.195,-0.516,26.139,244.741,38.125,9,room
12-45-44,0,-0.089,0.882,-0.248,-0.379,30.556,227.044,2.003,9,room
12-45-45,0,-0.149,0.809,-0.173,-0.540,26.213,246.647,331.630,9,room
12-45-46,0,-0.025,0.810,-0.078,-0.576,20.623,250.758,84.079,9,room
12-45-47,0,0.051,0.833,-0.041,-0.550,12.696,246.897,7.420,9,room
12-45-48,0,0.045,0.840,-0.040,-0.539,1.087,245.488,6.788,9,room
12-45-49,0,0.008,0.784,-0.015,-0.618,60.911,256.507,61.766,9,room
12-45-50,0,-0.000,0.727,0.010,-0.686,359.162,266.705,359.166,9,room
12-45-51,0,-0.018,0.735,-0.027,-0.673,3.641,265.034,60.642,9,room
12-45-52,0,-0.005,0.575,0.010,-0.817,218.422,289.732,281.512,9,room
12-45-53,0,0.011,0.550,0.042,-0.834,356.261,293.336,356.675,9,room
12-45-54,0,0.002,0.587,0.012,-0.810,311.005,288.159,358.970,9,room
12-45-55,0,-0.012,0.628,-0.011,-0.776,1.935,282.053,275.995,9,room
12-45-56,0,-0.136,0.810,-0.313,-0.459,39.964,240.552,4.408,9,room
12-45-57,0,-0.031,0.953,-0.151,0.041,17.685,175.883,210.300,9,room
12-45-58,0,0.026,0.914,0.005,0.405,25.563,132.227,2.930,9,room
