Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-44-32,0,-0.143,0.737,-0.247,-0.611,32.713,261.072,6.092,1,room
11-44-33,0,-0.131,0.698,-0.214,-0.671,28.370,269.434,6.831,1,room
11-44-34,0,-0.097,0.775,-0.169,-0.595,22.288,255.905,29.034,1,room
11-44-35,0,-0.034,0.741,-0.027,-0.670,4.902,264.196,347.181,1,room
11-44-36,0,-0.035,0.735,-0.016,-0.677,4.098,265.256,358.335,1,room
11-44-37,0,-0.083,0.732,-0.087,-0.670,13.817,264.876,247.103,1,room
11-44-38,0,-0.095,0.747,-0.101,-0.650,15.925,261.956,347.374,1,room
11-44-39,0,-0.077,0.723,-0.075,-0.682,12.355,266.604,324.593,1,room
11-44-40,0,-0.141,0.693,-0.139,-0.693,22.847,269.938,323.758,1,room
11-44-41,0,-0.103,0.631,-0.088,-0.764,15.551,280.936,74.719,1,room
11-44-42,0,-0.106,0.698,-0.117,-0.678,18.519,268.177,79.013,1,room
11-44-43,0,0.029,0.971,-0.192,0.078,22.526,171.240,1.734,1,room
11-44-44,0,0.043,0.959,-0.212,0.180,25.014,158.886,174.640,1,room
11-44-45,0,0.018,0.967,-0.200,0.152,23.102,161.815,358.369,1,room
11-44-46,0,0.000,0.979,-0.142,0.146,16.143,162.702,357.576,1,room
11-44-47,0,-0.028,0.990,-0.040,0.133,4.092,164.517,356.168,1,room
11-44-48,0,-0.036,0.991,-0.027,0.122,2.565,165.853,355.517,1,room
11-44-49,0,-0.037,0.991,-0.011,0.124,12.000,165.679,355.596,1,room
11-44-50,0,-0.040,0.994,0.030,0.099,345.170,168.764,355.733,1,room
11-44-51,0,-0.039,0.988,0.082,0.118,350.180,166.687,356.721,1,room
11-44-52,0,-0.045,0.971,0.182,0.142,338.420,163.806,357.746,1,room
11-44-53,0,-0.037,0.967,0.165,0.121,264.100,166.211,357.785,1,room
11-44-54,0,-0.007,0.980,-0.102,-0.004,11.576,180.144,298.113,1,room
11-44-55,0,-0.024,0.828,-0.005,-0.543,2.064,246.417,358.071,1,room
11-44-56,0,-0.054,0.533,-0.014,-0.834,6.149,294.722,358.136,1,room
11-44-57,0,-0.020,0.870,-0.052,-0.128,7.257,196.378,357.868,1,room
11-44-58,0,-0.000,0.242,-0.030,0.038,9.144,65.540,128.483,1,room
11-44-59,0,-0.006,0.362,-0.013,-0.104,8.212,78.568,22.658,1,room
11-45-00,0,0.019,0.931,-0.044,0.346,5.400,139.257,139.646,1,room
11-45-01,0,0.018,0.982,-0.085,0.169,9.996,160.522,0.425,1,room
