Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-56-49,2,-0.196,0.655,-0.028,0.728,345.530,86.247,342.046,13,roller
11-56-50,2,-0.190,0.731,-0.073,0.650,352.043,98.239,337.922,13,roller
11-56-51,2,-0.250,0.775,-0.162,0.555,243.439,109.193,325.342,13,roller
11-56-52,2,-0.309,0.837,-0.244,0.370,10.508,127.937,314.655,13,roller
11-56-53,2,-0.239,0.921,-0.261,0.134,24.230,156.004,325.810,13,roller
11-56-54,2,-0.111,0.973,-0.128,-0.121,26.265,192.170,348.093,13,roller
11-56-55,2,-0.021,0.914,0.200,-0.325,339.080,221.597,348.286,13,roller
11-56-56,2,0.069,0.851,0.194,-0.475,336.528,239.618,295.485,13,roller
11-56-57,2,-0.006,0.890,-0.089,-0.441,72.988,233.134,3.904,13,roller
11-56-58,2,0.044,0.905,-0.234,-0.346,23.465,225.035,15.310,13,roller
11-56-59,2,0.229,0.954,-0.074,-0.118,147.159,195.296,28.584,13,roller
11-57-00,2,0.205,0.935,0.118,0.231,352.602,150.468,26.629,13,roller
11-57-01,2,0.216,0.703,0.159,0.642,123.090,96.039,30.521,13,roller
11-57-02,2,0.108,0.178,0.052,0.960,9.934,57.107,9.000,13,roller
11-57-03,2,-0.010,-0.033,0.027,0.999,260.737,356.135,3.081,13,roller
11-57-04,2,-0.017,-0.017,0.021,0.999,358.066,358.022,2.406,13,roller
11-57-05,2,-0.004,-0.072,0.013,0.997,218.730,351.713,1.557,13,roller
11-57-06,2,-0.019,-0.152,0.012,0.987,358.109,342.440,1.762,13,roller
11-57-07,2,-0.004,-0.056,0.027,0.998,327.040,353.541,3.153,13,roller
11-57-08,2,-0.007,-0.051,0.027,0.998,359.347,354.182,3.139,13,roller
11-57-09,2,0.007,0.034,-0.018,-0.654,359.087,353.993,3.192,13,roller
11-57-10,2,0.009,0.049,-0.026,-0.998,323.162,354.374,2.979,13,roller
11-57-11,2,-0.072,-0.008,0.005,-0.997,8.313,128.668,266.699,13,roller
11-57-12,2,-0.121,-0.026,0.026,-0.992,13.914,72.363,357.353,13,roller
11-57-13,2,-0.145,0.024,0.020,-0.989,16.657,356.769,357.163,13,roller
11-57-14,2,-0.137,-0.142,0.027,-0.973,16.001,42.219,230.712,13,roller
11-57-15,2,-0.166,-0.336,0.086,-0.923,21.340,39.477,357.097,13,roller
11-57-16,2,-0.081,-0.154,0.053,-0.975,46.194,65.728,356.225,13,roller
11-57-17,2,0.035,-0.035,0.043,-0.998,356.122,4.140,354.860,13,roller
11-57-18,2,-0.007,-0.219,0.048,-0.970,136.992,25.433,355.056,13,roller
