Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-19-11,2,-0.006,0.659,-0.014,0.751,0.557,82.530,358.381,13,sea
12-19-12,2,-0.013,0.732,-0.015,0.680,0.311,94.194,343.876,13,sea
12-19-13,2,0.016,0.606,0.008,0.793,14.257,74.828,1.910,13,sea
12-19-14,2,-0.012,0.626,-0.011,0.777,293.132,77.783,344.867,13,sea
12-19-15,2,-0.017,0.767,-0.015,0.641,138.522,100.182,357.463,13,sea
12-19-16,2,-0.004,0.795,-0.008,0.606,0.473,105.366,359.097,13,sea
12-19-17,2,-0.007,0.837,-0.007,0.547,129.774,113.654,358.877,13,sea
12-19-18,2,-0.017,0.898,-0.004,0.437,359.507,128.085,358.044,13,sea
12-19-19,2,0.007,0.894,0.009,0.448,359.478,126.799,67.881,13,sea
12-19-20,2,-0.010,0.907,0.004,0.417,359.202,130.689,276.006,13,sea
12-19-21,2,-0.071,0.988,0.000,0.085,359.300,170.190,351.789,13,sea
12-19-22,2,-0.062,0.975,0.016,-0.200,359.628,203.263,352.664,13,sea
12-19-23,2,-0.066,0.847,0.034,-0.512,43.901,242.260,351.474,13,sea
12-19-24,2,-0.047,0.634,0.040,-0.767,1.132,280.812,352.987,13,sea
12-19-25,2,-0.023,0.505,0.027,-0.862,0.669,299.254,356.022,13,sea
12-19-26,2,-0.013,0.455,0.013,-0.890,0.624,305.869,358.034,13,sea
12-19-27,2,-0.008,0.333,0.019,-0.941,38.732,321.026,357.610,13,sea
12-19-28,2,-0.009,0.012,0.041,-0.993,1.021,185.233,355.273,13,sea
12-19-29,2,0.007,-0.117,0.011,-0.992,303.984,13.471,234.097,13,sea
12-19-30,2,0.008,-0.036,-0.008,-0.999,359.030,44.087,0.829,13,sea
12-19-31,2,0.007,0.158,-0.035,-0.985,193.677,341.758,4.083,13,sea
12-19-32,2,0.013,0.270,-0.019,-0.962,359.178,328.623,2.540,13,sea
12-19-33,2,0.011,0.369,-0.026,-0.929,221.520,316.682,3.266,13,sea
12-19-34,2,-0.002,0.349,-0.010,-0.937,55.959,319.157,0.959,13,sea
12-19-35,2,-0.010,0.326,-0.007,-0.945,1.293,321.963,0.365,13,sea
12-19-36,2,-0.013,0.304,-0.006,-0.952,1.616,324.561,0.194,13,sea
12-19-37,2,-0.020,0.271,-0.007,-0.962,2.424,328.546,55.520,13,sea
12-19-38,2,-0.026,0.103,-0.005,-0.989,2.980,254.793,53.602,13,sea
12-19-39,2,-0.020,-0.299,-0.010,-0.947,1.812,35.132,1.811,13,sea
12-19-40,2,-0.020,-0.562,-0.000,-0.826,1.915,68.476,1.317,13,sea
