Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
05-01-31,0,-0.017,-0.996,-0.028,0.078,356.664,188.865,1.679,14,beach
05-01-32,0,-0.025,-0.996,-0.017,0.079,357.877,189.027,2.693,14,beach
05-01-33,0,-0.017,-0.993,-0.006,0.118,312.097,193.574,1.812,14,beach
05-01-34,0,0.102,-0.804,0.047,0.465,77.722,239.941,274.100,14,beach
05-01-35,0,0.186,-0.615,0.083,0.759,22.742,280.712,353.866,14,beach
05-01-36,0,0.119,-0.711,0.053,0.691,13.888,267.675,354.279,14,beach
05-01-37,0,0.041,-0.916,0.062,0.298,8.967,216.055,326.664,14,beach
05-01-38,0,-0.003,-0.992,0.050,0.107,5.633,192.331,0.946,14,beach
05-01-39,0,-0.007,-0.994,0.031,0.102,3.397,191.807,1.178,14,beach
05-01-40,0,-0.018,-0.997,0.017,0.078,1.816,188.991,2.264,14,beach
05-01-41,0,-0.019,-0.995,0.029,0.090,3.136,190.386,2.469,14,beach
05-01-42,0,-0.008,-0.995,-0.035,0.094,309.022,190.779,172.658,14,beach
05-01-43,0,0.001,-0.989,-0.099,0.109,348.739,192.698,313.610,14,beach
05-01-44,0,0.008,-0.979,-0.154,0.127,342.588,195.275,356.719,14,beach
05-01-45,0,-0.015,-0.985,-0.134,0.079,344.489,189.158,109.916,14,beach
05-01-46,0,-0.011,-0.996,-0.055,0.065,353.636,187.391,86.558,14,beach
05-01-47,0,-0.024,-0.968,-0.188,0.139,338.108,196.567,249.676,14,beach
05-01-48,0,-0.039,-0.950,-0.278,0.138,327.432,196.578,212.574,14,beach
05-01-49,0,-0.057,-0.979,-0.098,0.104,200.819,191.868,4.867,14,beach
05-01-50,0,-0.015,-0.996,0.021,0.088,2.288,190.149,1.922,14,beach
05-01-51,0,-0.012,-0.993,0.028,0.113,3.078,193.009,1.731,14,beach
05-01-52,0,-0.021,-0.994,0.030,0.100,3.200,191.514,2.783,14,beach
05-01-53,0,-0.019,-0.993,0.026,0.108,2.731,192.523,2.454,14,beach
05-01-54,0,-0.012,-0.994,-0.016,0.099,243.474,191.393,1.243,14,beach
05-01-55,0,-0.003,-0.986,-0.138,0.091,344.190,190.700,327.609,14,beach
05-01-56,0,-0.018,-0.975,-0.205,0.079,336.240,189.226,150.198,14,beach
05-01-57,0,0.007,-0.957,-0.282,0.060,327.374,188.163,324.050,14,beach
05-01-58,0,0.013,-0.971,-0.197,0.033,337.137,184.931,242.842,14,beach
05-01-59,0,-0.011,-0.986,-0.099,0.129,348.557,194.959,179.676,14,beach
05-02-00,0,-0.015,-0.977,-0.138,0.161,344.009,198.807,265.176,14,beach
