Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-11-39,0,0.000,-0.308,0.023,0.951,0.863,324.130,2.502,14,sea
04-11-40,0,0.003,-0.293,0.026,0.956,1.212,325.883,2.742,14,sea
04-11-41,0,0.005,-0.291,0.027,0.956,1.453,326.220,2.784,14,sea
04-11-42,0,0.003,-0.303,0.034,0.952,1.527,324.760,3.630,14,sea
04-11-43,0,0.003,-0.350,0.051,0.935,2.374,319.074,5.300,14,sea
04-11-44,0,0.006,-0.391,0.059,0.918,3.277,313.981,5.990,14,sea
04-11-45,0,-0.000,-0.460,0.068,0.885,3.582,305.347,6.971,14,sea
04-11-46,0,-0.002,-0.513,0.065,0.856,3.583,298.362,6.496,14,sea
04-11-47,0,0.005,-0.514,0.052,0.856,3.617,298.224,4.832,14,sea
04-11-48,0,0.008,-0.512,0.051,0.857,3.798,298.485,4.617,14,sea
04-11-49,0,0.011,-0.450,0.044,0.891,3.439,306.539,3.916,14,sea
04-11-50,0,0.034,-0.151,-0.010,0.984,3.769,342.480,346.270,14,sea
04-11-51,0,0.026,0.075,-0.010,0.995,3.107,64.870,359.061,14,sea
04-11-52,0,0.020,0.274,-0.013,0.960,2.603,31.793,359.135,14,sea
04-11-53,0,0.016,0.420,-0.007,0.907,2.049,49.746,180.028,14,sea
04-11-54,0,0.016,0.497,0.005,0.867,1.346,59.667,1.445,14,sea
04-11-55,0,0.025,0.531,0.011,0.846,1.804,64.280,2.593,14,sea
04-11-56,0,0.016,0.669,-0.014,0.741,2.414,84.135,173.804,14,sea
04-11-57,0,0.012,0.784,-0.014,0.618,2.170,103.555,161.450,14,sea
04-11-58,0,0.002,0.880,-0.016,0.473,1.748,123.426,359.374,14,sea
04-11-59,0,0.007,0.933,-0.013,0.360,1.682,137.790,186.843,14,sea
04-12-00,0,0.009,0.961,-0.014,0.275,1.847,148.086,120.507,14,sea
04-12-01,0,0.023,0.976,-0.005,0.216,1.178,155.057,2.447,14,sea
04-12-02,0,0.033,0.975,-0.005,0.216,1.396,155.101,3.610,14,sea
04-12-03,0,0.049,0.960,0.000,0.276,1.512,148.021,5.399,14,sea
04-12-04,0,0.045,0.953,-0.003,0.298,1.903,145.378,4.862,14,sea
04-12-05,0,0.037,0.948,-0.015,0.314,3.008,143.418,3.487,14,sea
04-12-06,0,0.034,0.945,-0.014,0.326,2.779,142.013,3.199,14,sea
04-12-07,0,0.033,0.943,-0.013,0.330,2.714,141.553,3.089,14,sea
04-12-08,0,0.023,0.956,-0.014,0.291,2.371,146.195,2.068,14,sea
