Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
03-36-38,1.215,0,0.923,0.963,3.695,3.297,0.560,0.374,0.558,0.446,0.006,0.009,-0.042,0.064,0.030,0.994,2.784,1.821,-12.959,-0.829,-0.272,0.478,31.806,9.352,-41.407,-32.165,8.145,-43.018,-0.062,0.030,0.992,-0.049,0.009,0.996,,2,room
03-36-39,1.358,0,0.790,0.826,2.802,2.562,0.352,0.270,0.466,0.459,0.002,0.007,-0.035,-0.179,0.007,0.975,-0.121,1.509,-9.142,-0.263,-0.142,-0.543,32.789,9.163,-42.214,-30.625,7.843,-42.897,0.186,0.011,0.796,0.190,0.011,0.825,,2,room
03-36-40,0.621,0,0.707,0.757,3.667,3.163,0.570,0.447,0.544,0.519,-0.011,0.007,-0.042,0.020,-0.261,0.948,0.082,1.827,-11.208,-0.127,-0.526,-0.808,31.573,8.369,-41.907,-31.971,6.981,-42.723,-0.077,-0.229,0.953,0.014,-0.286,0.938,,2,room
03-36-41,5.572,0,0.441,0.785,1.249,3.296,-0.165,-0.216,0.553,0.480,-0.014,0.007,-0.040,0.021,-0.094,0.990,0.080,1.780,-10.846,-0.016,-0.219,-0.900,33.857,8.655,-41.643,-32.134,7.267,-41.959,0.002,-0.062,0.476,-0.018,-0.088,0.959,,2,room
03-36-42,8.382,0,0.000,0.859,-1.000,3.591,-0.961,-0.952,0.564,0.473,-0.032,0.007,-0.042,0.067,-0.076,0.994,0.021,1.812,-11.144,-0.014,-0.159,-0.987,37.178,8.510,-44.946,-32.286,7.437,-42.158,0.000,0.000,0.000,-0.069,-0.072,0.994,,2,room
03-36-43,4.265,0,0.346,0.668,0.727,2.194,-0.321,-0.405,0.308,0.220,-0.014,0.006,-0.029,0.076,0.029,0.993,0.071,1.194,-7.835,-0.041,-0.083,-0.392,33.387,9.332,-43.756,-32.264,7.417,-42.548,-0.034,0.027,0.330,-0.069,0.028,0.661,,2,room
03-36-44,0.100,0,0.000,0.819,-1.000,3.730,-1.000,-1.000,0.546,0.456,-0.032,0.007,-0.041,0.022,-0.025,0.999,0.020,1.303,-11.148,-0.024,-0.061,-0.997,30.831,9.447,-41.015,-31.954,7.477,-40.966,0.000,0.000,0.000,-0.021,-0.026,0.999,,2,room
03-36-45,0.230,0,0.078,0.765,-0.168,3.986,-0.749,-0.777,0.553,0.453,-0.029,0.008,-0.041,0.043,0.017,0.998,-0.062,1.253,-11.068,-0.028,-0.006,-0.999,31.005,9.402,-40.872,-32.070,7.482,-41.100,-0.011,-0.012,0.160,-0.042,0.019,0.999,,2,room
03-36-46,1.367,0,0.737,0.794,4.140,3.802,0.556,0.382,0.556,0.453,0.011,0.009,-0.040,0.044,-0.024,0.998,-0.072,1.263,-11.096,-0.044,-0.021,-0.998,31.852,8.981,-39.877,-32.158,7.673,-41.696,-0.053,-0.029,0.997,-0.035,-0.006,0.999,,2,room
03-36-47,0.509,0,0.463,0.385,3.391,2.892,0.469,0.366,0.535,0.533,0.005,0.006,-0.037,0.027,-0.266,0.935,0.023,1.424,-10.132,-0.029,-0.365,-0.678,31.411,7.590,-40.312,-31.880,6.553,-41.908,-0.067,-0.243,0.845,0.021,-0.288,0.784,,2,room
