Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-39-18,0,0.065,0.180,-0.037,-0.934,246.268,200.737,78.697,2,room
03-39-19,0,-0.363,0.300,-0.121,-0.869,44.867,321.613,185.587,2,room
03-39-20,0,-0.344,0.323,-0.127,-0.872,43.040,319.323,186.076,2,room
03-39-21,0,0.102,0.603,0.135,-0.740,278.339,281.076,205.724,2,room
03-39-22,0,-0.119,-0.149,0.041,-0.715,30.402,107.710,118.165,2,room
03-39-23,0,-0.146,0.568,-0.092,-0.655,21.607,229.452,238.575,2,room
03-39-24,0,-0.021,0.970,-0.133,-0.195,15.524,202.849,79.408,2,room
03-39-25,0,-0.023,0.972,-0.119,-0.184,13.974,201.435,150.992,2,room
03-39-26,0,-0.022,0.982,-0.146,-0.117,16.994,193.475,266.568,2,room
03-39-27,0,-0.056,0.946,-0.165,-0.258,20.091,210.270,358.800,2,room
03-39-28,0,0.014,0.939,-0.205,0.125,24.121,164.273,357.670,2,room
03-39-29,0,0.111,0.854,-0.268,0.425,33.699,126.611,332.913,2,room
03-39-30,0,0.114,0.838,-0.167,0.499,23.305,119.006,73.989,2,room
03-39-31,0,0.115,0.767,-0.181,0.604,24.652,102.916,357.157,2,room
03-39-32,0,0.170,0.738,-0.181,0.627,28.742,99.716,27.304,2,room
03-39-33,0,0.083,0.908,-0.111,0.346,15.683,138.976,5.187,2,room
03-39-34,0,0.009,0.977,-0.208,0.031,24.041,176.467,168.275,2,room
03-39-35,0,0.012,0.980,-0.052,0.168,17.821,160.596,58.883,2,room
03-39-36,0,0.037,0.970,0.018,0.229,234.793,153.404,4.288,2,room
03-39-37,0,0.024,0.945,-0.122,0.292,14.429,145.352,209.741,2,room
03-39-38,0,-0.050,0.931,-0.359,0.015,41.867,175.207,352.161,2,room
03-39-39,0,0.082,0.902,-0.394,0.140,47.543,164.043,135.391,2,room
03-39-40,0,0.147,0.874,-0.440,0.138,54.237,168.955,13.422,2,room
03-39-41,0,0.154,0.876,-0.449,0.084,54.315,179.099,19.523,2,room
03-39-42,0,0.125,0.897,-0.348,0.197,42.682,160.205,45.571,2,room
03-39-43,0,-0.041,0.176,-0.005,-0.148,17.927,76.917,91.213,2,room
03-39-44,0,-0.272,-0.424,0.078,-0.860,32.234,54.426,6.609,2,room
03-39-45,0,0.024,0.095,-0.014,0.057,36.695,69.869,10.184,2,room
03-39-46,0,0.222,0.628,-0.067,0.734,37.456,84.062,11.608,2,room
03-39-47,0,-0.018,0.726,0.057,0.685,353.878,93.177,3.004,2,room
