Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-14-42,0,0.016,0.037,-0.001,0.999,23.014,4.234,148.251,2,sea
04-14-43,0,0.148,0.055,-0.023,0.982,17.192,116.730,357.766,2,sea
04-14-44,0,0.148,0.051,-0.008,0.984,17.042,135.279,143.518,2,sea
04-14-45,0,0.104,0.130,-0.011,0.986,11.970,15.016,0.337,2,sea
04-14-46,0,0.114,0.130,-0.012,0.985,13.203,15.079,0.400,2,sea
04-14-47,0,0.133,0.137,-0.014,0.981,15.370,15.937,0.604,2,sea
04-14-48,0,0.186,0.155,-0.028,0.970,21.716,18.182,97.164,2,sea
04-14-49,0,0.124,0.189,-0.020,0.973,14.402,21.995,29.227,2,sea
04-14-50,0,0.107,0.189,-0.006,0.975,12.250,22.067,1.666,2,sea
04-14-51,0,0.087,0.092,-0.003,0.992,10.022,10.699,0.608,2,sea
04-14-52,0,0.080,0.125,-0.015,0.989,9.334,14.368,317.913,2,sea
04-14-53,0,0.072,0.047,0.007,0.996,8.195,5.454,28.931,2,sea
04-14-54,0,0.060,-0.014,0.010,0.997,6.991,171.252,116.289,2,sea
04-14-55,0,0.050,-0.110,0.007,0.992,5.793,347.314,200.164,2,sea
04-14-56,0,-0.008,-0.079,-0.012,0.996,275.946,350.899,289.472,2,sea
04-14-57,0,-0.016,-0.092,-0.010,0.996,358.129,349.504,269.017,2,sea
04-14-58,0,-0.014,-0.097,-0.006,0.995,358.388,348.896,306.170,2,sea
04-14-59,0,-0.007,-0.092,-0.013,0.996,359.033,349.506,358.611,2,sea
04-15-00,0,-0.004,-0.073,-0.016,0.997,359.378,351.681,358.164,2,sea
04-15-01,0,-0.002,-0.057,-0.017,0.998,359.612,353.432,358.028,2,sea
04-15-02,0,-0.002,-0.034,-0.013,0.999,359.756,356.126,358.483,2,sea
04-15-03,0,-0.001,-0.012,-0.009,1.000,359.889,358.575,358.989,2,sea
04-15-04,0,0.003,-0.041,0.004,0.999,27.055,355.325,53.750,2,sea
04-15-05,0,0.007,-0.049,-0.001,0.999,0.856,354.413,239.871,2,sea
04-15-06,0,0.015,-0.024,-0.013,0.998,1.794,250.562,225.166,2,sea
04-15-07,0,0.019,0.261,-0.062,0.958,3.941,30.241,353.701,2,sea
04-15-08,0,-0.019,0.419,-0.029,0.907,192.306,49.579,356.136,2,sea
04-15-09,0,-0.034,0.488,-0.014,0.871,357.356,58.563,356.753,2,sea
04-15-10,0,-0.018,0.476,0.014,0.879,357.492,56.803,136.953,2,sea
04-15-11,0,-0.002,0.453,0.011,0.891,247.550,53.917,87.959,2,sea
