Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-12-22,1.814,8,0.947,0.941,2.743,2.969,0.577,0.426,0.434,0.425,0.011,0.003,-0.023,-0.085,-0.018,0.989,-4.388,7.222,120.742,-0.340,0.538,0.692,29.341,3.442,-23.449,-28.044,3.123,-22.670,0.084,-0.021,0.959,0.087,-0.018,0.961,,3,roller
04-12-23,2.430,8,1.000,1.000,2.955,3.242,0.583,0.417,0.439,0.419,-0.003,0.004,-0.023,-0.106,-0.021,0.992,-14.981,16.938,140.489,-0.923,0.180,0.299,29.158,3.905,-24.438,-28.217,3.299,-22.662,0.089,-0.017,0.993,0.101,-0.020,0.992,,3,roller
04-12-24,2.444,8,1.000,1.000,3.083,3.261,0.654,0.410,0.509,0.416,0.001,0.003,-0.023,0.068,0.006,0.995,-32.351,20.397,145.864,-0.845,-0.378,0.310,27.661,3.653,-22.910,-29.569,3.257,-22.568,-0.061,0.004,0.996,-0.063,0.006,0.996,,3,roller
04-12-25,1.943,8,1.000,1.000,3.090,3.260,0.654,0.436,0.509,0.444,-0.016,0.003,-0.023,0.079,-0.011,0.994,-48.088,13.564,153.205,-0.276,-0.372,0.822,27.698,2.968,-23.068,-29.523,2.516,-22.674,-0.068,-0.013,0.996,-0.078,-0.008,0.994,,3,roller
04-12-26,2.754,8,1.000,1.000,2.855,3.062,0.624,0.428,0.482,0.435,0.001,0.003,-0.023,0.012,0.005,0.997,-53.700,7.323,172.490,0.053,0.663,0.653,28.375,3.244,-23.452,-29.008,2.565,-22.175,-0.012,-0.000,0.997,-0.010,0.005,0.996,,3,roller
04-12-27,2.250,8,0.999,0.976,2.984,3.132,0.654,0.496,0.506,0.498,-0.005,0.002,-0.022,0.114,-0.212,0.967,-53.237,20.546,187.924,0.535,0.752,0.133,27.876,1.961,-22.647,-29.228,1.652,-21.908,-0.106,-0.211,0.969,-0.121,-0.216,0.966,,3,roller
04-12-28,2.533,8,0.999,0.986,3.023,3.230,0.611,0.446,0.463,0.452,-0.012,0.003,-0.023,0.004,-0.072,0.984,-44.194,32.355,190.013,0.602,-0.634,0.130,28.686,3.130,-23.907,-28.484,2.661,-23.090,0.006,-0.063,0.984,-0.003,-0.069,0.984,,3,roller
04-12-29,2.793,8,1.000,1.000,3.155,3.386,0.535,0.351,0.385,0.358,0.004,0.005,-0.024,-0.193,0.226,0.953,-35.353,24.136,189.113,0.050,-0.964,-0.120,30.132,4.899,-24.874,-27.032,4.354,-23.932,0.200,0.227,0.951,0.189,0.218,0.956,,3,roller
04-12-30,3.143,8,1.000,1.000,3.213,3.389,0.592,0.354,0.450,0.362,-0.009,0.005,-0.023,-0.045,0.169,0.981,-34.204,9.706,179.625,0.025,-0.193,-0.912,29.132,4.745,-23.576,-28.272,4.314,-23.211,0.037,0.172,0.981,0.043,0.166,0.981,,3,roller
04-12-31,2.098,8,0.830,0.813,2.207,2.360,0.543,0.382,0.455,0.429,-0.007,0.003,-0.019,-0.030,-0.048,0.996,-27.985,6.803,129.867,-0.002,0.468,-0.474,29.233,3.857,-24.295,-28.380,3.484,-23.508,0.013,-0.043,0.785,0.035,-0.046,0.784,,3,roller
04-12-32,3.106,8,0.991,0.971,3.023,3.271,0.586,0.510,0.441,0.515,0.003,0.002,-0.024,-0.052,-0.287,0.952,-34.209,21.643,138.935,0.012,0.411,-0.882,29.265,2.479,-24.719,-28.090,2.018,-23.775,0.052,-0.289,0.952,0.056,-0.294,0.950,,3,roller
04-12-33,2.761,8,1.000,1.000,3.035,3.276,0.591,0.447,0.447,0.451,-0.006,0.003,-0.024,-0.038,-0.117,0.991,-34.263,29.907,121.210,0.064,-0.409,-0.869,29.244,3.627,-25.098,-28.209,2.993,-23.529,0.026,-0.116,0.992,0.046,-0.116,0.991,,3,roller
04-12-34,2.440,8,1.000,1.000,3.213,3.397,0.607,0.358,0.461,0.365,0.005,0.005,-0.024,0.004,0.158,0.983,-34.731,24.009,104.485,-0.023,-0.745,-0.654,28.861,4.803,-24.037,-28.358,4.242,-23.132,0.002,0.158,0.983,-0.008,0.160,0.983,,3,roller
04-12-35,2.431,8,1.000,1.000,3.092,3.352,0.577,0.402,0.434,0.408,-0.010,0.004,-0.023,-0.061,-0.013,0.997,-38.467,12.640,88.846,-0.474,-0.560,-0.626,29.548,4.396,-24.560,-27.894,3.721,-22.932,0.048,-0.017,0.997,0.065,-0.019,0.996,,3,roller
04-12-36,1.702,8,1.000,1.000,3.094,3.348,0.561,0.394,0.418,0.399,-0.001,0.004,-0.023,-0.094,-0.010,0.993,-56.332,5.553,77.551,-0.923,-0.182,0.084,29.827,4.455,-23.939,-27.507,3.780,-22.367,0.091,-0.009,0.993,0.092,-0.006,0.994,,3,roller
04-12-37,2.245,8,1.000,1.000,2.992,3.221,0.564,0.389,0.420,0.393,-0.008,0.004,-0.023,-0.078,0.002,0.994,-77.621,5.799,86.724,-0.242,0.101,0.916,29.802,4.456,-23.474,-27.550,3.949,-22.358,0.076,-0.001,0.994,0.081,-0.001,0.994,,3,roller
04-12-38,1.467,8,1.000,1.000,2.768,3.006,0.588,0.410,0.442,0.412,-0.010,0.004,-0.023,-0.029,-0.073,0.994,-79.010,11.879,107.349,0.767,0.247,0.448,29.414,4.232,-23.711,-28.014,3.732,-22.455,0.005,-0.079,0.994,0.035,-0.074,0.994,,3,roller
04-12-39,1.463,8,1.000,1.000,2.955,3.202,0.559,0.440,0.416,0.441,0.005,0.004,-0.024,-0.100,-0.160,0.980,-61.378,18.686,117.550,0.995,0.075,0.048,29.844,3.859,-24.144,-27.493,3.295,-22.867,0.098,-0.166,0.979,0.096,-0.148,0.983,,3,roller
04-12-40,4.332,8,1.000,1.000,3.107,3.336,0.617,0.394,0.474,0.402,-0.001,0.004,-0.023,0.022,-0.021,0.997,-40.404,22.584,118.932,0.998,-0.013,-0.035,28.684,4.470,-23.700,-28.730,3.814,-22.501,-0.028,-0.020,0.997,-0.018,-0.021,0.997,,3,roller
04-12-41,2.124,8,1.000,1.000,3.155,3.351,0.638,0.384,0.495,0.392,-0.005,0.004,-0.023,0.074,0.016,0.996,-20.783,24.391,116.859,0.959,-0.130,-0.230,28.204,4.476,-23.087,-29.093,3.900,-22.377,-0.068,0.014,0.997,-0.075,0.018,0.995,,3,roller
04-12-42,2.303,8,1.000,1.000,3.143,3.381,0.641,0.392,0.498,0.400,-0.011,0.004,-0.022,0.096,-0.017,0.995,-2.205,23.814,111.148,0.797,-0.295,-0.515,28.148,4.391,-23.078,-29.079,3.681,-21.846,-0.076,-0.021,0.997,-0.102,-0.015,0.994,,3,roller
04-12-43,1.881,8,0.959,0.918,2.840,2.929,0.606,0.402,0.465,0.408,0.003,0.004,-0.021,0.012,-0.059,0.995,12.047,18.342,91.703,0.477,-0.478,-0.500,28.893,4.461,-23.905,-28.497,3.746,-22.248,-0.008,-0.061,0.934,-0.010,-0.053,0.904,,3,roller
04-12-44,2.998,8,1.000,1.000,3.264,3.488,0.572,0.338,0.430,0.342,-0.003,0.005,-0.023,-0.081,0.147,0.982,22.784,10.393,82.315,-0.054,-0.398,-0.884,29.497,5.293,-23.313,-27.833,4.900,-22.761,0.087,0.152,0.981,0.079,0.149,0.981,,3,roller
04-12-45,2.258,8,1.000,1.000,3.129,3.333,0.600,0.356,0.457,0.361,0.002,0.005,-0.023,-0.013,0.093,0.988,18.810,7.055,58.652,-0.533,0.294,-0.757,29.021,5.084,-23.392,-28.362,4.544,-22.513,0.008,0.081,0.989,0.016,0.091,0.988,,3,roller
04-12-46,1.684,8,1.000,0.997,2.865,3.151,0.566,0.440,0.423,0.444,0.004,0.004,-0.024,-0.095,-0.158,0.982,4.684,16.836,40.568,-0.805,0.145,-0.549,29.638,3.919,-24.365,-27.713,3.333,-23.312,0.097,-0.165,0.981,0.093,-0.149,0.984,,3,roller
04-12-47,2.231,8,1.000,1.000,3.148,3.374,0.605,0.377,0.458,0.382,-0.005,0.004,-0.023,-0.013,0.048,0.994,-14.328,22.037,27.173,-0.715,-0.412,-0.553,28.883,4.673,-23.851,-28.390,4.177,-22.952,0.009,0.055,0.994,0.016,0.053,0.994,,3,roller
04-12-48,3.755,8,1.000,1.000,3.353,3.540,0.619,0.309,0.469,0.315,-0.001,0.005,-0.023,0.019,0.275,0.960,-32.159,16.056,13.443,-0.580,-0.499,-0.638,28.565,5.585,-23.327,-28.523,5.192,-22.853,-0.017,0.278,0.959,-0.023,0.272,0.961,,3,roller
04-12-49,2.623,8,1.000,1.000,3.269,3.481,0.614,0.342,0.469,0.348,-0.015,0.005,-0.023,0.016,0.141,0.987,-46.654,7.040,-5.665,-0.245,-0.194,-0.905,28.692,5.231,-23.231,-28.597,4.720,-22.439,-0.013,0.134,0.987,-0.011,0.136,0.987,,3,roller
04-12-50,2.074,8,1.000,0.990,2.883,3.119,0.566,0.413,0.423,0.417,0.004,0.004,-0.023,-0.084,-0.090,0.990,-49.424,7.565,-31.075,0.483,0.053,-0.838,29.725,4.301,-24.023,-27.613,3.619,-22.365,0.081,-0.094,0.990,0.080,-0.087,0.991,,3,roller
04-12-51,2.365,8,1.000,0.911,3.020,3.248,0.606,0.422,0.461,0.426,0.001,0.004,-0.023,0.024,-0.125,0.990,-32.803,11.613,-50.813,0.936,-0.207,-0.142,29.014,4.153,-24.001,-28.313,3.540,-22.314,-0.026,-0.121,0.991,-0.023,-0.128,0.990,,3,roller
