Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-00-53,0,-0.093,0.489,-0.074,-0.860,13.658,301.069,113.610,3,room
04-00-54,0,-0.026,0.313,-0.012,-0.949,63.247,323.449,108.397,3,room
04-00-55,0,0.011,0.477,-0.085,-0.867,202.198,302.454,8.512,3,room
04-00-56,0,-0.134,0.557,-0.130,-0.799,21.212,291.326,4.457,3,room
04-00-57,0,-0.122,0.670,-0.099,-0.717,18.046,273.848,321.845,3,room
04-00-58,0,-0.159,0.584,-0.126,-0.765,23.066,286.474,242.146,3,room
04-00-59,0,-0.264,0.289,-0.192,-0.898,35.837,328.742,13.685,3,room
04-01-00,0,-0.396,0.251,-0.177,-0.854,50.164,334.684,87.236,3,room
04-01-01,0,-0.234,0.523,-0.131,-0.808,31.043,293.686,285.943,3,room
04-01-02,0,-0.277,0.494,-0.242,-0.787,42.539,299.089,8.472,3,room
04-01-03,0,-0.306,0.413,-0.246,-0.820,44.982,311.528,12.195,3,room
04-01-04,0,-0.326,0.325,-0.197,-0.865,43.870,322.930,10.274,3,room
04-01-05,0,-0.174,0.617,-0.137,-0.646,26.490,275.216,48.199,3,room
04-01-06,0,-0.091,0.755,-0.134,-0.487,19.147,248.461,60.308,3,room
04-01-07,0,-0.302,0.410,-0.229,-0.829,43.526,311.533,10.483,3,room
04-01-08,0,-0.297,0.528,-0.271,-0.743,47.028,292.440,7.412,3,room
04-01-09,0,-0.324,0.526,-0.378,-0.688,57.445,296.425,20.025,3,room
04-01-10,0,-0.309,0.490,-0.396,-0.709,55.735,307.366,29.424,3,room
04-01-11,0,-0.232,0.509,-0.208,-0.801,35.805,297.370,6.867,3,room
04-01-12,0,-0.348,0.420,-0.194,-0.813,47.002,306.030,106.421,3,room
04-01-13,0,-0.479,0.374,-0.213,-0.764,63.197,305.494,356.093,3,room
04-01-14,0,-0.321,0.077,-0.138,-0.869,40.272,206.682,93.162,3,room
04-01-15,0,0.084,0.633,-0.032,0.674,10.590,85.039,4.422,3,room
04-01-16,0,0.033,0.859,-0.018,0.360,3.445,134.800,2.622,3,room
04-01-17,0,-0.012,0.797,-0.028,-0.537,4.137,248.096,120.467,3,room
04-01-18,0,-0.030,0.575,-0.081,-0.667,10.540,277.615,33.508,3,room
04-01-19,0,0.070,0.955,-0.284,0.008,32.991,181.567,8.685,3,room
04-01-20,0,0.048,0.943,-0.328,-0.010,38.122,183.641,7.126,3,room
04-01-21,0,0.044,0.937,-0.345,-0.031,40.124,186.756,7.909,3,room
04-01-22,0,0.046,0.949,-0.300,-0.063,34.432,190.188,8.591,3,room
