Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-43-50,2,-0.005,0.624,-0.050,0.777,175.273,77.521,324.001,3,walk
04-43-51,2,-0.075,0.650,-0.053,0.754,357.522,81.706,349.740,3,walk
04-43-52,2,-0.085,0.667,-0.075,0.737,358.536,84.465,347.010,3,walk
04-43-53,2,-0.090,0.685,-0.079,0.719,358.775,87.388,346.274,3,walk
04-43-54,2,-0.090,0.706,-0.074,0.698,358.821,90.786,346.662,3,walk
04-43-55,2,-0.068,0.705,-0.076,0.701,204.098,90.287,348.290,3,walk
04-43-56,2,-0.016,0.677,-0.049,0.733,2.515,85.353,354.686,3,walk
04-43-57,2,-0.031,0.690,-0.037,0.722,125.605,87.445,354.436,3,walk
04-43-58,2,-0.062,0.697,-0.039,0.713,358.039,88.826,351.821,3,walk
04-43-59,2,-0.062,0.694,-0.043,0.716,358.300,88.344,351.482,3,walk
04-44-00,2,-0.041,0.680,-0.028,0.731,358.785,85.909,354.410,3,walk
04-44-01,2,-0.081,0.663,-0.033,0.742,355.683,83.939,350.920,3,walk
04-44-02,2,-0.091,0.691,-0.041,0.716,355.749,88.312,349.292,3,walk
04-44-03,2,-0.095,0.695,-0.042,0.711,355.640,89.104,348.909,3,walk
04-44-04,2,-0.096,0.700,-0.044,0.706,355.758,89.983,348.613,3,walk
04-44-05,2,-0.111,0.687,-0.016,0.717,352.168,88.339,349.692,3,walk
04-44-06,2,-0.194,0.701,-0.012,0.686,345.536,93.419,342.681,3,walk
04-44-07,2,-0.114,0.756,-0.006,0.640,351.859,100.321,349.541,3,walk
04-44-08,2,-0.202,0.643,0.107,0.728,334.360,84.542,353.396,3,walk
04-44-09,2,-0.300,0.665,0.112,0.674,326.418,94.516,342.652,3,walk
04-44-10,2,-0.248,0.754,0.065,0.560,336.241,110.654,342.353,3,walk
04-44-11,2,0.010,0.998,-0.021,-0.006,55.684,180.757,41.301,3,walk
04-44-12,2,-0.022,0.997,0.003,-0.070,234.623,188.062,341.876,3,walk
04-44-13,2,-0.045,0.994,0.030,-0.097,357.128,191.233,354.535,3,walk
04-44-14,2,-0.053,0.992,0.033,-0.111,356.967,192.941,353.499,3,walk
04-44-15,2,-0.055,0.992,0.028,-0.108,357.531,192.624,353.379,3,walk
04-44-16,2,-0.032,0.993,0.036,-0.104,356.231,192.148,355.987,3,walk
04-44-17,2,-0.074,0.989,0.097,-0.078,349.618,189.878,350.493,3,walk
04-44-18,2,-0.085,0.988,0.098,-0.082,349.639,190.469,349.253,3,walk
04-44-19,2,-0.084,0.988,0.084,-0.091,351.345,191.372,349.398,3,walk
