Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-07-13,1,-0.104,0.088,0.005,0.991,348.002,10.187,359.532,4,sea
04-07-14,1,-0.087,0.090,0.005,0.992,350.037,10.361,359.728,4,sea
04-07-15,1,-0.074,0.096,0.003,0.993,351.552,11.076,359.499,4,sea
04-07-16,1,-0.058,0.104,-0.005,0.993,353.485,11.984,358.759,4,sea
04-07-17,1,0.064,0.146,-0.031,0.986,35.422,16.697,357.570,4,sea
04-07-18,1,0.060,0.140,-0.037,0.988,7.350,15.939,356.743,4,sea
04-07-19,1,0.041,0.161,-0.038,0.985,5.315,18.403,356.466,4,sea
04-07-20,1,0.028,0.201,-0.027,0.979,3.712,23.147,357.582,4,sea
04-07-21,1,0.019,0.241,-0.023,0.970,2.804,27.846,357.947,4,sea
04-07-22,1,0.025,0.272,-0.016,0.962,3.220,31.525,359.042,4,sea
04-07-23,1,0.035,0.288,-0.012,0.957,4.253,33.505,239.877,4,sea
04-07-24,1,0.050,0.259,-0.009,0.965,5.808,30.041,0.476,4,sea
04-07-25,1,0.044,0.224,-0.008,0.974,5.106,25.926,0.223,4,sea
04-07-26,1,0.050,0.153,-0.008,0.986,5.820,17.634,226.582,4,sea
04-07-27,1,0.056,-0.004,-0.012,0.998,6.427,226.185,358.670,4,sea
04-07-28,1,0.035,0.013,-0.011,0.999,3.980,139.886,358.818,4,sea
04-07-29,1,0.030,0.095,-0.014,0.995,3.542,10.819,358.775,4,sea
04-07-30,1,0.018,0.218,-0.023,0.973,2.613,25.171,357.797,4,sea
04-07-31,1,-0.004,0.500,-0.059,0.860,2.993,60.147,353.881,4,sea
04-07-32,1,-0.002,0.597,-0.026,0.801,1.606,73.342,357.410,4,sea
04-07-33,1,-0.018,0.696,-0.032,0.716,1.177,88.368,355.942,4,sea
04-07-34,1,0.011,0.668,-0.001,0.744,0.966,83.787,111.504,4,sea
04-07-35,1,0.000,0.691,-0.008,0.722,0.693,87.495,359.340,4,sea
04-07-36,1,-0.024,0.782,-0.026,0.616,0.797,103.495,356.062,4,sea
04-07-37,1,-0.049,0.922,-0.028,0.378,28.512,135.314,353.602,4,sea
04-07-38,1,-0.038,0.968,0.016,0.244,357.170,151.794,356.155,4,sea
04-07-39,1,-0.001,0.972,0.022,0.230,357.560,153.376,173.307,4,sea
04-07-40,1,0.030,0.924,0.024,0.378,358.772,135.472,4.252,4,sea
04-07-41,1,0.014,0.843,0.057,0.527,355.366,115.745,4.967,4,sea
04-07-42,1,0.036,0.660,0.054,0.747,359.038,82.897,7.344,4,sea
