Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-52-55,2,-0.038,0.044,0.031,-0.998,4.185,354.843,356.251,8,roller
04-52-56,2,-0.037,0.045,0.029,-0.998,4.033,354.715,356.503,8,roller
04-52-57,2,-0.033,0.044,0.030,-0.998,3.678,354.854,356.378,8,roller
04-52-58,2,-0.034,0.046,0.027,-0.998,3.723,354.591,356.726,8,roller
04-52-59,2,-0.035,0.046,0.027,-0.998,3.916,354.640,356.677,8,roller
04-53-00,2,-0.024,0.045,0.029,-0.998,58.831,354.707,356.608,8,roller
04-53-01,2,0.088,0.047,0.024,-0.994,349.726,354.810,357.707,8,roller
04-53-02,2,0.278,0.051,0.014,-0.957,327.661,353.845,163.790,8,roller
04-53-03,2,0.345,0.051,0.010,-0.937,319.597,353.307,1.243,8,roller
04-53-04,2,0.343,0.051,0.008,-0.938,319.936,353.303,1.439,8,roller
04-53-05,2,0.344,0.051,0.007,-0.938,319.805,353.137,1.606,8,roller
04-53-06,2,0.343,0.051,0.009,-0.938,319.881,353.287,1.370,8,roller
04-53-07,2,0.342,0.050,0.009,-0.938,319.960,353.420,1.281,8,roller
04-53-08,2,0.343,0.051,0.008,-0.938,319.935,353.266,1.442,8,roller
04-53-09,2,0.341,0.050,0.009,-0.939,320.076,353.388,1.311,8,roller
04-53-10,2,0.314,0.046,0.007,-0.948,323.345,354.082,1.107,8,roller
04-53-11,2,-0.026,0.002,0.001,-0.992,126.782,112.302,202.448,8,roller
04-53-12,2,-0.338,-0.005,0.013,-0.938,39.597,209.082,358.475,8,roller
04-53-13,2,-0.640,-0.018,0.014,-0.756,74.288,55.976,222.088,8,roller
04-53-14,2,-0.739,-0.005,0.023,-0.660,74.714,250.192,247.865,8,roller
04-53-15,2,-0.423,0.023,0.042,-0.888,50.402,350.937,349.292,8,roller
04-53-16,2,0.245,0.036,0.025,-0.937,265.299,353.296,240.800,8,roller
04-53-17,2,0.867,0.053,-0.022,-0.446,307.164,202.464,154.939,8,roller
04-53-18,2,0.970,0.029,-0.056,0.174,80.463,186.532,177.946,8,roller
04-53-19,2,0.714,-0.008,-0.058,0.672,69.816,260.634,256.489,8,roller
04-53-20,2,0.040,-0.043,-0.018,0.971,184.725,353.270,245.112,8,roller
04-53-21,2,-0.481,-0.200,0.329,0.753,325.969,305.284,66.960,8,roller
04-53-22,2,-0.654,-0.065,0.720,0.027,165.820,278.036,172.729,8,roller
04-53-23,2,-0.470,0.138,0.468,-0.699,30.518,306.848,275.143,8,roller
04-53-24,2,-0.007,0.048,0.087,-0.977,163.624,352.842,349.089,8,roller
