Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-35-04,2,0.072,0.995,-0.060,-0.023,6.721,183.119,8.441,8,sea
04-35-05,2,0.056,0.989,-0.050,0.087,6.128,170.294,5.985,8,sea
04-35-06,2,0.038,0.974,-0.037,0.211,5.094,155.719,3.460,8,sea
04-35-07,2,-0.002,0.904,-0.029,0.425,2.895,129.656,305.034,8,sea
04-35-08,2,0.010,0.882,-0.027,0.470,3.277,123.856,319.510,8,sea
04-35-09,2,0.024,0.898,-0.018,0.439,3.058,127.955,1.558,8,sea
04-35-10,2,0.030,0.907,-0.015,0.419,3.028,130.471,2.434,8,sea
04-35-11,2,0.031,0.934,-0.020,0.354,3.444,138.601,2.525,8,sea
04-35-12,2,0.041,0.908,-0.016,0.417,3.617,130.708,3.489,8,sea
04-35-13,2,0.032,0.929,-0.016,0.366,3.089,137.068,2.743,8,sea
04-35-14,2,0.028,0.969,-0.023,0.245,3.340,151.719,2.440,8,sea
04-35-15,2,0.045,0.970,-0.029,0.239,4.501,152.473,4.159,8,sea
04-35-16,2,0.036,0.978,-0.032,0.198,4.413,157.213,3.364,8,sea
04-35-17,2,0.036,0.989,-0.038,0.137,4.902,164.395,3.499,8,sea
04-35-18,2,0.037,0.991,-0.041,0.117,5.183,166.663,3.710,8,sea
04-35-19,2,0.012,0.987,-0.020,-0.145,2.010,196.691,1.694,8,sea
04-35-20,2,0.039,0.981,-0.010,-0.178,0.396,200.602,4.558,8,sea
04-35-21,2,0.072,0.988,0.005,0.109,0.337,167.409,8.279,8,sea
04-35-22,2,0.073,0.924,0.020,0.370,0.988,136.365,8.632,8,sea
04-35-23,2,0.065,0.840,0.029,0.536,1.238,115.006,8.051,8,sea
04-35-24,2,0.056,0.786,0.033,0.615,0.971,103.994,7.427,8,sea
04-35-25,2,0.056,0.792,0.038,0.607,133.799,105.117,7.730,8,sea
04-35-26,2,0.051,0.810,0.041,0.580,276.533,108.782,7.476,8,sea
04-35-27,2,0.107,0.694,0.079,0.704,2.509,89.525,15.132,8,sea
04-35-28,2,0.080,0.620,0.090,0.775,101.494,77.390,13.773,8,sea
04-35-29,2,0.092,0.530,0.104,0.831,30.331,65.401,15.656,8,sea
04-35-30,2,0.062,0.420,0.107,0.899,54.569,50.259,14.089,8,sea
04-35-31,2,0.058,0.229,0.120,0.961,3.155,27.192,14.975,8,sea
04-35-32,2,0.021,0.164,0.096,0.981,29.385,19.054,11.234,8,sea
04-35-33,2,0.013,0.072,0.079,0.994,72.795,8.387,9.176,8,sea
