Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-53-38,3,-0.092,0.591,0.111,0.793,343.911,72.792,4.076,8,walk
03-53-39,3,-0.032,0.615,0.051,0.784,250.589,76.104,2.489,8,walk
03-53-40,3,0.085,0.610,-0.004,0.788,7.917,75.892,5.667,8,walk
03-53-41,3,0.099,0.611,0.003,0.785,8.738,76.363,7.270,8,walk
03-53-42,3,0.128,-0.156,-0.026,0.863,11.843,211.384,251.851,8,walk
03-53-43,3,0.121,-0.526,0.039,0.477,19.319,250.301,346.786,8,walk
03-53-44,3,-0.195,0.907,-0.311,-0.132,39.125,188.869,338.586,8,walk
03-53-45,3,-0.139,0.924,-0.298,0.039,33.097,170.399,341.918,8,walk
03-53-46,3,-0.084,0.937,-0.185,0.255,17.365,147.090,344.389,8,walk
03-53-47,3,-0.070,0.986,-0.127,0.076,13.894,170.024,350.665,8,walk
03-53-48,3,-0.059,0.984,-0.120,0.114,12.883,165.817,351.566,8,walk
03-53-49,3,-0.066,0.951,-0.260,0.020,30.205,175.473,351.359,8,walk
03-53-50,3,-0.078,0.928,-0.359,-0.047,42.377,182.402,351.320,8,walk
03-53-51,3,-0.078,0.943,-0.320,-0.034,37.565,180.946,350.836,8,walk
03-53-52,3,-0.091,0.939,-0.323,-0.068,38.265,185.026,350.678,8,walk
03-53-53,3,-0.075,0.940,-0.326,-0.059,38.519,184.594,352.476,8,walk
03-53-54,3,-0.061,0.946,-0.318,-0.023,37.160,180.351,352.774,8,walk
03-53-55,3,-0.045,0.959,-0.264,0.009,30.696,177.353,354.113,8,walk
03-53-56,3,-0.027,0.982,-0.157,0.092,17.741,168.549,355.042,8,walk
03-53-57,3,-0.023,0.987,-0.106,0.118,11.811,165.999,355.892,8,walk
03-53-58,3,-0.009,0.986,-0.110,0.128,12.380,164.932,357.311,8,walk
03-53-59,3,-0.015,0.986,-0.122,0.114,13.666,166.373,356.570,8,walk
03-54-00,3,-0.025,0.988,-0.109,0.098,12.116,168.158,355.796,8,walk
03-54-01,3,0.040,0.986,-0.068,0.147,8.389,163.301,17.291,8,walk
03-54-02,3,0.057,0.980,-0.058,0.182,7.739,159.310,5.202,8,walk
03-54-03,3,0.060,0.979,-0.063,0.185,8.408,158.960,5.475,8,walk
03-54-04,3,0.055,0.983,-0.070,0.159,8.927,161.972,4.993,8,walk
03-54-05,3,0.051,0.982,-0.094,0.158,11.638,162.136,4.169,8,walk
03-54-06,3,0.097,0.974,-0.071,0.183,10.197,159.533,9.591,8,walk
03-54-07,3,0.157,0.960,-0.048,0.226,9.439,154.839,16.440,8,walk
