Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
11-51-28,1.354,0,0.966,0.973,3.078,2.723,0.580,0.488,0.569,0.509,0.011,0.008,-0.044,0.158,-0.297,0.935,-51.486,2.855,76.076,0.379,-0.658,0.648,32.286,8.032,-43.925,-32.632,7.463,-44.201,-0.179,-0.293,0.932,-0.135,-0.306,0.935,,9,beach
11-51-29,0.832,0,0.949,0.884,3.136,2.828,0.588,0.498,0.573,0.519,-0.002,0.008,-0.044,0.167,-0.341,0.923,-51.500,2.855,76.085,0.529,-0.674,0.482,32.156,7.924,-43.980,-32.728,7.306,-44.034,-0.202,-0.332,0.920,-0.133,-0.350,0.925,,9,beach
11-51-30,1.171,0,0.958,0.837,2.921,2.720,0.553,0.480,0.537,0.490,0.010,0.008,-0.044,0.129,-0.204,0.946,-51.424,2.872,75.767,0.813,-0.480,0.188,32.857,7.831,-43.535,-31.973,7.544,-43.606,-0.143,-0.207,0.945,-0.093,-0.231,0.938,,9,beach
11-51-31,0.415,0,0.881,0.596,2.823,2.359,0.532,0.543,0.500,0.561,0.004,0.007,-0.044,0.047,-0.475,0.878,-51.425,2.876,75.683,0.655,-0.683,0.319,33.214,7.041,-43.585,-31.385,6.774,-43.693,-0.093,-0.442,0.892,0.007,-0.512,0.858,,9,beach
11-51-32,1.521,0,0.955,0.850,2.450,2.189,0.570,0.486,0.498,0.436,0.003,0.007,-0.039,0.154,-0.219,0.940,-45.486,2.550,66.948,0.753,-0.362,0.307,32.616,7.797,-43.508,-32.277,7.484,-43.563,-0.184,-0.218,0.861,-0.142,-0.237,0.858,,9,beach
11-51-33,1.641,0,1.000,1.000,2.917,2.721,0.585,0.463,0.579,0.469,0.009,0.008,-0.043,0.227,-0.160,0.959,-51.437,2.898,75.694,0.950,-0.232,0.182,32.357,8.070,-43.455,-32.695,7.730,-43.283,-0.240,-0.157,0.956,-0.196,-0.161,0.965,,9,beach
11-51-34,4.380,0,1.000,1.000,3.142,2.897,0.602,0.441,0.613,0.447,0.000,0.008,-0.043,0.287,-0.093,0.953,-51.441,2.906,75.696,0.991,-0.099,0.094,32.066,8.451,-43.463,-33.242,8.064,-43.238,-0.286,-0.093,0.954,-0.289,-0.093,0.953,,9,beach
11-51-35,2.668,0,0.982,0.966,3.404,3.081,0.593,0.446,0.599,0.455,0.002,0.008,-0.043,0.262,-0.122,0.945,-51.437,2.903,75.681,0.966,-0.144,0.110,32.154,8.412,-43.416,-33.000,8.013,-43.269,-0.253,-0.127,0.948,-0.257,-0.131,0.939,,9,beach
11-51-36,0.724,0,0.833,0.693,2.893,2.743,0.519,0.509,0.486,0.531,0.011,0.007,-0.043,-0.025,-0.421,0.891,-51.434,2.888,75.678,0.707,-0.544,0.411,33.295,7.701,-43.197,-31.308,7.109,-43.203,-0.015,-0.412,0.898,0.088,-0.431,0.879,,9,beach
11-51-37,2.081,0,1.000,1.000,3.154,2.962,0.622,0.425,0.636,0.437,-0.001,0.008,-0.043,0.344,-0.035,0.937,-51.428,2.892,75.718,0.986,-0.128,0.097,31.695,8.630,-43.279,-33.613,8.132,-43.316,-0.333,-0.040,0.941,-0.352,-0.030,0.934,,9,beach
11-51-38,1.584,0,1.000,1.000,3.413,3.180,0.620,0.425,0.639,0.438,-0.001,0.008,-0.043,0.347,-0.040,0.937,-51.416,2.896,75.719,0.991,-0.112,0.069,31.733,8.615,-43.153,-33.643,8.141,-43.341,-0.329,-0.042,0.943,-0.363,-0.037,0.931,,9,beach
11-51-39,0.810,0,0.823,0.715,2.608,2.811,0.530,0.495,0.498,0.511,-0.000,0.007,-0.040,0.028,-0.330,0.888,-47.476,2.667,69.865,0.660,-0.434,0.396,33.115,7.935,-43.053,-31.439,7.381,-43.255,-0.051,-0.344,0.807,0.031,-0.338,0.841,,9,beach
11-51-40,2.388,0,0.915,0.918,2.469,2.308,0.546,0.360,0.494,0.319,0.003,0.007,-0.036,0.245,-0.055,0.956,-43.531,2.447,64.049,0.822,-0.128,0.255,31.948,8.991,-42.718,-33.202,8.579,-43.489,-0.246,-0.044,0.805,-0.263,-0.050,0.798,,9,beach
11-51-41,5.308,0,1.000,1.000,3.427,3.091,0.622,0.404,0.637,0.419,-0.001,0.009,-0.043,0.336,-0.034,0.941,-51.438,2.891,75.714,0.988,-0.135,0.075,31.664,9.034,-42.711,-33.651,8.664,-43.560,-0.331,-0.036,0.943,-0.341,-0.032,0.939,,9,beach
11-51-42,2.634,0,1.000,1.000,3.459,3.153,0.624,0.406,0.639,0.422,-0.001,0.009,-0.043,0.339,-0.017,0.941,-51.435,2.893,75.710,0.991,-0.114,0.073,31.616,8.902,-42.654,-33.666,8.580,-43.605,-0.328,-0.014,0.944,-0.350,-0.022,0.936,,9,beach
