Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-33-22,3,0.042,-0.718,-0.058,-0.692,351.889,92.027,1.140,9,sea
12-33-23,3,0.054,-0.713,-0.051,-0.697,351.504,91.354,186.365,9,sea
12-33-24,3,0.060,-0.720,-0.044,-0.690,351.647,92.611,358.505,9,sea
12-33-25,3,0.052,-0.712,-0.038,-0.699,352.712,91.099,358.853,9,sea
12-33-26,3,0.046,-0.622,-0.051,-0.779,352.207,77.188,41.253,9,sea
12-33-27,3,0.054,-0.530,-0.052,-0.844,351.554,64.059,1.802,9,sea
12-33-28,3,0.059,-0.428,-0.058,-0.900,351.102,50.611,3.103,9,sea
12-33-29,3,0.063,-0.344,-0.050,-0.935,351.247,40.153,2.955,9,sea
12-33-30,3,0.070,-0.305,-0.036,-0.949,351.062,35.480,1.436,9,sea
12-33-31,3,0.072,-0.278,-0.027,-0.957,351.202,32.390,24.640,9,sea
12-33-32,3,0.072,-0.279,-0.019,-0.958,351.517,32.456,359.789,9,sea
12-33-33,3,0.070,-0.270,-0.018,-0.960,351.733,31.411,179.763,9,sea
12-33-34,3,0.066,-0.301,-0.009,-0.951,352.433,35.162,358.745,9,sea
12-33-35,3,0.058,-0.322,-0.011,-0.945,353.335,37.683,359.020,9,sea
12-33-36,3,0.062,-0.344,-0.012,-0.937,352.852,40.445,358.792,9,sea
12-33-37,3,0.060,-0.368,-0.019,-0.927,352.742,43.387,299.450,9,sea
12-33-38,3,0.084,-0.639,-0.006,-0.760,352.322,80.429,354.340,9,sea
12-33-39,3,0.064,-0.466,-0.026,-0.872,352.524,56.356,203.106,9,sea
12-33-40,3,0.042,-0.356,-0.049,-0.932,353.546,41.563,3.626,9,sea
12-33-41,3,0.041,-0.380,-0.046,-0.923,353.593,44.570,3.106,9,sea
12-33-42,3,0.043,-0.388,-0.047,-0.920,353.376,45.534,3.105,9,sea
12-33-43,3,0.058,-0.566,-0.040,-0.800,352.262,70.642,162.379,9,sea
12-33-44,3,0.061,-0.786,-0.023,-0.614,353.609,104.190,356.088,9,sea
12-33-45,3,0.028,-0.509,-0.045,-0.854,354.857,61.529,74.795,9,sea
12-33-46,3,0.026,-0.406,-0.068,-0.910,354.161,47.779,5.920,9,sea
12-33-47,3,0.030,-0.338,-0.072,-0.938,353.993,39.285,6.623,9,sea
12-33-48,3,0.044,-0.295,-0.063,-0.952,353.121,34.039,5.413,9,sea
12-33-49,3,0.049,-0.245,-0.058,-0.966,352.916,28.160,5.081,9,sea
12-33-50,3,0.053,-0.199,-0.052,-0.977,352.804,22.749,4.694,9,sea
12-33-51,3,0.057,-0.195,-0.041,-0.978,352.660,22.332,3.296,9,sea
