Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-26-32,0.685,0,1.000,1.000,3.455,3.511,0.559,0.689,0.509,0.705,-0.010,-0.001,-0.034,0.067,-0.131,0.988,-11.117,0.903,-17.381,0.086,-0.969,0.229,31.150,-0.347,-35.940,-29.796,-1.535,-33.537,-0.128,-0.126,0.982,-0.039,-0.130,0.990,,12,room
12-26-33,1.268,0,0.962,0.925,2.807,2.594,0.599,0.658,0.510,0.626,-0.007,-0.000,-0.030,0.118,-0.118,0.965,-9.536,1.071,-14.978,-0.054,-0.711,0.575,30.370,1.106,-38.084,-30.798,-0.788,-33.982,-0.140,-0.117,0.824,-0.105,-0.122,0.760,,12,room
12-26-34,1.189,0,0.879,0.889,3.218,3.145,0.545,0.610,0.508,0.631,-0.003,0.001,-0.031,0.064,-0.255,0.953,-10.090,1.529,-16.226,-0.053,-0.670,0.683,31.196,2.316,-35.194,-29.611,0.998,-32.854,-0.101,-0.239,0.884,-0.044,-0.252,0.885,,12,room
12-26-35,2.127,0,0.975,0.974,3.498,3.527,0.593,0.583,0.559,0.607,0.005,0.002,-0.034,0.182,-0.227,0.945,-10.800,1.670,-17.545,0.600,-0.569,0.522,30.493,2.825,-35.191,-30.605,1.562,-33.073,-0.194,-0.222,0.946,-0.171,-0.229,0.947,,12,room
12-26-36,1.911,0,0.926,0.851,2.966,2.981,0.499,0.561,0.458,0.571,-0.004,0.003,-0.030,0.006,-0.113,0.982,-9.174,1.439,-15.153,0.242,-0.430,0.785,32.084,3.357,-35.722,-28.988,2.292,-33.276,-0.007,-0.130,0.871,0.021,-0.128,0.872,,12,room
12-26-37,1.229,0,0.868,0.742,2.809,2.871,0.454,0.618,0.391,0.630,0.012,0.002,-0.032,-0.111,-0.298,0.921,-9.627,1.503,-15.770,-0.524,-0.559,0.336,32.842,2.702,-36.142,-27.636,1.413,-33.134,0.081,-0.279,0.795,0.143,-0.283,0.789,,12,room
12-26-38,1.135,0,0.971,0.905,3.392,3.507,0.472,0.638,0.413,0.647,-0.000,0.002,-0.034,-0.096,-0.388,0.900,-10.760,1.635,-17.560,-0.275,-0.815,-0.444,32.668,2.386,-36.102,-27.843,1.049,-32.528,0.066,-0.390,0.905,0.116,-0.391,0.897,,12,room
12-26-39,1.501,0,0.995,0.994,3.436,3.608,0.455,0.625,0.404,0.608,0.013,0.002,-0.035,-0.037,-0.264,0.926,-10.841,1.585,-17.569,-0.037,-0.764,-0.541,33.327,2.327,-36.697,-27.319,1.648,-32.920,0.020,-0.267,0.928,0.057,-0.260,0.927,,12,room
12-26-40,1.152,0,0.855,0.839,2.888,2.857,0.471,0.620,0.453,0.607,-0.000,0.002,-0.030,0.064,-0.194,0.961,-9.427,1.356,-15.186,-0.290,-0.753,-0.065,32.620,2.715,-36.784,-28.174,2.247,-32.900,-0.100,-0.204,0.855,-0.050,-0.202,0.828,,12,room
12-26-41,1.368,0,1.000,1.000,3.259,3.413,0.488,0.599,0.441,0.588,0.006,0.002,-0.035,-0.008,-0.228,0.965,-11.025,1.595,-17.637,-0.443,-0.860,-0.209,32.590,2.784,-36.550,-28.196,2.039,-33.039,-0.010,-0.227,0.965,0.031,-0.232,0.963,,12,room
