Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
11-53-37,1.676,2,0.967,0.944,4.447,4.510,0.450,0.550,0.482,0.548,0.003,0.001,-0.029,-0.046,-0.075,0.983,-0.025,5.714,-8.288,-0.123,-0.004,0.980,33.457,1.297,-28.897,-29.347,1.304,-28.799,0.056,-0.082,0.982,0.027,-0.069,0.986,,13,roller
11-53-38,1.228,2,0.791,0.788,3.372,3.338,0.249,0.350,0.276,0.345,-0.005,0.001,-0.023,-0.082,-0.052,0.981,-0.023,4.608,-2.538,-0.108,-0.008,0.983,33.584,1.328,-28.906,-29.242,1.391,-28.749,0.096,-0.061,0.785,0.067,-0.048,0.791,,13,roller
11-53-39,2.379,2,0.711,0.700,2.955,3.006,0.290,0.311,0.324,0.311,-0.005,0.001,-0.019,0.027,0.040,0.998,-0.017,3.752,1.628,0.006,0.104,0.991,33.060,2.009,-28.306,-29.851,2.107,-28.703,-0.019,0.040,0.717,-0.034,0.040,0.716,,13,roller
11-53-40,2.502,2,1.000,1.000,4.204,4.224,0.467,0.499,0.510,0.495,-0.001,0.002,-0.028,0.038,0.048,0.998,-0.017,5.719,6.111,0.009,0.160,0.987,33.389,1.993,-28.143,-29.772,2.106,-28.385,-0.026,0.046,0.999,-0.048,0.050,0.998,,13,roller
11-53-41,2.922,2,1.000,1.000,4.330,4.450,0.467,0.499,0.509,0.495,-0.004,0.002,-0.028,0.044,0.039,0.998,-0.020,5.720,10.273,0.010,0.155,0.987,33.427,2.048,-28.058,-29.742,2.192,-28.473,-0.038,0.030,0.998,-0.048,0.042,0.997,,13,roller
11-53-42,0.226,2,0.893,0.785,4.159,4.239,0.478,0.560,0.513,0.561,-0.005,0.001,-0.029,0.056,-0.154,0.986,-0.021,5.719,13.574,0.019,-0.036,0.999,33.170,1.365,-28.822,-29.837,1.292,-28.639,-0.056,-0.171,0.984,-0.056,-0.143,0.988,,13,roller
11-53-43,0.495,2,0.781,0.679,4.299,4.446,0.484,0.595,0.516,0.599,-0.001,0.001,-0.029,0.073,-0.272,0.956,-0.018,5.717,14.109,0.034,-0.173,0.981,33.053,0.983,-28.927,-29.830,0.898,-28.842,-0.073,-0.293,0.949,-0.072,-0.260,0.960,,13,roller
11-53-44,0.989,2,0.759,0.677,4.297,4.467,0.482,0.594,0.517,0.598,-0.002,0.001,-0.029,0.069,-0.283,0.948,-0.019,5.717,14.338,0.030,-0.188,0.974,33.074,1.029,-28.807,-29.849,0.943,-28.839,-0.063,-0.302,0.941,-0.075,-0.257,0.956,,13,roller
11-53-45,1.331,2,0.216,0.222,0.889,2.258,0.295,0.429,0.403,0.531,-0.003,0.000,-0.017,0.037,-0.228,0.934,-0.010,3.307,8.476,0.008,-0.282,0.880,33.034,0.740,-29.058,-29.517,0.598,-28.723,-0.026,-0.141,0.341,-0.039,-0.223,0.554,,13,roller
11-53-46,2.337,2,0.768,0.755,4.293,4.059,0.469,0.512,0.490,0.506,-0.005,0.002,-0.029,0.040,-0.025,0.943,-0.016,5.694,14.806,0.030,-0.179,0.905,33.313,2.097,-29.087,-29.238,2.154,-28.442,-0.030,0.010,0.950,-0.038,0.013,0.888,,13,roller
11-53-47,1.167,2,0.951,0.941,3.390,3.363,0.332,0.397,0.358,0.393,-0.002,0.002,-0.025,-0.153,0.227,0.922,-0.032,4.987,13.048,-0.292,0.369,0.705,34.800,2.943,-29.568,-27.968,2.732,-28.598,0.164,0.220,0.757,0.144,0.207,0.770,,13,roller
