Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
03-48-34,2.141,0,0.990,0.989,3.214,2.920,0.594,0.325,0.591,0.371,-0.007,0.009,-0.038,0.032,-0.069,0.975,-52.842,2.535,74.899,-0.385,0.212,-0.871,30.859,9.392,-35.208,-33.261,9.560,-40.062,-0.025,-0.064,0.976,-0.036,-0.076,0.974,,2,beach
03-48-35,2.114,0,0.902,0.965,3.289,3.014,0.675,0.295,0.671,0.346,-0.011,0.010,-0.038,0.277,-0.006,0.945,-52.838,2.535,74.884,-0.618,0.226,-0.732,29.524,9.905,-35.164,-34.514,10.340,-41.768,-0.261,0.008,0.912,-0.279,0.003,0.903,,2,beach
03-48-36,0.850,0,0.206,0.511,1.745,1.763,0.186,0.074,0.388,0.289,-0.010,0.006,-0.026,-0.071,-0.244,0.949,-36.042,1.683,51.059,-0.065,-0.440,-0.199,31.748,8.575,-34.985,-31.988,9.138,-39.781,0.063,-0.228,0.589,0.074,-0.236,0.633,,2,beach
03-48-37,1.255,0,0.907,0.971,3.387,3.116,0.570,0.303,0.555,0.350,-0.001,0.010,-0.038,-0.080,-0.038,0.964,-52.732,2.509,74.354,-0.179,-0.034,-0.963,31.263,9.938,-35.514,-32.641,10.044,-40.406,0.059,-0.040,0.963,0.078,-0.036,0.965,,2,beach
03-48-38,0.588,0,0.585,0.816,3.518,3.153,0.650,0.378,0.617,0.425,-0.014,0.009,-0.039,0.144,-0.308,0.916,-52.693,2.467,74.140,-0.283,-0.804,-0.438,29.934,8.889,-35.760,-33.691,9.090,-40.625,-0.194,-0.298,0.904,-0.114,-0.335,0.910,,2,beach
03-48-39,1.002,0,0.984,0.983,3.275,3.001,0.667,0.342,0.640,0.394,-0.022,0.009,-0.040,0.120,-0.138,0.957,-52.778,2.450,74.139,-0.561,-0.698,-0.131,29.453,9.430,-36.497,-34.273,9.274,-40.769,-0.171,-0.131,0.954,-0.114,-0.132,0.961,,2,beach
03-48-40,0.795,0,0.859,0.895,2.619,2.451,0.658,0.372,0.629,0.417,-0.013,0.008,-0.034,0.159,-0.138,0.972,-46.306,2.118,64.669,-0.615,-0.582,0.299,29.765,8.979,-36.587,-34.012,8.976,-40.920,-0.196,-0.150,0.826,-0.127,-0.154,0.838,,2,beach
03-48-41,1.155,0,0.634,0.793,2.282,2.423,0.566,0.438,0.552,0.471,-0.015,0.008,-0.038,-0.083,-0.439,0.869,-50.819,2.318,71.629,-0.052,-0.868,-0.211,31.307,8.096,-36.698,-32.663,8.301,-41.088,0.047,-0.349,0.658,0.078,-0.373,0.731,,2,beach
03-48-42,1.728,0,0.975,0.959,3.319,3.113,0.573,0.269,0.563,0.323,-0.006,0.010,-0.038,-0.050,0.116,0.985,-52.838,2.501,74.762,-0.429,0.073,-0.877,31.252,10.395,-36.184,-32.772,10.148,-39.877,0.042,0.131,0.983,0.042,0.121,0.986,,2,beach
03-48-43,1.165,0,0.718,0.837,2.912,2.961,0.552,0.281,0.607,0.390,-0.001,0.009,-0.035,0.041,-0.105,0.977,-48.346,2.340,68.133,-0.123,0.046,-0.790,30.278,9.321,-35.474,-33.722,9.389,-40.343,-0.048,-0.070,0.820,-0.029,-0.117,0.892,,2,beach
