Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-18-14,2.413,6,1.000,1.000,3.359,3.584,0.527,0.321,0.378,0.330,0.009,0.006,-0.023,-0.219,0.129,0.963,-35.140,23.286,188.952,0.039,-0.948,-0.212,30.273,5.944,-23.261,-26.871,5.126,-21.990,0.222,0.128,0.963,0.214,0.138,0.964,,3,roller
04-18-15,1.921,6,1.000,1.000,3.417,3.675,0.604,0.253,0.457,0.267,-0.003,0.007,-0.023,-0.034,0.309,0.945,-34.218,9.224,178.671,0.043,-0.045,-0.881,28.857,7.146,-23.200,-28.427,6.287,-22.250,0.023,0.297,0.949,0.033,0.319,0.941,,3,roller
04-18-16,1.930,6,1.000,1.000,3.149,3.369,0.596,0.388,0.452,0.397,-0.002,0.004,-0.023,-0.039,-0.070,0.989,-34.221,9.509,155.803,0.006,0.631,-0.774,29.078,4.860,-23.354,-28.368,4.132,-22.235,0.024,-0.081,0.989,0.052,-0.072,0.988,,3,roller
04-18-17,2.003,6,1.000,1.000,3.147,3.323,0.596,0.447,0.453,0.456,0.003,0.003,-0.023,-0.048,-0.222,0.973,-34.217,22.796,137.418,0.028,0.321,-0.925,28.969,3.798,-23.587,-28.406,3.044,-22.426,0.043,-0.228,0.972,0.054,-0.215,0.975,,3,roller
04-18-18,1.642,6,0.979,0.966,3.148,3.346,0.595,0.427,0.450,0.437,0.006,0.004,-0.023,-0.046,-0.169,0.982,-34.302,29.983,119.993,0.070,-0.451,-0.855,29.038,4.258,-23.969,-28.322,3.370,-22.536,0.038,-0.172,0.981,0.049,-0.154,0.984,,3,roller
04-18-19,1.806,6,1.000,1.000,3.397,3.564,0.612,0.333,0.465,0.347,-0.008,0.005,-0.022,-0.003,0.109,0.990,-34.802,23.133,103.340,-0.073,-0.706,-0.697,28.660,5.612,-22.901,-28.555,4.776,-22.122,0.004,0.100,0.991,0.006,0.116,0.989,,3,roller
04-18-20,1.239,6,1.000,1.000,3.267,3.467,0.590,0.378,0.447,0.389,-0.011,0.005,-0.023,-0.056,-0.041,0.996,-39.271,11.725,87.450,-0.524,-0.549,-0.610,29.209,5.197,-24.015,-28.297,4.313,-22.631,0.036,-0.058,0.996,0.066,-0.037,0.996,,3,roller
04-18-21,0.722,6,0.999,0.997,3.207,3.419,0.585,0.387,0.442,0.397,-0.004,0.005,-0.023,-0.064,-0.081,0.991,-58.067,5.411,77.478,-0.905,-0.240,0.077,29.257,5.077,-23.846,-28.138,4.233,-22.736,0.055,-0.094,0.990,0.068,-0.069,0.992,,3,roller
04-18-22,1.659,6,1.000,1.000,3.162,3.342,0.601,0.339,0.458,0.352,-0.006,0.005,-0.023,-0.032,0.050,0.996,-78.409,5.944,87.918,-0.254,0.067,0.908,28.936,5.639,-22.854,-28.497,4.942,-22.324,0.018,0.045,0.997,0.042,0.056,0.995,,3,roller
04-18-23,1.003,6,1.000,1.000,3.003,3.153,0.625,0.346,0.479,0.360,0.001,0.005,-0.022,0.033,0.027,0.996,-78.349,12.337,108.332,0.790,0.212,0.474,28.485,5.581,-22.882,-28.868,4.752,-22.161,-0.041,0.014,0.996,-0.020,0.036,0.996,,3,roller
