Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
03-58-45,2.502,0,1.000,1.000,2.953,3.346,0.543,0.500,0.386,0.427,0.006,0.002,-0.026,-0.001,0.040,0.998,7.398,1.776,-16.077,-0.975,-0.221,0.007,31.251,2.077,-27.911,-26.673,2.858,-23.324,-0.000,0.034,0.998,0.012,0.043,0.998,,3,room
03-58-46,2.092,0,1.000,1.000,2.963,3.298,0.568,0.497,0.409,0.425,-0.018,0.003,-0.023,0.065,0.041,0.989,7.402,1.776,-16.100,-0.955,-0.206,0.152,30.741,1.958,-27.161,-26.976,2.777,-22.673,-0.054,0.039,0.992,-0.067,0.042,0.989,,3,room
03-58-47,1.757,0,1.000,1.000,3.012,3.390,0.531,0.516,0.375,0.442,-0.008,0.002,-0.025,-0.034,0.018,0.998,7.405,1.778,-16.087,-0.968,-0.215,0.128,31.452,1.805,-28.097,-26.438,2.417,-23.026,0.031,0.005,0.998,0.037,0.021,0.998,,3,room
03-58-48,1.779,0,1.000,1.000,2.985,3.320,0.514,0.505,0.357,0.432,-0.012,0.002,-0.024,-0.062,0.042,0.996,7.400,1.776,-16.091,-0.974,-0.212,0.033,31.789,1.981,-27.979,-26.010,2.504,-22.521,0.068,0.027,0.995,0.065,0.045,0.996,,3,room
03-58-49,1.292,0,0.975,0.976,2.863,3.070,0.464,0.509,0.301,0.431,-0.005,0.002,-0.025,-0.181,0.029,0.973,1.955,1.777,-16.234,-0.926,-0.212,-0.210,32.727,2.078,-28.561,-24.900,2.554,-22.603,0.183,0.016,0.974,0.178,0.037,0.940,,3,room
03-58-50,0.986,0,0.999,0.988,2.972,3.277,0.551,0.565,0.377,0.488,-0.005,0.001,-0.025,0.021,-0.143,0.972,0.879,1.767,-16.282,-0.528,-0.422,-0.730,31.112,0.880,-27.650,-26.291,1.826,-23.174,-0.023,-0.131,0.977,-0.015,-0.141,0.973,,3,room
03-58-51,0.637,0,0.885,0.750,2.996,3.325,0.559,0.620,0.360,0.540,-0.002,0.001,-0.025,0.006,-0.305,0.940,0.891,1.756,-16.280,-0.530,-0.646,-0.528,31.065,0.025,-27.399,-26.035,1.281,-23.807,-0.066,-0.303,0.939,0.041,-0.314,0.938,,3,room
03-58-52,1.131,0,0.969,0.947,3.002,3.418,0.517,0.560,0.343,0.480,-0.011,0.002,-0.024,-0.062,-0.112,0.984,0.899,1.756,-16.292,-0.542,-0.483,-0.675,31.850,1.016,-27.821,-25.660,1.884,-23.104,0.038,-0.121,0.985,0.080,-0.106,0.985,,3,room
03-58-53,1.207,0,1.000,1.000,3.022,3.497,0.491,0.544,0.324,0.464,-0.002,0.002,-0.025,-0.101,-0.056,0.993,0.880,1.755,-16.279,-0.542,-0.439,-0.717,32.383,1.354,-28.263,-25.211,2.091,-23.075,0.091,-0.071,0.993,0.107,-0.047,0.993,,3,room
03-58-54,1.213,0,0.996,0.999,3.101,3.589,0.460,0.544,0.290,0.461,0.000,0.002,-0.025,-0.177,-0.042,0.979,0.878,1.753,-16.283,-0.459,-0.421,-0.774,32.909,1.241,-28.082,-24.559,2.030,-22.779,0.173,-0.053,0.978,0.182,-0.032,0.978,,3,room
