Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-58-00,4,-0.075,-0.450,0.000,0.889,328.354,306.055,3.953,3,sea
04-58-01,4,-0.005,-0.349,0.012,0.934,162.719,318.995,129.390,3,sea
04-58-02,4,0.059,-0.061,0.017,0.988,6.937,233.013,37.721,3,sea
04-58-03,4,0.086,0.296,-0.039,0.949,10.817,34.478,358.646,3,sea
04-58-04,4,0.057,0.422,-0.037,0.904,7.730,50.024,346.513,3,sea
04-58-05,4,0.060,0.386,0.022,0.919,5.455,45.837,4.970,3,sea
04-58-06,4,0.063,0.457,0.013,0.887,5.722,54.783,4.678,3,sea
04-58-07,4,0.084,0.428,0.043,0.899,6.515,51.411,8.645,3,sea
04-58-08,4,0.028,0.706,-0.064,0.691,7.997,90.938,280.030,3,sea
04-58-09,4,-0.006,0.896,-0.053,0.436,5.149,127.979,356.658,3,sea
04-58-10,4,-0.020,0.973,-0.044,0.214,4.468,155.084,356.661,3,sea
04-58-11,4,-0.005,0.996,-0.033,0.079,3.684,170.892,234.562,3,sea
04-58-12,4,0.039,0.995,-0.030,0.086,3.792,170.288,4.139,3,sea
04-58-13,4,0.050,0.996,-0.034,0.062,4.220,173.041,5.435,3,sea
04-58-14,4,0.071,0.991,-0.033,0.106,4.577,168.070,7.670,3,sea
04-58-15,4,0.063,0.993,-0.022,0.092,3.158,169.552,6.939,3,sea
04-58-16,4,0.071,0.989,-0.021,0.124,3.421,165.960,7.842,3,sea
04-58-17,4,0.086,0.978,-0.015,0.192,3.591,158.123,9.343,3,sea
04-58-18,4,0.081,0.973,-0.008,0.215,2.939,155.284,8.920,3,sea
04-58-19,4,0.075,0.973,-0.002,0.218,2.121,154.870,8.306,3,sea
04-58-20,4,0.064,0.974,-0.005,0.217,2.133,155.025,7.092,3,sea
04-58-21,4,0.054,0.977,-0.003,0.207,1.598,156.168,6.021,3,sea
04-58-22,4,0.057,0.975,-0.002,0.213,1.549,155.476,6.295,3,sea
04-58-23,4,0.063,0.971,-0.001,0.229,1.793,153.630,6.981,3,sea
04-58-24,4,0.069,0.965,0.004,0.252,1.582,150.883,7.785,3,sea
04-58-25,4,0.095,0.928,0.014,0.358,2.484,138.105,10.776,3,sea
04-58-26,4,0.088,0.903,0.015,0.420,2.711,130.302,9.926,3,sea
04-58-27,4,0.079,0.884,0.014,0.461,2.773,125.141,8.713,3,sea
04-58-28,4,0.071,0.873,0.013,0.483,2.636,122.312,7.911,3,sea
04-58-29,4,0.065,0.876,0.002,0.478,3.396,122.950,6.655,3,sea
