Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-41-16,1,0.074,-0.687,0.030,0.722,8.494,272.559,356.685,4,beach
04-41-17,1,0.148,-0.664,0.059,0.725,17.295,273.844,353.577,4,beach
04-41-18,1,0.231,-0.581,0.084,0.774,27.221,283.976,351.035,4,beach
04-41-19,1,0.166,-0.587,0.068,0.789,19.867,285.701,323.318,4,beach
04-41-20,1,0.156,-0.504,0.123,0.838,22.839,298.523,19.296,4,beach
04-41-21,1,0.133,-0.009,-0.029,0.947,15.738,178.559,357.046,4,beach
04-41-22,1,-0.068,-0.426,0.044,-0.526,14.189,70.915,44.071,4,beach
04-41-23,1,-0.125,-0.621,0.073,-0.770,16.474,78.192,2.592,4,beach
04-41-24,1,-0.143,-0.596,0.088,-0.785,19.202,74.788,30.800,4,beach
04-41-25,1,0.140,0.055,-0.068,0.173,41.028,65.269,32.474,4,beach
04-41-26,1,0.509,0.311,-0.213,0.771,67.013,41.784,331.506,4,beach
04-41-27,1,0.397,0.194,-0.146,0.859,50.314,40.110,226.776,4,beach
04-41-28,1,0.262,-0.441,0.097,0.809,32.427,299.124,351.075,4,beach
04-41-29,1,0.325,-0.710,0.294,0.543,50.899,247.543,345.982,4,beach
04-41-30,1,0.137,-0.746,0.093,0.644,18.360,260.754,354.892,4,beach
04-41-31,1,0.142,-0.697,0.093,0.696,19.120,269.195,355.858,4,beach
04-41-32,1,0.145,-0.667,0.084,0.726,18.863,274.157,355.686,4,beach
04-41-33,1,0.182,-0.668,0.102,0.714,23.298,272.519,353.879,4,beach
04-41-34,1,0.196,-0.663,0.115,0.713,25.654,272.728,353.857,4,beach
04-41-35,1,0.183,-0.660,0.123,0.718,25.149,273.936,355.900,4,beach
04-41-36,1,0.153,-0.763,0.137,0.611,23.328,256.517,355.892,4,beach
04-41-37,1,0.125,-0.814,0.131,0.549,20.536,247.347,356.286,4,beach
04-41-38,1,0.156,-0.601,0.086,0.777,20.248,283.851,291.191,4,beach
04-41-39,1,0.201,-0.696,0.108,0.676,25.062,266.380,351.378,4,beach
04-41-40,1,0.179,-0.791,0.137,0.568,24.911,249.612,351.897,4,beach
04-41-41,1,0.135,-0.813,0.162,0.543,24.256,246.887,357.271,4,beach
04-41-42,1,0.167,-0.665,0.123,0.712,23.816,273.308,357.117,4,beach
04-41-43,1,0.151,-0.633,0.133,0.748,23.189,279.584,47.393,4,beach
04-41-44,1,0.181,-0.615,0.115,0.759,24.601,281.268,340.630,4,beach
04-41-45,1,0.196,-0.624,0.120,0.747,26.208,279.281,355.808,4,beach
