Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
03-57-22,0.314,3,0.330,0.088,2.580,1.637,0.490,0.593,0.422,0.476,0.011,0.003,-0.028,-0.094,-0.538,0.835,-48.004,4.105,48.580,0.954,-0.289,-0.032,33.649,1.767,-26.854,-29.901,6.241,-28.921,0.039,-0.577,0.815,0.180,-0.474,0.859,,8,walk
03-57-23,0.315,3,0.260,0.100,2.525,1.565,0.473,0.612,0.403,0.502,0.007,0.003,-0.028,-0.132,-0.570,0.810,-48.043,4.108,48.602,0.973,-0.224,-0.028,33.933,1.375,-27.088,-29.517,5.922,-29.210,0.088,-0.593,0.798,0.209,-0.528,0.821,,8,walk
03-57-24,0.470,3,0.263,0.100,2.528,1.606,0.500,0.592,0.432,0.476,0.014,0.003,-0.027,-0.064,-0.547,0.831,-48.031,4.109,48.608,0.965,-0.238,-0.074,33.426,1.749,-26.813,-30.025,6.295,-28.933,0.020,-0.568,0.820,0.142,-0.467,0.827,,8,walk
03-57-25,0.227,3,0.374,0.073,2.645,2.084,0.529,0.590,0.450,0.465,0.020,0.003,-0.027,0.001,-0.527,0.844,-48.052,4.110,48.600,0.976,-0.147,-0.118,32.786,1.731,-26.856,-30.472,6.049,-28.936,-0.034,-0.549,0.831,0.129,-0.377,0.861,,8,walk
03-57-26,0.396,3,0.341,0.100,2.593,1.526,0.485,0.595,0.415,0.483,0.017,0.003,-0.027,-0.082,-0.542,0.836,-48.069,4.111,48.591,0.995,-0.024,-0.085,33.766,1.628,-26.908,-29.705,6.213,-29.063,0.044,-0.559,0.827,0.172,-0.483,0.813,,8,walk
03-57-27,0.257,3,0.272,0.089,1.871,1.241,0.373,0.478,0.358,0.425,0.010,0.003,-0.023,-0.081,-0.437,0.866,-39.139,3.353,39.601,0.807,-0.056,0.154,33.798,1.710,-26.895,-29.758,6.207,-29.059,0.044,-0.463,0.667,0.145,-0.366,0.669,,8,walk
03-57-28,0.282,3,0.685,0.533,1.308,3.263,0.583,0.557,0.533,0.426,-0.013,0.005,-0.029,0.105,-0.319,0.895,-48.025,4.091,48.563,0.274,-0.414,-0.703,31.774,2.437,-27.377,-31.692,6.554,-29.360,-0.130,-0.254,0.504,-0.075,-0.260,0.889,,8,walk
03-57-29,0.272,3,0.888,0.726,1.320,3.213,0.516,0.546,0.474,0.400,-0.021,0.006,-0.029,-0.041,-0.264,0.932,-48.088,4.093,48.534,0.816,-0.307,-0.305,32.999,2.700,-27.164,-30.676,6.936,-29.150,0.031,-0.285,0.605,0.016,-0.207,0.917,,8,walk
03-57-30,0.265,3,0.817,0.666,2.797,3.494,0.588,0.554,0.545,0.425,-0.004,0.005,-0.028,0.138,-0.351,0.909,-48.173,4.049,48.383,-0.203,-0.665,-0.661,31.613,2.322,-27.062,-31.983,6.508,-29.263,-0.171,-0.426,0.867,-0.106,-0.266,0.948,,8,walk
03-57-31,0.120,3,0.609,0.500,2.677,3.421,0.545,0.577,0.497,0.448,0.004,0.004,-0.028,0.022,-0.409,0.910,-48.438,4.027,47.908,-0.097,-0.750,-0.645,32.412,1.946,-27.144,-31.179,6.052,-29.356,-0.049,-0.469,0.835,0.013,-0.302,0.951,,8,walk
03-57-32,0.472,3,0.398,0.292,3.121,2.592,0.552,0.611,0.501,0.508,0.012,0.003,-0.028,0.046,-0.498,0.864,-48.711,3.996,47.134,-0.025,-0.873,-0.483,32.231,1.205,-27.495,-31.192,5.277,-29.772,-0.061,-0.530,0.845,-0.016,-0.442,0.892,,8,walk
03-57-33,0.526,3,0.436,0.242,2.918,1.513,0.564,0.629,0.518,0.542,0.010,0.002,-0.028,0.084,-0.548,0.832,-48.906,3.990,46.277,-0.014,-0.913,-0.406,31.991,0.907,-27.647,-31.416,4.927,-30.078,-0.090,-0.541,0.789,-0.066,-0.482,0.784,,8,walk
03-57-34,1.166,3,0.781,0.711,2.303,2.722,0.536,0.487,0.508,0.369,0.005,0.004,-0.024,0.012,-0.129,0.976,-43.166,3.553,40.022,0.016,-0.267,-0.670,32.537,3.220,-26.590,-31.314,7.191,-27.740,-0.017,-0.084,0.792,-0.004,-0.114,0.825,,8,walk
03-57-35,0.287,3,0.573,0.276,2.509,2.728,0.532,0.562,0.476,0.438,0.005,0.004,-0.027,0.000,-0.398,0.913,-49.151,4.073,45.135,0.016,-0.247,-0.965,32.688,2.069,-26.577,-30.750,6.039,-27.651,-0.030,-0.457,0.882,0.034,-0.292,0.873,,8,walk
03-57-36,0.212,3,0.391,0.103,2.621,2.938,0.500,0.579,0.453,0.461,0.007,0.004,-0.027,-0.065,-0.466,0.880,-49.139,4.084,45.006,-0.008,-0.266,-0.961,33.352,1.926,-26.690,-30.444,5.804,-27.892,0.038,-0.533,0.843,0.116,-0.388,0.909,,8,walk
03-57-37,0.293,3,0.277,0.100,2.717,1.666,0.486,0.595,0.415,0.493,0.013,0.003,-0.027,-0.109,-0.545,0.830,-49.162,4.082,45.024,-0.021,-0.313,-0.949,33.700,1.678,-26.850,-29.852,5.619,-28.161,0.055,-0.568,0.821,0.210,-0.485,0.847,,8,walk
03-57-38,0.234,3,0.258,0.100,1.717,1.425,0.470,0.599,0.408,0.491,0.016,0.003,-0.027,-0.119,-0.566,0.815,-49.151,4.080,45.020,-0.024,-0.323,-0.946,34.058,1.723,-26.908,-29.630,5.671,-28.175,0.066,-0.499,0.687,0.205,-0.479,0.851,,8,walk
03-57-39,0.299,3,0.241,0.100,1.619,1.604,0.497,0.596,0.428,0.485,0.014,0.003,-0.027,-0.065,-0.565,0.820,-49.148,4.079,45.017,-0.046,-0.342,-0.937,33.473,1.808,-26.859,-30.112,5.923,-28.026,0.035,-0.444,0.626,0.184,-0.484,0.805,,8,walk
03-57-40,0.222,3,0.271,0.100,2.798,1.858,0.543,0.581,0.456,0.466,0.029,0.002,-0.027,0.045,-0.532,0.844,-49.169,4.076,45.007,-0.107,-0.321,-0.939,32.488,1.860,-26.793,-30.694,5.747,-27.967,-0.057,-0.526,0.846,0.134,-0.348,0.812,,8,walk
03-57-41,0.289,3,0.327,0.100,2.616,1.876,0.486,0.583,0.427,0.472,0.024,0.002,-0.027,-0.073,-0.521,0.849,-49.161,4.082,45.011,-0.040,-0.267,-0.962,33.743,1.885,-26.844,-29.993,5.865,-27.990,0.049,-0.538,0.841,0.168,-0.435,0.882,,8,walk
03-57-42,0.313,3,0.295,0.100,2.529,1.651,0.476,0.592,0.408,0.486,0.018,0.003,-0.027,-0.097,-0.558,0.823,-49.152,4.078,45.049,-0.043,-0.251,-0.965,33.976,1.775,-26.899,-29.711,5.858,-28.102,0.058,-0.570,0.818,0.223,-0.494,0.838,,8,walk
03-57-43,0.294,3,0.330,0.100,2.581,1.636,0.469,0.594,0.412,0.481,0.019,0.003,-0.027,-0.111,-0.536,0.836,-49.158,4.076,45.056,-0.025,-0.176,-0.983,34.074,1.638,-26.954,-29.506,5.651,-28.122,0.088,-0.551,0.829,0.162,-0.434,0.878,,8,walk
03-57-44,0.251,3,0.217,0.100,1.458,1.583,0.483,0.595,0.424,0.479,0.002,0.004,-0.028,-0.122,-0.476,0.848,-49.136,4.081,45.049,0.021,-0.108,-0.975,33.672,1.678,-26.981,-29.945,5.794,-28.075,0.056,-0.397,0.625,0.172,-0.434,0.819,,8,walk
03-57-45,0.205,3,0.382,0.071,2.284,2.157,0.546,0.586,0.454,0.464,0.004,0.004,-0.027,-0.022,-0.474,0.872,-49.126,4.080,45.078,-0.115,-0.051,-0.984,32.521,1.775,-26.863,-30.651,5.888,-27.958,-0.079,-0.506,0.802,0.147,-0.406,0.897,,8,walk
03-57-46,0.291,3,0.390,0.077,2.618,2.051,0.515,0.578,0.444,0.456,0.017,0.003,-0.027,-0.031,-0.500,0.860,-49.156,4.078,45.084,-0.104,-0.003,-0.988,33.053,1.945,-26.781,-30.363,6.152,-27.860,0.003,-0.521,0.848,0.141,-0.397,0.859,,8,walk
03-57-47,0.605,3,0.369,0.086,2.939,2.322,0.459,0.593,0.406,0.480,0.014,0.003,-0.027,-0.139,-0.500,0.854,-49.173,4.073,45.115,-0.016,0.166,-0.985,34.239,1.528,-26.966,-29.496,5.775,-28.155,0.118,-0.520,0.845,0.195,-0.457,0.867,,8,walk
03-57-48,0.245,3,0.459,0.134,2.085,1.816,0.461,0.580,0.420,0.455,0.008,0.004,-0.027,-0.127,-0.503,0.854,-49.166,4.077,45.116,-0.003,0.167,-0.985,34.247,2.033,-26.679,-29.702,6.366,-27.859,0.101,-0.532,0.793,0.157,-0.439,0.884,,8,walk
03-57-49,0.230,3,0.528,0.189,2.419,2.374,0.517,0.566,0.458,0.436,0.002,0.004,-0.027,-0.046,-0.414,0.906,-49.147,4.088,45.092,-0.056,0.223,-0.970,33.002,2.107,-26.480,-30.523,6.261,-27.773,-0.004,-0.444,0.803,0.101,-0.326,0.897,,8,walk
03-57-50,0.153,3,0.665,0.315,2.305,3.053,0.447,0.579,0.404,0.444,0.000,0.004,-0.027,-0.166,-0.396,0.900,-49.155,4.068,45.164,-0.036,0.480,-0.875,34.490,1.676,-26.736,-29.354,6.022,-27.969,0.141,-0.462,0.832,0.184,-0.335,0.922,,8,walk
03-57-51,0.121,3,0.750,0.321,2.060,3.095,0.438,0.582,0.405,0.434,0.007,0.004,-0.027,-0.171,-0.422,0.890,-49.172,4.063,45.191,-0.020,0.514,-0.857,34.670,1.746,-26.631,-29.306,6.156,-27.925,0.170,-0.515,0.839,0.171,-0.312,0.934,,8,walk
