Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-52-02,2,0.025,-0.111,0.028,0.993,3.160,347.326,2.886,8,walk
03-52-03,2,0.041,-0.106,0.035,0.993,5.117,347.936,3.472,8,walk
03-52-04,2,0.020,-0.090,0.018,0.995,134.449,349.792,109.853,8,walk
03-52-05,2,-0.006,-0.152,0.028,0.987,167.064,342.482,16.053,8,walk
03-52-06,2,-0.033,-0.163,0.045,0.985,357.080,341.109,5.663,8,walk
03-52-07,2,-0.047,-0.156,0.037,0.986,355.309,341.785,5.040,8,walk
03-52-08,2,-0.060,-0.149,0.037,0.986,353.833,342.518,5.296,8,walk
03-52-09,2,-0.047,-0.136,0.034,0.989,355.153,344.141,4.633,8,walk
03-52-10,2,-0.037,-0.136,0.019,0.989,281.569,344.235,2.762,8,walk
03-52-11,2,-0.145,-0.155,0.011,0.977,343.778,341.346,3.930,8,walk
03-52-12,2,-0.177,-0.142,0.024,0.973,340.279,342.350,5.960,8,walk
03-52-13,2,-0.085,-0.105,0.034,0.989,350.772,347.446,5.064,8,walk
03-52-14,2,0.022,-0.108,-0.002,0.993,76.930,347.591,284.914,8,walk
03-52-15,2,0.039,-0.173,0.021,0.984,4.886,340.154,1.646,8,walk
03-52-16,2,0.043,-0.167,0.031,0.985,5.400,340.910,2.650,8,walk
03-52-17,2,0.062,-0.144,0.024,0.987,7.530,343.472,81.701,8,walk
03-52-18,2,0.097,-0.058,-0.047,0.992,10.801,352.754,353.836,8,walk
03-52-19,2,0.101,-0.140,-0.003,0.982,11.634,343.648,237.943,8,walk
03-52-20,2,0.121,-0.201,0.062,0.970,15.025,337.137,4.300,8,walk
03-52-21,2,0.122,-0.197,0.072,0.970,15.320,337.800,5.461,8,walk
03-52-22,2,0.120,-0.125,0.012,0.980,14.348,332.094,172.918,8,walk
03-52-23,2,0.106,0.035,-0.103,0.988,12.491,28.474,348.402,8,walk
03-52-24,2,0.125,-0.120,-0.012,0.980,14.532,345.772,196.733,8,walk
03-52-25,2,0.134,-0.179,0.096,0.970,17.144,340.409,8.394,8,walk
03-52-26,2,0.151,-0.175,0.125,0.965,19.556,341.480,11.512,8,walk
03-52-27,2,0.149,-0.170,0.126,0.966,19.356,342.098,11.821,8,walk
03-52-28,2,0.146,-0.179,0.123,0.965,19.055,340.848,11.301,8,walk
03-52-29,2,0.129,-0.162,0.079,0.975,16.034,342.093,6.778,8,walk
03-52-30,2,0.112,-0.199,0.090,0.969,14.652,337.854,7.756,8,walk
03-52-31,2,0.113,-0.207,0.098,0.967,15.043,337.014,8.542,8,walk
