Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-01-10,3.072,2,0.965,0.959,2.781,2.625,0.457,0.530,0.446,0.518,0.002,0.007,-0.041,0.035,-0.395,0.917,0.015,42.512,70.809,0.050,0.434,0.898,35.132,6.969,-42.945,-29.869,6.202,-39.194,-0.045,-0.392,0.918,-0.029,-0.400,0.915,,9,roller
12-01-11,0.950,2,0.948,0.813,2.479,2.349,0.487,0.552,0.473,0.543,0.003,0.006,-0.041,0.117,-0.473,0.870,0.017,46.940,75.697,0.132,0.154,0.969,34.624,6.750,-43.249,-30.269,5.941,-39.349,-0.123,-0.460,0.876,-0.113,-0.487,0.862,,9,roller
12-01-12,1.112,2,0.875,0.743,2.629,2.488,0.467,0.561,0.454,0.552,0.003,0.006,-0.041,0.061,-0.508,0.856,0.018,49.892,82.207,0.080,-0.365,0.913,34.933,6.674,-43.309,-29.971,5.828,-39.359,-0.061,-0.496,0.863,-0.056,-0.519,0.850,,9,roller
12-01-13,1.792,2,0.716,0.638,2.196,2.057,0.355,0.474,0.268,0.378,0.005,0.005,-0.033,-0.025,-0.402,0.891,0.017,38.834,73.134,-0.006,-0.673,0.575,35.421,6.615,-43.326,-29.537,5.810,-39.351,0.026,-0.396,0.701,0.024,-0.412,0.691,,9,roller
12-01-14,0.232,2,0.827,0.707,2.679,2.379,0.438,0.533,0.433,0.533,0.005,0.006,-0.039,-0.017,-0.429,0.895,0.018,36.015,90.825,0.004,-0.895,-0.182,35.399,7.078,-43.251,-29.619,6.074,-39.276,0.017,-0.396,0.811,0.014,-0.432,0.792,,9,roller
12-01-15,2.089,2,0.990,0.983,2.820,2.720,0.439,0.453,0.436,0.438,-0.007,0.007,-0.039,0.001,-0.151,0.988,-0.001,19.756,96.736,-0.003,-0.881,0.371,35.413,8.211,-43.369,-29.670,7.219,-38.295,0.011,-0.144,0.956,-0.005,-0.160,0.954,,9,roller
12-01-16,3.376,2,0.969,0.965,2.385,2.300,0.445,0.433,0.438,0.415,0.001,0.007,-0.035,0.002,-0.065,0.996,-0.047,5.923,104.163,-0.021,0.254,0.892,35.350,8.270,-42.504,-29.704,7.339,-37.342,-0.008,-0.061,0.906,0.002,-0.068,0.905,,9,roller
12-01-17,5.131,2,1.000,1.000,2.559,2.485,0.448,0.381,0.438,0.358,0.011,0.008,-0.040,0.008,0.129,0.989,-0.987,18.893,131.346,-0.044,0.699,-0.495,35.299,8.747,-41.640,-29.694,7.802,-36.178,-0.009,0.130,0.989,-0.007,0.126,0.990,,9,roller
12-01-18,3.647,2,0.917,0.923,2.628,2.536,0.400,0.365,0.350,0.300,0.003,0.007,-0.037,0.007,0.055,0.993,-1.756,28.297,114.542,-0.046,-0.297,-0.797,35.345,8.342,-42.001,-29.757,7.458,-36.845,-0.008,0.056,0.930,-0.005,0.051,0.930,,9,roller
12-01-19,2.594,2,0.899,0.864,2.586,2.440,0.450,0.463,0.447,0.447,0.003,0.006,-0.034,0.020,-0.147,0.987,-2.288,20.800,93.346,-0.018,-0.755,-0.071,35.226,8.119,-43.313,-29.851,6.981,-37.932,-0.018,-0.145,0.866,-0.020,-0.159,0.864,,9,roller
12-01-20,2.523,2,1.000,1.000,2.966,2.847,0.446,0.450,0.443,0.433,0.002,0.008,-0.040,0.017,-0.156,0.987,-3.650,9.627,113.202,-0.031,-0.351,0.814,35.314,8.152,-42.818,-29.807,6.921,-36.772,-0.012,-0.151,0.988,-0.012,-0.156,0.987,,9,roller
12-01-21,3.060,2,0.999,0.997,2.523,2.376,0.397,0.461,0.385,0.446,0.009,0.008,-0.041,-0.137,-0.190,0.969,-7.594,11.103,133.401,-0.539,0.505,0.594,36.089,8.010,-42.875,-28.814,7.088,-38.262,0.143,-0.191,0.968,0.134,-0.194,0.969,,9,roller
12-01-22,2.909,2,0.976,0.952,2.886,2.767,0.441,0.480,0.428,0.465,0.022,0.008,-0.042,-0.025,-0.259,0.964,-22.779,19.733,143.531,-0.929,0.197,0.144,35.348,7.864,-43.264,-29.564,6.863,-38.292,0.021,-0.257,0.965,0.025,-0.264,0.963,,9,roller
12-01-23,2.502,2,1.000,1.000,3.117,3.039,0.454,0.473,0.444,0.457,0.010,0.008,-0.041,0.019,-0.230,0.971,-40.221,18.463,148.390,-0.768,-0.514,0.314,35.126,7.890,-43.096,-29.799,6.965,-38.235,-0.018,-0.223,0.973,-0.026,-0.240,0.969,,9,roller
12-01-24,2.304,2,1.000,0.997,3.050,3.017,0.470,0.476,0.459,0.460,0.015,0.008,-0.042,0.068,-0.243,0.966,-52.324,8.920,160.575,-0.124,-0.351,0.859,34.873,7.895,-43.267,-30.031,6.908,-38.086,-0.065,-0.236,0.968,-0.071,-0.252,0.963,,9,roller
12-01-25,2.695,2,0.887,0.848,1.818,1.686,0.421,0.413,0.413,0.412,0.010,0.007,-0.034,0.034,-0.124,0.988,-44.459,8.432,148.402,0.020,0.546,0.729,34.991,8.254,-43.190,-29.758,7.022,-38.374,-0.034,-0.116,0.783,-0.031,-0.130,0.781,,9,roller
12-01-26,0.530,2,0.698,0.665,1.351,1.237,0.252,0.263,0.286,0.299,0.004,0.004,-0.025,0.101,-0.204,0.954,-30.823,17.556,115.883,0.466,0.296,0.471,34.377,7.334,-43.217,-30.739,6.376,-38.551,-0.107,-0.196,0.567,-0.100,-0.224,0.557,,9,roller
12-01-27,0.878,2,0.881,0.871,2.202,2.167,0.378,0.363,0.410,0.398,0.002,0.006,-0.035,0.180,-0.242,0.941,-32.288,25.654,161.076,0.342,-0.727,0.133,34.241,7.429,-43.293,-30.798,6.515,-38.566,-0.181,-0.229,0.793,-0.178,-0.247,0.788,,9,roller
12-01-28,3.417,2,1.000,1.000,3.030,2.941,0.472,0.424,0.461,0.405,0.002,0.008,-0.039,0.080,-0.006,0.992,-34.128,17.462,186.771,-0.029,-0.629,-0.694,34.864,8.257,-42.381,-30.058,7.107,-36.561,-0.079,-0.006,0.992,-0.076,-0.005,0.992,,9,roller
