Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-03-50,0.996,3,0.850,0.782,2.698,2.493,0.483,0.530,0.385,0.432,0.004,0.006,-0.038,0.092,-0.360,0.916,-31.323,26.186,102.284,0.020,-0.552,-0.621,34.629,7.439,-44.697,-30.217,6.125,-38.888,-0.091,-0.331,0.811,-0.089,-0.354,0.802,,9,roller
12-03-51,1.794,3,0.903,0.888,3.184,2.412,0.433,0.447,0.427,0.441,0.003,0.008,-0.039,-0.038,-0.074,0.977,-34.280,18.352,94.662,-0.086,-0.441,-0.796,35.488,7.993,-42.729,-29.405,7.101,-38.163,0.038,-0.083,0.971,0.058,-0.059,0.834,,9,roller
12-03-52,0.511,3,0.613,0.549,1.517,1.345,0.127,0.085,0.194,0.177,0.001,0.005,-0.026,0.167,-0.135,0.960,-27.486,5.994,53.760,-0.473,-0.267,0.057,33.958,7.628,-42.860,-30.775,6.822,-38.245,-0.153,-0.105,0.556,-0.139,-0.140,0.553,,9,roller
12-03-53,0.124,3,0.293,0.282,0.220,0.172,-0.069,-0.082,0.237,0.250,-0.001,0.002,-0.014,0.052,-0.090,0.983,-24.165,1.825,27.159,-0.280,-0.046,0.835,34.359,7.697,-42.758,-29.904,6.690,-38.253,-0.044,-0.062,0.302,-0.047,-0.100,0.292,,9,roller
12-03-54,0.251,3,0.819,0.744,2.057,1.833,0.417,0.385,0.330,0.285,0.006,0.006,-0.034,0.158,-0.149,0.970,-66.951,6.678,79.608,0.098,0.126,0.912,34.496,7.672,-42.831,-30.932,6.961,-38.221,-0.160,-0.126,0.767,-0.145,-0.161,0.733,,9,roller
12-03-55,0.693,3,0.888,0.855,2.410,2.210,0.503,0.496,0.466,0.441,0.002,0.006,-0.036,0.169,-0.229,0.952,-65.034,13.610,100.838,0.819,0.112,0.405,34.437,7.402,-42.949,-30.904,6.502,-38.394,-0.178,-0.215,0.843,-0.155,-0.237,0.812,,9,roller
12-03-56,0.457,3,0.817,0.735,3.266,2.819,0.481,0.496,0.481,0.487,0.005,0.007,-0.040,0.112,-0.292,0.947,-49.825,20.388,115.758,0.970,0.017,0.024,34.750,7.423,-42.931,-30.474,6.574,-38.334,-0.118,-0.273,0.954,-0.110,-0.326,0.908,,9,roller
12-03-57,0.300,3,0.889,0.813,2.608,2.366,0.465,0.454,0.423,0.405,0.004,0.006,-0.036,0.184,-0.253,0.939,-26.644,21.205,104.820,0.857,-0.092,-0.061,34.334,7.447,-43.144,-30.899,6.497,-38.511,-0.188,-0.218,0.803,-0.173,-0.269,0.792,,9,roller
12-03-58,2.070,3,1.000,0.995,3.316,3.086,0.590,0.481,0.593,0.459,0.002,0.007,-0.041,0.447,-0.189,0.873,-11.889,24.665,114.874,0.778,-0.307,-0.542,33.003,7.816,-43.708,-32.243,7.027,-38.907,-0.448,-0.178,0.876,-0.447,-0.198,0.871,,9,roller
12-03-59,1.350,3,0.980,0.968,3.191,3.026,0.512,0.505,0.505,0.487,0.003,0.007,-0.041,0.206,-0.285,0.926,5.556,22.794,106.977,0.749,-0.393,-0.521,34.243,7.340,-43.310,-30.814,6.504,-38.585,-0.210,-0.278,0.928,-0.195,-0.299,0.924,,9,roller
