Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-04-02,4.737,1,1.000,1.000,3.879,3.817,0.590,0.633,0.622,0.666,-0.006,-0.002,-0.025,0.104,-0.159,0.982,-49.102,4.063,44.956,0.032,0.169,-0.985,30.087,-1.951,-24.734,-33.080,-2.650,-25.410,-0.106,-0.160,0.981,-0.104,-0.157,0.982,,1,walk
12-04-03,3.509,1,1.000,0.998,3.797,3.730,0.600,0.629,0.633,0.663,-0.005,-0.002,-0.025,0.126,-0.142,0.982,-49.100,4.066,44.959,0.033,0.254,-0.966,29.927,-1.889,-24.720,-33.296,-2.688,-25.321,-0.130,-0.145,0.981,-0.123,-0.137,0.983,,1,walk
12-04-04,3.640,1,0.964,0.862,4.107,4.116,0.601,0.617,0.632,0.650,-0.017,-0.002,-0.025,0.132,-0.086,0.987,-49.094,4.068,44.965,0.040,0.332,-0.941,29.898,-1.885,-24.444,-33.250,-2.689,-25.061,-0.136,-0.087,0.986,-0.130,-0.083,0.987,,1,walk
12-04-05,3.429,1,0.988,0.910,4.072,4.020,0.600,0.645,0.633,0.684,-0.015,-0.003,-0.025,0.117,-0.141,0.982,-49.073,4.072,44.988,0.034,0.439,-0.896,29.841,-2.494,-24.280,-33.350,-3.437,-24.898,-0.123,-0.147,0.981,-0.115,-0.139,0.983,,1,walk
12-04-06,2.597,1,0.961,0.697,4.212,4.186,0.638,0.664,0.676,0.711,-0.003,-0.003,-0.025,0.214,-0.170,0.961,-49.078,4.078,44.998,0.021,0.537,-0.843,29.152,-2.957,-24.151,-34.045,-3.968,-24.971,-0.216,-0.170,0.961,-0.216,-0.169,0.961,,1,walk
12-04-07,3.804,1,0.903,0.649,3.985,3.956,0.574,0.579,0.666,0.690,-0.005,-0.003,-0.023,0.210,-0.078,0.971,-45.301,3.765,41.528,0.019,0.553,-0.661,29.227,-2.768,-23.993,-33.944,-3.704,-24.895,-0.205,-0.076,0.895,-0.208,-0.081,0.894,,1,walk
12-04-08,1.603,1,0.856,0.749,3.773,3.805,0.498,0.598,0.510,0.634,-0.013,-0.002,-0.023,-0.166,-0.026,0.974,-45.086,3.711,41.369,0.817,-0.083,0.025,31.438,-1.277,-25.490,-31.286,-2.299,-25.541,0.164,-0.014,0.894,0.158,-0.030,0.897,,1,walk
12-04-09,1.411,1,1.000,1.000,3.735,3.751,0.547,0.559,0.567,0.585,-0.008,-0.001,-0.026,-0.010,0.074,0.995,-49.143,4.006,44.854,0.940,-0.188,0.283,30.873,-0.729,-25.469,-32.053,-1.377,-25.817,0.007,0.084,0.994,0.008,0.065,0.995,,1,walk
12-04-10,3.765,1,1.000,1.000,4.029,3.981,0.595,0.613,0.626,0.652,-0.015,-0.002,-0.025,0.113,-0.100,0.988,-49.219,4.028,44.872,0.942,-0.177,0.285,29.982,-1.592,-24.885,-33.135,-2.487,-25.638,-0.113,-0.097,0.988,-0.114,-0.102,0.987,,1,walk
12-04-11,3.751,1,1.000,1.000,4.212,4.175,0.592,0.611,0.625,0.647,0.003,-0.002,-0.025,0.111,-0.099,0.989,-49.191,4.031,44.873,0.944,-0.170,0.284,30.028,-1.469,-25.080,-33.100,-2.501,-25.189,-0.107,-0.099,0.989,-0.117,-0.093,0.989,,1,walk
12-04-12,1.032,1,0.979,0.954,3.959,3.889,0.588,0.597,0.601,0.628,0.012,-0.002,-0.025,0.088,-0.066,0.977,-49.173,4.006,44.844,0.892,-0.326,0.205,30.126,-1.236,-25.029,-32.642,-1.937,-25.720,-0.096,-0.061,0.975,-0.070,-0.064,0.980,,1,walk
12-04-13,3.166,1,1.000,1.000,3.936,3.898,0.583,0.602,0.611,0.631,0.001,-0.002,-0.025,0.090,-0.060,0.988,-49.125,4.026,44.782,0.953,-0.122,0.278,30.243,-1.384,-25.029,-32.802,-2.168,-25.301,-0.092,-0.065,0.987,-0.092,-0.066,0.988,,1,walk
12-04-14,2.013,1,0.908,0.740,3.975,3.826,0.617,0.686,0.650,0.731,-0.001,-0.003,-0.025,0.168,-0.317,0.932,-49.277,4.050,44.773,0.961,-0.103,0.257,29.583,-2.498,-25.179,-33.491,-3.517,-25.694,-0.166,-0.325,0.930,-0.172,-0.312,0.933,,1,walk
12-04-15,1.349,1,0.823,0.601,3.793,3.651,0.627,0.699,0.663,0.746,-0.000,-0.003,-0.025,0.196,-0.353,0.915,-49.277,4.055,44.775,0.964,-0.060,0.258,29.440,-2.713,-25.150,-33.692,-3.717,-25.711,-0.194,-0.360,0.912,-0.200,-0.343,0.918,,1,walk
12-04-16,0.821,1,0.872,0.639,3.715,3.701,0.633,0.678,0.669,0.722,0.000,-0.003,-0.025,0.213,-0.293,0.932,-49.270,4.055,44.791,0.967,0.002,0.255,29.346,-2.429,-25.022,-33.822,-3.465,-25.574,-0.211,-0.301,0.930,-0.214,-0.280,0.936,,1,walk
12-04-17,1.449,1,0.767,0.678,2.859,3.422,0.405,0.502,0.418,0.534,-0.011,-0.002,-0.022,-0.054,-0.106,0.963,-41.417,3.383,37.667,0.286,-0.135,0.774,30.903,-1.708,-25.281,-31.860,-2.524,-25.781,0.035,-0.095,0.730,0.074,-0.115,0.839,,1,walk
12-04-18,1.531,1,0.990,0.994,3.471,3.447,0.483,0.600,0.490,0.619,0.004,-0.001,-0.026,-0.204,-0.025,0.938,-49.183,4.000,44.850,-0.464,-0.311,0.739,31.761,-1.233,-25.899,-30.823,-1.731,-26.342,0.213,-0.027,0.934,0.196,-0.020,0.944,,1,walk
12-04-19,1.753,1,0.998,0.995,3.368,3.224,0.598,0.640,0.624,0.672,-0.007,-0.002,-0.026,0.124,-0.179,0.974,-49.162,4.040,44.662,0.052,-0.134,0.990,29.991,-1.829,-25.268,-33.031,-2.518,-26.099,-0.126,-0.190,0.971,-0.120,-0.175,0.975,,1,walk
12-04-20,2.370,1,0.993,0.889,3.536,3.450,0.612,0.659,0.641,0.695,-0.002,-0.002,-0.026,0.160,-0.246,0.956,-49.156,4.049,44.667,0.051,-0.098,0.994,29.752,-2.088,-25.242,-33.329,-2.810,-26.082,-0.168,-0.252,0.953,-0.152,-0.237,0.959,,1,walk
12-04-21,3.249,1,1.000,1.000,3.859,3.840,0.597,0.613,0.625,0.644,0.004,-0.002,-0.025,0.122,-0.116,0.984,-49.153,4.039,44.729,0.055,-0.116,0.992,29.975,-1.420,-25.194,-33.057,-2.294,-25.395,-0.122,-0.117,0.984,-0.125,-0.104,0.985,,1,walk
12-04-22,1.520,1,1.000,1.000,3.903,3.865,0.599,0.518,0.620,0.545,-0.003,-0.001,-0.025,0.123,0.188,0.973,-49.165,4.002,44.783,0.063,-0.133,0.989,29.913,-0.058,-25.311,-32.913,-0.890,-25.481,-0.121,0.199,0.971,-0.125,0.183,0.974,,1,walk
12-04-23,2.074,1,1.000,1.000,3.906,3.779,0.604,0.537,0.630,0.566,-0.007,-0.001,-0.025,0.141,0.131,0.981,-49.148,4.003,44.812,0.062,-0.118,0.991,29.876,-0.394,-25.108,-33.146,-1.214,-25.430,-0.144,0.139,0.979,-0.138,0.122,0.982,,1,walk
12-04-24,2.480,1,0.945,0.886,3.562,3.496,0.605,0.630,0.630,0.665,-0.006,-0.002,-0.025,0.133,-0.137,0.962,-49.145,4.038,44.724,0.052,-0.091,0.994,29.808,-1.775,-25.017,-33.133,-2.579,-25.646,-0.135,-0.148,0.958,-0.131,-0.141,0.963,,1,walk
12-04-25,0.874,1,0.733,0.551,3.666,3.672,0.617,0.721,0.650,0.769,-0.002,-0.004,-0.026,0.165,-0.402,0.900,-49.152,4.067,44.633,0.054,-0.013,0.998,29.570,-3.042,-25.210,-33.454,-4.045,-25.889,-0.160,-0.415,0.896,-0.171,-0.390,0.905,,1,walk
12-04-26,2.636,1,0.791,0.576,3.810,3.809,0.622,0.704,0.656,0.755,-0.001,-0.003,-0.025,0.177,-0.355,0.917,-49.154,4.068,44.639,0.048,0.045,0.998,29.499,-2.930,-24.975,-33.613,-3.967,-25.722,-0.175,-0.358,0.916,-0.178,-0.348,0.920,,1,walk
12-04-27,4.035,1,0.994,0.960,4.188,4.117,0.609,0.623,0.637,0.658,-0.014,-0.002,-0.025,0.151,-0.120,0.978,-49.153,4.052,44.698,0.049,0.027,0.998,29.726,-1.876,-24.640,-33.255,-2.665,-25.239,-0.150,-0.113,0.979,-0.153,-0.115,0.978,,1,walk
12-04-28,2.060,1,1.000,1.000,4.008,3.969,0.592,0.625,0.613,0.656,-0.012,-0.002,-0.025,0.112,-0.117,0.980,-49.157,4.050,44.649,0.044,0.035,0.993,30.061,-1.929,-24.630,-32.827,-2.624,-25.194,-0.110,-0.119,0.979,-0.102,-0.120,0.981,,1,walk
12-04-29,0.951,1,0.952,0.827,3.682,3.621,0.602,0.687,0.634,0.723,-0.001,-0.003,-0.025,0.138,-0.288,0.947,-49.147,4.073,44.621,0.060,0.200,0.978,29.895,-2.809,-24.804,-33.225,-3.627,-25.382,-0.139,-0.300,0.943,-0.138,-0.275,0.951,,1,walk
12-04-30,3.220,1,0.979,0.864,3.848,3.839,0.604,0.664,0.635,0.701,-0.002,-0.003,-0.025,0.136,-0.221,0.965,-49.148,4.074,44.634,0.048,0.275,0.960,29.839,-2.562,-24.625,-33.299,-3.382,-25.187,-0.140,-0.224,0.964,-0.132,-0.216,0.967,,1,walk
12-04-31,1.363,1,0.886,0.766,4.105,4.076,0.612,0.631,0.630,0.669,-0.015,-0.003,-0.025,0.134,-0.147,0.978,-49.161,4.063,44.638,-0.037,0.244,0.955,29.664,-1.939,-24.679,-33.216,-2.897,-25.037,-0.158,-0.149,0.974,-0.121,-0.149,0.979,,1,walk
