Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
08-16-19,0,0.210,0.363,0.005,0.899,22.277,46.353,11.090,11,room
08-16-20,0,0.087,0.489,0.057,0.836,92.738,61.144,9.525,11,room
08-16-21,0,-0.012,0.710,0.093,0.696,326.660,90.737,6.366,11,room
08-16-22,0,0.121,0.647,-0.002,0.752,10.625,82.211,8.997,11,room
08-16-23,0,0.139,0.663,-0.032,0.735,14.254,85.060,8.137,11,room
08-16-24,0,0.098,0.824,-0.032,0.520,9.104,116.080,7.628,11,room
08-16-25,0,0.205,0.621,-0.175,0.704,31.241,81.835,246.846,11,room
08-16-26,0,-0.069,0.114,-0.038,-0.095,50.360,126.991,349.869,11,room
08-16-27,0,0.048,0.323,-0.023,0.127,44.513,145.732,130.654,11,room
08-16-28,0,0.309,0.594,-0.099,0.734,34.781,82.926,15.804,11,room
08-16-29,0,-0.137,0.116,0.015,-0.539,29.409,245.022,329.012,11,room
08-16-30,0,-0.150,0.101,0.002,-0.484,32.504,207.748,163.130,11,room
08-16-31,0,0.165,0.228,0.056,0.393,33.316,72.045,23.545,11,room
08-16-32,0,-0.222,0.515,-0.088,-0.799,27.245,293.874,318.452,11,room
08-16-33,0,-0.122,0.786,-0.125,-0.584,19.840,252.796,357.278,11,room
08-16-34,0,-0.054,0.965,-0.066,-0.228,8.519,206.434,269.038,11,room
08-16-35,0,0.149,0.976,-0.025,-0.096,61.619,191.411,17.602,11,room
08-16-36,0,0.040,0.885,-0.028,-0.423,41.829,230.961,5.613,11,room
08-16-37,0,0.029,0.866,0.022,-0.497,299.963,239.655,1.662,11,room
08-16-38,0,0.040,0.890,-0.007,-0.453,262.611,233.951,4.440,11,room
08-16-39,0,-0.010,0.742,-0.121,-0.652,11.097,263.343,8.286,11,room
08-16-40,0,-0.094,0.639,-0.179,-0.733,21.635,279.749,9.358,11,room
08-16-41,0,-0.056,0.820,-0.073,-0.522,10.197,245.627,187.082,11,room
08-16-42,0,0.020,0.897,0.037,-0.439,320.379,232.182,151.154,11,room
08-16-43,0,0.012,0.779,-0.070,-0.620,17.709,257.322,6.197,11,room
08-16-44,0,0.026,0.803,-0.057,-0.592,3.447,252.959,6.269,11,room
08-16-45,0,-0.004,0.840,-0.080,-0.535,19.969,245.265,4.647,11,room
08-16-46,0,0.001,0.874,-0.003,-0.486,132.234,238.191,192.195,11,room
08-16-47,0,0.030,0.888,-0.028,-0.450,155.636,233.810,4.157,11,room
08-16-48,0,0.098,0.896,0.066,-0.416,348.590,229.410,6.547,11,room
