Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
07-31-06,1,-0.213,-0.001,0.008,0.974,335.322,226.193,120.913,11,walk
07-31-07,1,-0.278,-0.037,0.052,0.958,328.064,353.233,8.178,11,walk
07-31-08,1,-0.272,-0.043,0.043,0.960,328.811,352.844,7.171,11,walk
07-31-09,1,-0.215,-0.075,0.086,0.968,336.300,333.540,12.552,11,walk
07-31-10,1,-0.077,0.234,-0.029,0.935,290.388,28.424,256.620,11,walk
07-31-11,1,-0.023,0.241,-0.046,0.943,225.216,28.938,355.017,11,walk
07-31-12,1,-0.036,0.098,-0.008,0.990,278.809,11.406,256.145,11,walk
07-31-13,1,0.049,0.460,-0.011,0.881,20.036,55.225,16.230,11,walk
07-31-14,1,0.062,0.610,-0.040,0.785,8.354,75.663,139.074,11,walk
07-31-15,1,0.012,0.670,0.035,0.739,247.611,84.233,4.000,11,walk
07-31-16,1,0.009,0.632,0.056,0.772,342.922,78.445,5.661,11,walk
07-31-17,1,0.075,0.621,0.017,0.779,5.489,77.426,6.818,11,walk
07-31-18,1,0.018,0.662,0.102,0.740,260.431,82.990,10.233,11,walk
07-31-19,1,-0.047,0.668,0.169,0.723,342.958,83.845,10.949,11,walk
07-31-20,1,0.019,0.670,0.065,0.736,169.424,84.337,7.047,11,walk
07-31-21,1,0.005,0.684,0.088,0.722,256.608,86.300,7.907,11,walk
07-31-22,1,-0.022,0.656,0.149,0.740,346.819,81.762,11.311,11,walk
07-31-23,1,0.004,0.645,0.117,0.753,298.343,80.242,10.591,11,walk
07-31-24,1,0.077,0.672,-0.008,0.736,7.148,85.073,5.262,11,walk
07-31-25,1,0.090,0.687,-0.001,0.719,50.721,87.774,7.000,11,walk
07-31-26,1,-0.098,0.663,0.169,0.722,338.487,83.704,7.152,11,walk
07-31-27,1,-0.103,0.640,0.182,0.740,337.334,79.993,8.568,11,walk
07-31-28,1,0.014,0.627,0.063,0.766,183.243,78.115,6.607,11,walk
07-31-29,1,0.056,0.658,0.018,0.747,123.421,82.824,5.791,11,walk
07-31-30,1,-0.067,0.657,0.137,0.739,343.832,82.296,6.796,11,walk
07-31-31,1,-0.058,0.659,0.140,0.737,344.308,82.572,7.728,11,walk
07-31-32,1,-0.033,0.657,0.122,0.742,347.840,82.149,8.065,11,walk
07-31-33,1,-0.049,0.690,0.116,0.711,346.677,87.578,5.808,11,walk
07-31-34,1,-0.103,0.676,0.184,0.706,336.821,85.903,7.566,11,walk
07-31-35,1,-0.066,0.681,0.146,0.712,343.043,86.472,6.994,11,walk
