Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
11-50-46,0.922,0,0.864,0.944,1.715,1.829,0.273,0.405,0.233,0.409,-0.002,0.001,-0.023,-0.033,-0.194,0.969,-41.213,1.741,61.211,-0.013,-0.080,-0.546,35.139,2.537,-33.783,-25.746,0.785,-26.824,0.018,-0.154,0.761,0.056,-0.174,0.755,,12,beach
11-50-47,3.549,0,1.000,1.000,2.793,2.968,0.430,0.592,0.393,0.585,0.006,0.001,-0.031,0.055,-0.255,0.958,-52.998,2.238,78.702,-0.127,-0.120,-0.977,34.540,2.320,-34.026,-26.315,0.523,-27.018,-0.059,-0.250,0.960,-0.049,-0.259,0.958,,12,beach
11-50-48,2.307,0,0.970,0.953,2.353,2.308,0.480,0.570,0.451,0.575,0.014,0.002,-0.028,0.147,-0.153,0.960,-45.452,1.916,67.469,-0.493,-0.076,-0.462,33.744,2.770,-34.315,-27.093,0.780,-26.764,-0.142,-0.159,0.818,-0.141,-0.150,0.767,,12,beach
11-50-49,1.396,0,0.985,0.985,2.150,2.087,0.312,0.576,0.302,0.576,0.015,0.002,-0.026,-0.132,-0.135,0.970,-42.920,1.808,63.718,-0.083,-0.083,-0.428,36.406,2.663,-34.430,-24.407,0.586,-27.287,0.147,-0.134,0.776,0.142,-0.136,0.728,,12,beach
11-50-50,1.917,0,1.000,1.000,2.945,3.116,0.411,0.522,0.375,0.520,0.000,0.002,-0.030,-0.026,-0.066,0.988,-52.940,2.237,78.704,0.724,0.072,-0.672,34.792,3.434,-34.265,-26.148,1.547,-27.083,0.005,-0.059,0.989,0.030,-0.075,0.987,,12,beach
11-50-51,1.635,0,0.945,0.962,2.466,2.563,0.406,0.567,0.386,0.568,0.003,0.002,-0.025,-0.021,-0.108,0.982,-43.346,1.831,64.297,0.483,-0.033,-0.445,34.928,2.773,-34.208,-25.934,1.174,-28.189,0.004,-0.121,0.796,0.030,-0.124,0.797,,12,beach
11-50-52,1.032,0,0.985,0.994,2.639,2.746,0.288,0.512,0.295,0.562,0.016,0.002,-0.028,-0.065,-0.204,0.945,-45.448,1.909,66.964,0.410,-0.357,-0.454,36.121,2.760,-35.573,-24.325,1.181,-27.489,0.060,-0.207,0.799,0.086,-0.202,0.800,,12,beach
11-50-53,1.407,0,0.977,0.985,2.595,2.697,0.400,0.587,0.358,0.586,0.008,0.001,-0.027,-0.047,-0.183,0.978,-45.719,2.282,67.503,0.660,-0.153,-0.399,35.304,2.348,-34.020,-25.559,0.412,-26.954,0.028,-0.170,0.799,0.059,-0.180,0.795,,12,beach
11-50-54,2.069,0,1.000,1.000,3.189,3.323,0.379,0.561,0.343,0.557,0.020,0.002,-0.033,-0.064,-0.133,0.981,-52.927,2.672,78.186,0.774,-0.077,-0.606,35.427,2.734,-34.507,-25.440,0.712,-27.056,0.058,-0.128,0.983,0.084,-0.132,0.979,,12,beach
11-50-55,1.388,0,1.000,1.000,3.291,3.400,0.382,0.609,0.342,0.610,0.008,0.001,-0.031,-0.046,-0.196,0.978,-52.928,2.660,78.183,0.744,-0.193,-0.639,35.419,1.636,-34.373,-25.388,-0.418,-27.327,0.036,-0.187,0.980,0.067,-0.203,0.975,,12,beach
