Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-54-30,0,0.005,-0.940,0.023,0.340,2.618,219.741,213.083,12,beach
11-54-31,0,-0.014,-0.955,-0.023,0.290,216.082,213.755,110.427,12,beach
11-54-32,0,-0.018,-0.968,-0.078,0.238,350.861,207.631,179.870,12,beach
11-54-33,0,-0.000,-0.958,-0.093,0.265,349.745,211.174,357.184,12,beach
11-54-34,0,-0.003,-0.802,-0.068,0.560,353.603,250.283,355.766,12,beach
11-54-35,0,0.024,-0.479,0.001,0.872,197.441,302.531,193.681,12,beach
11-54-36,0,0.095,-0.293,0.040,0.944,11.879,325.561,105.702,12,beach
11-54-37,0,0.096,-0.350,0.044,0.931,12.117,318.909,0.901,12,beach
11-54-38,0,0.015,-0.451,-0.004,0.889,241.328,306.194,284.094,12,beach
11-54-39,0,0.022,-0.418,0.004,0.907,49.464,310.565,265.524,12,beach
11-54-40,0,0.002,-0.434,0.009,0.898,135.638,308.495,91.120,12,beach
11-54-41,0,-0.013,-0.494,-0.027,0.869,357.198,300.790,343.102,12,beach
11-54-42,0,-0.017,-0.488,-0.027,0.872,356.759,301.605,358.270,12,beach
11-54-43,0,-0.022,-0.486,-0.028,0.873,356.223,301.791,358.411,12,beach
11-54-44,0,-0.008,-0.466,-0.012,0.884,248.903,304.475,249.680,12,beach
11-54-45,0,-0.041,-0.489,-0.027,0.870,354.340,301.298,218.851,12,beach
11-54-46,0,-0.101,-0.520,-0.054,0.847,346.931,296.811,16.461,12,beach
11-54-47,0,-0.084,-0.517,-0.054,0.850,348.508,297.469,250.144,12,beach
11-54-48,0,-0.084,-0.515,-0.062,0.851,348.076,297.688,358.835,12,beach
11-54-49,0,-0.092,-0.511,-0.063,0.852,347.192,298.196,359.258,12,beach
11-54-50,0,-0.116,-0.506,-0.080,0.850,343.782,298.707,326.099,12,beach
11-54-51,0,-0.138,-0.500,-0.117,0.847,339.497,299.533,356.317,12,beach
11-54-52,0,-0.152,-0.502,-0.131,0.841,337.223,299.161,355.798,12,beach
11-54-53,0,-0.171,-0.486,-0.156,0.842,333.911,301.419,353.808,12,beach
11-54-54,0,-0.137,-0.458,-0.142,0.866,338.379,305.689,352.541,12,beach
11-54-55,0,-0.234,-0.480,-0.216,0.817,323.871,302.122,350.883,12,beach
11-54-56,0,-0.258,-0.481,-0.229,0.806,320.504,301.590,351.024,12,beach
11-54-57,0,-0.286,-0.468,-0.235,0.802,317.229,302.836,351.370,12,beach
11-54-58,0,-0.057,-0.349,-0.107,0.902,208.163,318.442,352.818,12,beach
11-54-59,0,0.178,-0.194,0.019,0.922,110.016,218.286,153.186,12,beach
