Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-32-11,1,-0.016,-0.072,0.024,0.997,358.360,351.654,2.859,13,walk
12-32-12,1,-0.032,-0.081,0.047,0.995,356.839,350.514,5.711,13,walk
12-32-13,1,-0.018,-0.060,0.038,0.997,358.218,352.989,4.469,13,walk
12-32-14,1,-0.009,-0.064,0.038,0.997,359.214,352.638,4.404,13,walk
12-32-15,1,-0.139,-0.057,0.037,0.985,344.258,352.633,5.211,13,walk
12-32-16,1,-0.217,-0.052,0.032,0.974,335.216,352.774,5.338,13,walk
12-32-17,1,-0.137,-0.075,0.040,0.982,294.938,350.531,5.706,13,walk
12-32-18,1,-0.021,-0.089,0.062,0.987,184.377,349.432,7.024,13,walk
12-32-19,1,-0.212,-0.060,0.056,0.974,336.005,351.133,8.529,13,walk
12-32-20,1,-0.229,-0.069,0.058,0.969,334.111,349.667,9.241,13,walk
12-32-21,1,-0.226,-0.062,0.048,0.971,334.410,350.934,7.774,13,walk
12-32-22,1,-0.110,-0.095,0.041,0.976,246.998,348.205,5.411,13,walk
12-32-23,1,0.259,-0.003,-0.010,0.958,30.506,195.698,195.100,13,walk
12-32-24,1,0.185,0.538,-0.161,0.770,28.505,69.082,284.655,13,walk
12-32-25,1,0.120,0.861,-0.300,0.389,37.682,130.811,316.633,13,walk
12-32-26,1,0.158,0.826,-0.239,0.484,33.227,119.921,131.673,13,walk
12-32-27,1,0.184,0.679,-0.161,0.686,28.264,90.126,2.341,13,walk
12-32-28,1,0.112,0.518,-0.059,0.837,14.391,63.471,120.726,13,walk
12-32-29,1,0.169,0.321,-0.047,0.930,20.159,38.217,81.216,13,walk
12-32-30,1,0.173,0.412,-0.139,0.872,24.686,49.479,314.094,13,walk
12-32-31,1,0.201,0.781,-0.115,0.573,24.299,109.869,11.287,13,walk
12-32-32,1,0.138,0.773,-0.100,0.602,18.385,105.223,116.667,13,walk
12-32-33,1,0.079,0.661,-0.118,0.736,15.846,83.284,355.891,13,walk
12-32-34,1,0.064,0.647,-0.077,0.754,11.413,81.023,332.238,13,walk
12-32-35,1,0.066,0.641,-0.076,0.760,11.316,80.012,291.454,13,walk
12-32-36,1,0.062,0.653,-0.035,0.754,7.938,81.877,1.617,13,walk
12-32-37,1,0.083,0.642,-0.090,0.755,13.932,80.398,264.813,13,walk
12-32-38,1,0.098,0.628,-0.118,0.761,17.323,78.484,305.010,13,walk
12-32-39,1,0.046,0.658,-0.033,0.751,6.522,82.531,0.620,13,walk
12-32-40,1,0.048,0.656,-0.039,0.752,7.123,82.231,80.246,13,walk
