Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-50-42,0,0.230,-0.633,0.421,0.607,54.352,279.226,22.372,2,beach
03-50-43,0,0.201,-0.666,0.413,0.585,51.867,273.289,21.127,2,beach
03-50-44,0,-0.053,-0.887,0.031,0.445,285.426,233.441,7.667,2,beach
03-50-45,0,0.013,-0.932,-0.044,0.355,340.726,221.805,311.821,2,beach
03-50-46,0,0.041,-0.952,-0.003,0.303,15.530,215.274,355.460,2,beach
03-50-47,0,0.025,-0.949,-0.009,0.315,172.723,216.765,356.921,2,beach
03-50-48,0,0.020,-0.948,-0.012,0.316,359.362,216.879,357.409,2,beach
03-50-49,0,0.025,-0.949,-0.007,0.314,210.126,216.645,357.013,2,beach
03-50-50,0,0.104,-0.889,0.102,0.424,15.791,230.235,354.464,2,beach
03-50-51,0,0.062,-0.886,0.058,0.444,95.468,232.687,356.299,2,beach
03-50-52,0,-0.033,-0.877,-0.082,0.473,349.906,236.766,328.865,2,beach
03-50-53,0,-0.017,-0.904,-0.064,0.416,352.508,229.494,313.688,2,beach
03-50-54,0,0.014,-0.980,-0.079,-0.158,350.765,161.688,187.800,2,beach
03-50-55,0,0.041,-0.926,-0.120,-0.352,345.397,138.291,75.608,2,beach
03-50-56,0,0.060,-0.879,-0.109,-0.457,345.724,125.088,258.775,2,beach
03-50-57,0,0.046,-0.889,-0.086,-0.440,348.820,127.382,234.407,2,beach
03-50-58,0,0.046,-0.933,-0.088,-0.345,348.639,139.573,358.512,2,beach
03-50-59,0,0.027,-0.935,-0.060,-0.345,352.413,139.578,287.414,2,beach
03-51-00,0,0.003,-0.874,0.064,-0.477,6.306,122.468,356.026,2,beach
03-51-01,0,-0.002,-0.742,0.062,-0.665,5.487,96.093,355.478,2,beach
03-51-02,0,-0.026,-0.669,0.083,-0.738,8.583,84.044,354.915,2,beach
03-51-03,0,0.020,-0.760,0.016,-0.621,259.050,101.602,356.434,2,beach
03-51-04,0,0.032,-0.913,-0.049,-0.367,353.506,136.224,358.292,2,beach
03-51-05,0,0.006,-0.303,-0.007,-0.353,354.749,68.323,97.302,2,beach
03-51-06,0,-0.052,0.407,0.023,0.911,353.495,48.139,152.269,2,beach
03-51-07,0,-0.055,0.106,-0.011,0.969,353.847,150.946,358.407,2,beach
03-51-08,0,-0.128,-0.376,-0.032,0.914,345.069,314.965,32.348,2,beach
03-51-09,0,0.047,-0.480,-0.018,0.874,93.769,302.205,340.564,2,beach
03-51-10,0,0.074,-0.457,-0.018,0.886,6.645,305.088,354.289,2,beach
03-51-11,0,-0.144,-0.432,-0.097,0.875,292.983,307.731,278.555,2,beach
