Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-17-54,2,0.015,-0.691,0.017,0.722,2.622,272.481,180.171,2,sea
04-17-55,2,-0.007,-0.676,0.002,0.737,239.651,274.955,144.700,2,sea
04-17-56,2,-0.022,-0.678,0.007,0.735,358.702,274.591,14.771,2,sea
04-17-57,2,-0.017,-0.693,0.018,0.720,192.056,272.141,2.858,2,sea
04-17-58,2,0.021,-0.636,0.004,0.769,2.325,280.757,238.879,2,sea
04-17-59,2,0.013,-0.587,0.015,0.809,2.200,288.072,99.784,2,sea
04-18-00,2,-0.009,-0.671,0.050,0.738,3.205,275.600,4.848,2,sea
04-18-01,2,-0.011,-0.743,0.049,0.667,3.307,263.913,4.722,2,sea
04-18-02,2,-0.026,-0.817,0.054,0.571,3.441,250.061,5.946,2,sea
04-18-03,2,0.024,-0.754,0.010,0.654,2.725,261.895,246.954,2,sea
04-18-04,2,0.006,-0.749,0.029,0.662,2.890,263.049,1.697,2,sea
04-18-05,2,-0.034,-0.825,0.060,0.548,4.018,247.395,7.007,2,sea
04-18-06,2,-0.084,-0.954,0.073,0.272,5.369,212.405,11.622,2,sea
04-18-07,2,-0.059,-0.988,0.051,0.128,4.897,195.077,7.454,2,sea
04-18-08,2,-0.020,-0.992,0.046,0.113,4.994,193.140,2.913,2,sea
04-18-09,2,0.023,-0.959,0.051,0.271,6.426,211.444,217.702,2,sea
04-18-10,2,0.032,-0.942,0.054,0.329,7.024,218.372,358.538,2,sea
04-18-11,2,0.030,-0.920,0.050,0.387,6.674,225.548,275.983,2,sea
04-18-12,2,-0.003,-0.944,0.056,0.324,5.997,218.036,57.861,2,sea
04-18-13,2,0.004,-0.940,0.033,0.340,3.725,219.848,107.531,2,sea
04-18-14,2,-0.012,-0.953,0.035,0.299,3.540,214.930,2.472,2,sea
04-18-15,2,-0.022,-0.977,0.027,0.211,2.457,204.501,3.099,2,sea
04-18-16,2,-0.010,-0.987,0.013,0.157,1.271,198.043,42.857,2,sea
04-18-17,2,0.011,-0.980,-0.013,0.199,331.075,202.924,358.458,2,sea
04-18-18,2,0.003,-0.980,-0.009,0.200,359.066,203.116,359.506,2,sea
04-18-19,2,0.002,-0.981,-0.005,0.195,359.455,202.524,319.631,2,sea
04-18-20,2,-0.013,-0.992,-0.001,0.127,359.643,194.627,1.469,2,sea
04-18-21,2,-0.006,-0.995,-0.010,0.100,358.746,191.445,0.544,2,sea
04-18-22,2,-0.014,-0.999,-0.011,0.049,358.688,185.642,1.598,2,sea
04-18-23,2,-0.008,-0.999,-0.003,0.036,346.295,184.166,27.539,2,sea
