Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-15-14,1,0.014,0.381,-0.001,0.924,1.468,44.853,62.596,2,sea
04-15-15,1,0.012,0.381,0.001,0.924,1.288,44.813,13.006,2,sea
04-15-16,1,0.020,0.381,-0.007,0.924,2.461,44.831,167.281,2,sea
04-15-17,1,0.008,0.447,-0.020,0.894,1.820,53.161,358.352,2,sea
04-15-18,1,-0.001,0.571,-0.057,0.818,3.694,69.701,354.646,2,sea
04-15-19,1,-0.014,0.736,-0.078,0.669,5.573,95.085,352.723,2,sea
04-15-20,1,0.028,0.711,-0.021,0.701,4.092,90.811,130.194,2,sea
04-15-21,1,-0.001,0.686,-0.018,0.724,1.423,86.860,291.769,2,sea
04-15-22,1,0.014,0.620,-0.000,0.785,1.236,76.592,0.974,2,sea
04-15-23,1,0.005,0.634,-0.003,0.773,0.690,78.763,192.891,2,sea
04-15-24,1,0.026,0.607,-0.002,0.794,2.555,74.881,49.643,2,sea
04-15-25,1,0.022,0.629,-0.021,0.777,3.510,78.012,218.300,2,sea
04-15-26,1,0.019,0.671,-0.031,0.740,4.023,84.365,284.314,2,sea
04-15-27,1,0.042,0.612,-0.006,0.790,4.259,75.598,27.289,2,sea
04-15-28,1,0.033,0.644,-0.023,0.764,4.576,80.292,90.433,2,sea
04-15-29,1,0.027,0.699,-0.045,0.713,5.833,88.730,358.512,2,sea
04-15-30,1,0.018,0.750,-0.042,0.659,4.974,97.305,358.301,2,sea
04-15-31,1,0.017,0.765,-0.022,0.643,3.240,99.881,173.666,2,sea
04-15-32,1,0.015,0.791,-0.016,0.611,2.548,104.633,128.805,2,sea
04-15-33,1,0.047,0.819,-0.026,0.570,5.536,110.514,2.818,2,sea
04-15-34,1,0.081,0.828,-0.042,0.553,9.204,112.912,5.086,2,sea
04-15-35,1,0.017,0.956,0.007,0.270,273.535,148.505,30.725,2,sea
04-15-36,1,0.004,0.927,-0.017,0.371,29.661,136.348,290.427,2,sea
04-15-37,1,0.015,0.918,-0.008,0.395,1.495,133.389,1.228,2,sea
04-15-38,1,0.003,0.966,-0.022,0.256,2.482,150.311,235.108,2,sea
04-15-39,1,0.016,0.985,-0.034,0.160,4.131,161.552,1.133,2,sea
04-15-40,1,0.012,0.998,-0.032,0.051,3.740,174.210,1.233,2,sea
04-15-41,1,0.002,0.995,0.011,-0.076,185.956,188.792,201.596,2,sea
04-15-42,1,0.015,0.976,0.075,-0.203,351.268,203.518,215.956,2,sea
04-15-43,1,0.038,0.977,0.064,-0.199,351.987,202.824,2.773,2,sea
