Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-33-44,2.196,3,0.977,0.941,3.009,2.923,0.752,0.284,0.567,0.426,-0.006,0.006,-0.022,0.009,-0.249,0.959,-52.780,2.439,76.774,0.246,0.008,-0.903,24.638,8.154,-20.483,-31.743,4.488,-23.660,-0.018,-0.245,0.916,-0.016,-0.236,0.917,,3,beach
04-33-45,2.168,3,0.930,0.951,2.873,2.795,0.616,0.194,0.501,0.393,-0.006,0.006,-0.021,-0.162,-0.134,0.960,-48.340,2.241,70.732,0.828,-0.012,-0.218,25.747,8.813,-20.213,-30.634,5.270,-24.629,0.178,-0.123,0.877,0.150,-0.139,0.883,,3,beach
04-33-46,1.579,3,0.502,0.582,1.417,1.308,0.113,-0.193,0.198,0.123,-0.004,0.004,-0.013,-0.090,-0.072,0.975,-29.107,1.351,42.710,0.396,0.019,0.561,25.810,9.232,-19.137,-30.100,5.624,-24.840,0.104,-0.058,0.526,0.099,-0.069,0.530,,3,beach
04-33-47,0.860,3,0.805,0.959,3.046,2.951,0.671,0.203,0.490,0.358,0.000,0.008,-0.021,-0.218,-0.052,0.964,-52.330,2.426,76.817,-0.534,0.105,0.786,25.984,9.424,-19.324,-30.402,5.649,-23.589,0.215,-0.043,0.963,0.192,-0.075,0.971,,3,beach
04-33-48,2.707,3,0.905,0.953,2.957,2.805,0.736,0.242,0.552,0.383,-0.008,0.007,-0.022,-0.021,-0.168,0.980,-52.273,2.418,76.847,-0.384,-0.067,0.878,24.944,8.856,-19.689,-31.472,5.456,-23.999,0.021,-0.165,0.980,0.027,-0.166,0.979,,3,beach
04-33-49,1.224,3,0.762,0.829,2.382,2.443,0.710,0.202,0.574,0.387,0.000,0.006,-0.018,0.039,-0.161,0.971,-44.710,2.071,65.825,0.714,-0.139,0.288,24.368,8.846,-19.780,-31.741,5.309,-23.455,-0.042,-0.153,0.796,-0.031,-0.149,0.826,,3,beach
04-33-50,0.904,3,0.865,0.869,2.635,2.529,0.554,0.088,0.490,0.329,0.003,0.007,-0.019,-0.010,-0.150,0.981,-45.976,2.137,67.972,0.854,-0.166,0.025,24.460,9.354,-20.311,-31.513,5.488,-24.174,-0.010,-0.147,0.828,0.039,-0.143,0.827,,3,beach
04-33-51,0.491,3,0.799,0.950,2.921,2.818,0.589,0.136,0.469,0.344,0.003,0.008,-0.021,-0.249,-0.005,0.960,-49.992,2.328,73.963,0.376,-0.055,0.833,26.490,10.035,-20.343,-30.065,5.783,-23.134,0.239,0.014,0.887,0.228,-0.024,0.892,,3,beach
04-33-52,0.511,3,0.819,0.993,3.125,2.975,0.686,0.174,0.505,0.335,-0.000,0.008,-0.020,-0.157,0.011,0.972,-50.084,2.319,74.019,-0.611,-0.044,0.768,25.785,9.997,-19.940,-30.702,5.795,-22.607,0.161,0.029,0.935,0.143,-0.009,0.938,,3,beach
04-33-53,1.008,3,0.706,0.824,2.231,2.207,0.370,-0.130,0.610,0.297,-0.021,0.005,-0.018,0.162,0.009,0.970,-42.745,1.970,63.148,-0.183,-0.053,0.916,22.879,10.047,-20.347,-33.512,5.723,-23.151,-0.105,0.024,0.738,-0.135,0.011,0.728,,3,beach
