Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-30-00,1,0.022,-0.793,0.084,-0.602,6.094,105.199,352.141,3,beach
04-30-01,1,0.069,-0.784,0.081,-0.611,2.483,103.850,347.989,3,beach
04-30-02,1,0.093,-0.785,0.074,-0.608,180.139,104.501,346.356,3,beach
04-30-03,1,0.092,-0.788,0.069,-0.604,259.059,105.057,346.862,3,beach
04-30-04,1,0.086,-0.777,0.023,-0.622,298.306,103.046,350.733,3,beach
04-30-05,1,0.143,-0.776,0.004,-0.613,350.218,104.540,346.668,3,beach
04-30-06,1,0.175,-0.777,-0.016,-0.604,346.335,106.064,344.946,3,beach
04-30-07,1,0.074,-0.793,0.006,-0.602,269.068,106.114,352.793,3,beach
04-30-08,1,-0.035,-0.750,0.047,-0.658,6.650,97.413,186.588,3,beach
04-30-09,1,-0.018,-0.751,0.080,-0.655,8.197,97.513,355.489,3,beach
04-30-10,1,-0.006,-0.764,0.086,-0.640,7.982,99.709,354.101,3,beach
04-30-11,1,-0.002,-0.779,0.068,-0.623,6.211,102.413,355.380,3,beach
04-30-12,1,0.050,-0.770,0.067,-0.632,2.251,101.053,350.689,3,beach
04-30-13,1,0.062,-0.778,0.070,-0.622,1.824,102.570,349.401,3,beach
04-30-14,1,0.074,-0.779,0.065,-0.619,0.532,103.051,348.693,3,beach
04-30-15,1,0.075,-0.786,0.045,-0.611,283.737,104.414,350.042,3,beach
04-30-16,1,0.129,-0.780,0.046,-0.610,355.100,104.643,344.976,3,beach
04-30-17,1,0.106,-0.830,0.045,-0.509,256.193,117.601,318.947,3,beach
04-30-18,1,-0.039,-0.950,0.064,0.237,6.113,208.435,6.335,3,beach
04-30-19,1,-0.094,-0.786,0.034,-0.286,8.355,143.336,9.581,3,beach
04-30-20,1,-0.156,-0.687,0.043,-0.708,16.221,89.674,9.245,3,beach
04-30-21,1,-0.049,-0.712,0.017,-0.700,5.307,91.152,2.621,3,beach
04-30-22,1,-0.003,-0.731,0.031,-0.681,2.898,93.975,331.186,3,beach
04-30-23,1,0.006,-0.750,0.061,-0.658,4.833,97.272,354.839,3,beach
04-30-24,1,0.014,-0.759,0.070,-0.646,5.083,98.903,353.550,3,beach
04-30-25,1,0.016,-0.783,0.091,-0.615,7.046,103.168,352.037,3,beach
04-30-26,1,0.026,-0.797,0.074,-0.598,4.978,105.920,352.462,3,beach
04-30-27,1,0.001,-0.775,0.041,-0.629,3.530,101.777,357.003,3,beach
04-30-28,1,0.045,-0.761,0.037,-0.647,187.111,99.272,353.368,3,beach
04-30-29,1,0.062,-0.773,0.038,-0.630,358.894,101.740,351.804,3,beach
