Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-02-29,0,-0.014,0.950,-0.126,-0.281,14.308,213.372,2.756,3,room
04-02-30,0,0.002,0.973,-0.074,-0.218,8.259,205.435,2.152,3,room
04-02-31,0,-0.003,0.930,-0.078,-0.358,8.495,222.278,2.845,3,room
04-02-32,0,-0.095,0.785,-0.202,-0.541,25.374,250.569,5.356,3,room
04-02-33,0,-0.233,0.475,-0.221,-0.815,36.400,303.018,10.369,3,room
04-02-34,0,-0.103,0.815,-0.217,-0.444,28.750,239.066,25.399,3,room
04-02-35,0,-0.010,0.954,-0.201,-0.222,22.833,207.080,4.405,3,room
04-02-36,0,-0.020,0.931,-0.175,-0.315,19.804,218.173,4.472,3,room
04-02-37,0,-0.168,0.467,-0.160,-0.758,27.095,298.984,8.804,3,room
04-02-38,0,-0.327,0.251,-0.133,-0.900,41.074,330.970,5.729,3,room
04-02-39,0,-0.344,0.270,-0.152,-0.886,43.796,328.691,6.556,3,room
04-02-40,0,-0.311,0.265,-0.139,-0.901,39.445,329.405,6.261,3,room
04-02-41,0,-0.128,0.078,-0.075,-0.980,15.492,264.894,6.943,3,room
04-02-42,0,-0.046,0.040,-0.111,-0.991,17.027,288.488,12.482,3,room
04-02-43,0,-0.145,0.098,-0.093,-0.979,17.654,349.995,9.245,3,room
04-02-44,0,-0.274,0.224,-0.130,-0.924,34.493,335.105,7.898,3,room
04-02-45,0,-0.355,0.234,-0.143,-0.894,44.493,333.683,7.284,3,room
04-02-46,0,-0.368,0.226,-0.155,-0.888,46.437,335.462,9.184,3,room
04-02-47,0,-0.350,0.209,-0.162,-0.898,44.209,338.585,11.688,3,room
04-02-48,0,-0.289,0.106,-0.154,-0.938,35.095,352.155,16.023,3,room
04-02-49,0,-0.233,0.134,-0.142,-0.951,28.827,347.315,13.517,3,room
04-02-50,0,-0.363,0.178,-0.156,-0.901,45.276,342.797,12.438,3,room
04-02-51,0,-0.331,0.212,-0.141,-0.908,41.403,337.043,8.841,3,room
04-02-52,0,-0.197,0.173,-0.172,-0.945,25.486,343.209,17.004,3,room
04-02-53,0,-0.190,0.599,-0.294,-0.705,39.572,283.902,13.132,3,room
04-02-54,0,-0.185,0.804,-0.334,-0.397,44.249,235.960,170.948,3,room
04-02-55,0,-0.052,0.940,-0.300,-0.120,35.535,194.277,298.476,3,room
04-02-56,0,0.041,0.967,-0.247,-0.010,28.500,182.502,5.377,3,room
04-02-57,0,0.064,0.955,-0.285,0.043,33.429,176.801,6.747,3,room
04-02-58,0,0.049,0.924,-0.375,0.026,44.189,178.983,5.665,3,room
