Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-55-20,2,-0.028,0.131,0.033,0.989,274.557,14.962,3.252,3,sea
04-55-21,2,0.043,0.133,0.040,0.989,4.208,15.508,5.210,3,sea
04-55-22,2,0.030,0.150,0.045,0.987,2.662,17.444,5.684,3,sea
04-55-23,2,0.059,0.145,0.045,0.986,5.944,17.095,6.067,3,sea
04-55-24,2,0.130,0.140,0.058,0.979,13.735,17.427,9.066,3,sea
04-55-25,2,0.058,0.140,0.043,0.985,172.060,16.697,6.002,3,sea
04-55-26,2,0.022,0.154,0.037,0.987,1.890,17.793,4.535,3,sea
04-55-27,2,0.035,0.150,0.043,0.987,3.209,17.405,5.469,3,sea
04-55-28,2,0.052,0.147,0.040,0.987,5.198,17.149,5.427,3,sea
04-55-29,2,0.051,0.150,0.039,0.987,5.074,17.542,5.283,3,sea
04-55-30,2,0.047,0.158,0.036,0.986,4.680,18.432,4.944,3,sea
04-55-31,2,0.048,0.197,0.034,0.979,4.647,22.956,4.918,3,sea
04-55-32,2,0.048,0.191,0.039,0.980,4.595,22.235,5.499,3,sea
04-55-33,2,0.050,0.207,0.035,0.976,4.758,24.115,5.165,3,sea
04-55-34,2,0.051,0.236,0.025,0.969,5.027,27.568,4.237,3,sea
04-55-35,2,0.042,0.516,-0.035,0.848,6.268,62.603,303.667,3,sea
04-55-36,2,0.030,0.695,-0.031,0.714,5.005,88.462,138.372,3,sea
04-55-37,2,0.031,0.800,-0.028,0.597,4.777,106.602,173.745,3,sea
04-55-38,2,0.009,0.888,-0.039,0.445,4.798,126.759,243.796,3,sea
04-55-39,2,0.022,0.958,-0.031,0.280,4.162,147.476,44.669,3,sea
04-55-40,2,0.056,0.954,-0.019,0.279,4.200,147.563,48.777,3,sea
04-55-41,2,0.039,0.966,-0.023,0.237,3.976,152.485,108.829,3,sea
04-55-42,2,0.099,0.934,-0.002,0.330,4.248,141.442,10.699,3,sea
04-55-43,2,0.103,0.857,0.016,0.502,4.390,119.703,11.140,3,sea
04-55-44,2,0.088,0.809,0.021,0.580,3.928,109.082,9.608,3,sea
04-55-45,2,0.087,0.773,0.024,0.625,4.260,102.437,9.474,3,sea
04-55-46,2,0.103,0.585,0.063,0.791,5.595,73.587,12.873,3,sea
04-55-47,2,0.084,0.280,0.104,0.950,5.798,33.669,14.329,3,sea
04-55-48,2,0.055,0.152,0.093,0.977,4.803,18.130,11.523,3,sea
04-55-49,2,0.036,0.094,0.060,0.991,3.653,11.042,7.236,3,sea
