Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-59-36,4,0.059,0.891,-0.016,-0.450,358.545,233.562,6.845,3,sea
04-59-37,4,0.059,0.885,-0.021,-0.460,359.008,234.867,7.117,3,sea
04-59-38,4,0.064,0.842,0.013,-0.535,354.805,244.613,5.429,3,sea
04-59-39,4,0.040,0.827,-0.006,-0.560,177.932,248.203,4.208,3,sea
04-59-40,4,0.016,0.818,-0.040,-0.573,2.678,250.143,4.171,3,sea
04-59-41,4,-0.007,0.775,-0.042,-0.630,4.224,258.292,2.409,3,sea
04-59-42,4,0.015,0.793,-0.064,-0.605,4.880,254.900,5.794,3,sea
04-59-43,4,0.080,0.911,-0.118,-0.380,8.978,226.390,13.716,3,sea
04-59-44,4,0.073,0.943,-0.083,-0.311,6.408,217.026,11.018,3,sea
04-59-45,4,0.076,0.943,-0.010,-0.323,298.336,217.681,8.593,3,sea
04-59-46,4,0.035,0.916,0.001,-0.399,358.340,227.071,3.665,3,sea
04-59-47,4,0.040,0.897,-0.003,-0.439,358.287,232.107,4.229,3,sea
04-59-48,4,0.036,0.879,-0.014,-0.474,359.412,236.650,4.367,3,sea
04-59-49,4,0.044,0.883,-0.022,-0.466,269.898,235.620,5.584,3,sea
04-59-50,4,0.074,0.925,-0.033,-0.370,0.400,223.687,9.273,3,sea
04-59-51,4,0.038,0.897,-0.027,-0.440,0.854,232.326,5.282,3,sea
04-59-52,4,0.062,0.914,-0.038,-0.398,1.131,227.086,8.241,3,sea
04-59-53,4,0.065,0.927,-0.042,-0.367,1.753,223.361,8.678,3,sea
04-59-54,4,0.054,0.926,-0.043,-0.371,2.284,223.823,7.606,3,sea
04-59-55,4,0.048,0.921,-0.047,-0.382,2.918,225.264,7.154,3,sea
04-59-56,4,-0.009,0.849,-0.027,-0.519,3.518,242.901,210.750,3,sea
04-59-57,4,-0.022,0.737,-0.029,-0.674,4.128,264.890,111.150,3,sea
04-59-58,4,-0.030,0.632,-0.032,-0.772,4.985,281.423,15.673,3,sea
04-59-59,4,-0.008,0.591,-0.025,-0.806,2.439,287.542,1.808,3,sea
05-00-00,4,0.035,0.740,-0.055,-0.666,2.187,264.186,7.153,3,sea
05-00-01,4,0.023,0.727,-0.045,-0.684,1.942,266.620,5.430,3,sea
05-00-02,4,0.002,0.558,-0.048,-0.827,2.912,292.113,4.764,3,sea
05-00-03,4,-0.031,0.257,-0.036,-0.951,4.803,329.906,3.509,3,sea
05-00-04,4,-0.070,-0.101,-0.002,-0.991,7.911,11.696,84.065,3,sea
05-00-05,4,-0.063,-0.232,0.012,-0.971,7.306,26.865,83.463,3,sea
