Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-51-00,1.316,0,0.712,0.764,3.324,3.431,0.456,0.579,0.359,0.653,0.003,-0.001,-0.021,-0.064,-0.242,0.954,-36.840,2.943,36.574,-0.018,-0.277,-0.398,34.981,2.385,-30.153,-29.116,-4.143,-25.864,0.059,-0.241,0.705,0.076,-0.279,0.732,,4,walk
04-51-01,1.389,0,0.938,0.970,4.754,4.524,0.419,0.553,0.392,0.738,0.003,-0.001,-0.028,-0.114,-0.299,0.947,-49.236,3.887,48.584,0.012,-0.662,-0.749,35.420,2.354,-30.204,-28.807,-4.172,-25.945,0.099,-0.286,0.953,0.125,-0.310,0.942,,4,walk
04-51-02,2.162,0,0.920,0.918,4.025,3.851,0.438,0.523,0.408,0.704,-0.007,-0.001,-0.026,-0.071,-0.221,0.969,-45.233,3.559,44.514,-0.029,-0.613,-0.604,35.135,3.022,-31.076,-29.071,-3.446,-26.406,0.050,-0.197,0.856,0.072,-0.207,0.852,,4,walk
04-51-03,1.994,0,0.854,0.809,3.484,3.001,0.317,0.358,0.286,0.519,0.006,0.001,-0.024,-0.072,0.012,0.992,-41.562,3.302,40.660,-0.007,-0.135,-0.675,35.445,3.837,-31.101,-28.827,-2.711,-25.722,0.065,0.012,0.839,0.079,0.024,0.802,,4,walk
04-51-04,1.025,0,0.688,0.693,3.670,3.609,0.433,0.556,0.325,0.646,0.013,0.000,-0.028,-0.103,-0.301,0.913,-47.083,3.748,45.939,-0.065,-0.432,-0.756,35.221,2.642,-30.917,-28.572,-4.282,-25.631,0.064,-0.275,0.809,0.147,-0.279,0.788,,4,walk
04-51-05,1.279,0,0.845,0.919,4.418,4.337,0.443,0.530,0.394,0.715,0.003,-0.001,-0.028,-0.074,-0.250,0.941,-49.037,3.909,47.839,-0.001,-0.325,-0.927,35.087,2.771,-30.327,-28.875,-3.889,-25.377,0.032,-0.228,0.951,0.124,-0.260,0.928,,4,walk
04-51-06,1.505,0,0.999,0.870,4.515,4.311,0.486,0.453,0.464,0.632,-0.003,-0.000,-0.027,0.094,0.054,0.986,-49.014,3.897,47.807,-0.004,-0.099,-0.995,34.574,3.356,-29.895,-29.809,-3.042,-25.244,-0.103,0.061,0.985,-0.098,0.043,0.985,,4,walk
04-51-07,0.849,0,0.092,0.478,0.069,4.224,0.231,0.466,0.588,0.698,-0.028,-0.003,-0.026,0.413,-0.125,0.900,-48.933,3.875,47.843,-0.034,-0.096,-0.995,33.014,2.493,-29.998,-31.891,-3.827,-25.782,-0.064,-0.008,0.181,-0.417,-0.130,0.898,,4,walk
04-51-08,1.073,0,0.396,0.641,2.589,4.707,0.433,0.536,0.541,0.685,-0.014,-0.002,-0.027,0.278,-0.165,0.938,-48.972,3.899,47.830,-0.014,-0.130,-0.991,33.386,2.954,-30.143,-31.212,-3.554,-25.079,-0.113,-0.098,0.604,-0.277,-0.168,0.937,,4,walk
04-51-09,0.770,0,0.664,0.733,3.938,4.119,0.465,0.549,0.361,0.629,0.007,-0.000,-0.025,-0.031,-0.254,0.952,-43.370,3.466,42.322,0.034,-0.240,-0.725,34.889,2.895,-30.566,-29.111,-4.096,-24.843,-0.002,-0.248,0.840,0.080,-0.270,0.866,,4,walk
