Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-49-56,0,0.016,0.708,0.035,0.705,296.429,90.169,4.174,4,walk
04-49-57,0,0.016,0.717,0.037,0.695,358.242,91.746,4.317,4,walk
04-49-58,0,0.005,0.745,0.003,0.667,154.450,96.289,77.771,4,walk
04-49-59,0,0.014,0.753,-0.009,0.657,1.805,97.777,93.860,4,walk
04-50-00,0,0.020,0.705,0.039,0.707,251.879,89.764,4.879,4,walk
04-50-01,0,0.006,0.709,0.061,0.702,355.502,90.363,5.423,4,walk
04-50-02,0,0.018,0.737,0.002,0.675,121.165,95.062,1.719,4,walk
04-50-03,0,0.045,0.746,-0.022,0.664,5.369,96.700,2.160,4,walk
04-50-04,0,0.064,0.594,0.008,0.793,5.427,73.922,4.977,4,walk
04-50-05,0,0.059,-0.188,0.052,0.941,7.981,244.470,4.890,4,walk
04-50-06,0,-0.008,-0.717,0.077,0.685,5.819,267.761,6.827,4,walk
04-50-07,0,0.049,-0.265,0.068,0.924,7.670,328.270,6.965,4,walk
04-50-08,0,0.068,-0.064,0.074,0.992,8.349,353.213,8.015,4,walk
04-50-09,0,0.033,-0.057,0.081,0.994,4.285,353.760,9.062,4,walk
04-50-10,0,0.009,0.006,0.033,0.999,85.023,84.667,3.734,4,walk
04-50-11,0,0.026,0.019,0.037,0.998,2.925,40.852,4.290,4,walk
04-50-12,0,-0.006,-0.040,0.100,0.994,218.439,316.757,11.534,4,walk
04-50-13,0,-0.015,-0.022,0.083,0.996,358.543,357.335,9.539,4,walk
04-50-14,0,0.009,0.012,0.033,0.999,129.591,130.018,3.788,4,walk
04-50-15,0,-0.031,-0.040,0.068,0.996,294.757,355.231,7.913,4,walk
04-50-16,0,-0.093,0.004,0.037,0.995,349.278,161.499,4.275,4,walk
04-50-17,0,0.011,0.048,0.023,0.998,88.019,5.575,2.723,4,walk
04-50-18,0,0.017,-0.050,0.047,0.988,2.283,140.880,5.222,4,walk
04-50-19,0,-0.017,-0.682,0.055,0.723,3.046,273.526,6.053,4,walk
04-50-20,0,0.025,0.467,-0.015,-0.143,1.349,232.337,7.082,4,walk
04-50-21,0,0.022,-0.637,0.118,0.560,12.169,259.831,7.940,4,walk
04-50-22,0,0.023,0.865,-0.221,-0.189,26.254,210.155,9.675,4,walk
04-50-23,0,0.032,0.951,-0.274,-0.133,30.923,198.402,9.030,4,walk
04-50-24,0,0.011,0.944,-0.275,-0.183,30.993,204.223,8.179,4,walk
04-50-25,0,0.029,0.953,-0.256,-0.116,29.042,195.803,7.645,4,walk
