Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-08-48,2,0.065,-0.633,-0.055,0.769,1.764,280.916,350.420,8,beach
04-08-49,2,0.064,-0.632,-0.063,0.769,130.680,281.040,349.825,8,beach
04-08-50,2,0.042,-0.616,-0.086,0.782,357.734,283.791,349.255,8,beach
04-08-51,2,0.064,-0.614,-0.097,0.781,358.935,283.735,346.671,8,beach
04-08-52,2,0.072,-0.626,-0.095,0.771,296.916,281.908,346.343,8,beach
04-08-53,2,0.092,-0.642,-0.063,0.758,19.010,279.059,347.622,8,beach
04-08-54,2,0.043,-0.625,-0.084,0.775,357.870,282.398,349.374,8,beach
04-08-55,2,0.010,-0.637,-0.095,0.765,353.931,280.936,350.932,8,beach
04-08-56,2,-0.025,-0.646,-0.121,0.753,348.770,279.571,351.184,8,beach
04-08-57,2,-0.022,-0.664,-0.122,0.737,348.815,276.876,351.124,8,beach
04-08-58,2,-0.076,-0.635,-0.178,0.746,340.201,281.121,349.497,8,beach
04-08-59,2,-0.104,-0.625,-0.239,0.736,333.162,282.721,345.628,8,beach
04-09-00,2,-0.108,-0.644,-0.235,0.720,332.760,279.493,347.076,8,beach
04-09-01,2,-0.215,-0.578,-0.320,0.718,317.187,289.055,343.082,8,beach
04-09-02,2,-0.221,-0.584,-0.349,0.699,314.177,288.467,340.732,8,beach
04-09-03,2,-0.032,-0.640,-0.188,0.733,343.063,280.149,345.307,8,beach
04-09-04,2,0.019,-0.647,-0.078,0.758,355.881,279.342,351.829,8,beach
04-09-05,2,0.029,-0.643,-0.087,0.760,356.080,279.834,350.202,8,beach
04-09-06,2,0.039,-0.723,-0.040,0.686,136.972,267.048,353.467,8,beach
04-09-07,2,-0.009,-0.673,-0.077,0.735,353.292,275.388,354.030,8,beach
04-09-08,2,-0.028,-0.654,-0.100,0.750,350.040,278.418,353.420,8,beach
04-09-09,2,-0.071,-0.650,-0.130,0.745,344.079,278.601,353.904,8,beach
04-09-10,2,-0.086,-0.638,-0.157,0.749,340.748,280.417,352.375,8,beach
04-09-11,2,-0.089,-0.644,-0.171,0.740,339.385,279.444,351.571,8,beach
04-09-12,2,-0.126,-0.636,-0.199,0.733,334.024,280.233,351.339,8,beach
04-09-13,2,-0.172,-0.594,-0.281,0.734,324.053,286.894,345.110,8,beach
04-09-14,2,-0.185,-0.602,-0.300,0.716,321.239,285.314,344.637,8,beach
04-09-15,2,0.014,-0.656,-0.104,0.741,216.143,277.672,349.890,8,beach
04-09-16,2,-0.014,-0.639,-0.059,0.767,354.488,280.588,355.836,8,beach
04-09-17,2,-0.003,-0.639,-0.080,0.765,353.817,280.551,353.163,8,beach
