Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-21-54,1,-0.017,-0.375,0.058,-0.925,4.342,43.877,354.589,8,room
04-21-55,1,0.069,0.361,-0.099,0.207,18.607,76.880,355.711,8,room
04-21-56,1,0.087,0.861,-0.182,0.438,23.200,125.315,221.635,8,room
04-21-57,1,0.003,0.979,-0.117,0.140,13.440,163.547,358.377,8,room
04-21-58,1,-0.060,0.982,-0.070,-0.091,8.816,190.112,353.912,8,room
04-21-59,1,-0.074,0.886,-0.049,-0.431,8.880,231.455,354.747,8,room
04-22-00,1,-0.078,0.767,-0.042,-0.634,9.343,258.844,356.156,8,room
04-22-01,1,-0.103,0.628,-0.053,-0.769,13.035,281.273,357.172,8,room
04-22-02,1,-0.067,0.837,-0.115,0.196,10.794,154.620,349.935,8,room
04-22-03,1,-0.008,0.760,-0.073,0.617,89.514,101.473,353.108,8,room
04-22-04,1,-0.040,0.934,-0.002,0.354,358.647,138.582,355.645,8,room
04-22-05,1,-0.029,0.930,-0.044,0.364,61.519,137.037,355.102,8,room
04-22-06,1,-0.026,0.928,-0.056,0.368,4.826,136.498,354.849,8,room
04-22-07,1,-0.028,0.925,-0.065,0.373,5.659,135.787,354.253,8,room
04-22-08,1,-0.039,0.971,-0.068,0.183,6.806,158.292,353.896,8,room
04-22-09,1,-0.044,0.998,-0.030,0.040,3.260,175.293,354.785,8,room
04-22-10,1,-0.037,0.995,-0.029,0.084,2.967,170.192,355.448,8,room
04-22-11,1,-0.040,0.996,-0.037,0.072,3.855,171.509,355.056,8,room
04-22-12,1,-0.054,0.919,-0.092,0.237,7.978,150.832,351.159,8,room
04-22-13,1,-0.082,0.815,-0.060,-0.559,11.055,248.481,356.105,8,room
04-22-14,1,-0.080,0.719,-0.007,-0.690,6.923,267.294,353.879,8,room
04-22-15,1,-0.085,0.797,0.008,-0.594,4.999,252.979,351.573,8,room
04-22-16,1,-0.205,0.631,-0.137,-0.706,27.905,276.056,232.735,8,room
04-22-17,1,-0.171,0.229,-0.051,-0.954,20.664,333.186,65.228,8,room
04-22-18,1,-0.103,0.367,0.031,-0.907,9.201,315.297,352.416,8,room
04-22-19,1,-0.082,0.681,0.031,-0.719,4.269,272.762,350.849,8,room
04-22-20,1,-0.094,0.269,0.035,-0.956,9.232,327.969,353.224,8,room
04-22-21,1,-0.095,0.397,0.036,-0.887,7.828,310.938,351.192,8,room
04-22-22,1,-0.108,0.722,0.020,-0.683,6.848,266.152,349.386,8,room
04-22-23,1,-0.095,0.742,0.011,-0.660,6.279,262.832,350.913,8,room
