Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-25-38,2,0.002,0.966,0.023,0.249,264.573,150.979,117.114,8,room
04-25-39,2,-0.141,0.869,-0.150,-0.307,22.293,217.352,352.390,8,room
04-25-40,2,-0.226,0.854,-0.185,-0.430,30.708,229.151,344.614,8,room
04-25-41,2,-0.246,0.874,-0.224,-0.159,83.843,195.732,338.787,8,room
04-25-42,2,0.005,0.780,-0.134,0.598,94.001,104.743,350.848,8,room
04-25-43,2,0.085,0.802,-0.237,0.370,28.167,130.385,232.597,8,room
04-25-44,2,-0.178,0.805,-0.280,-0.483,39.036,241.343,196.317,8,room
04-25-45,2,-0.210,0.850,-0.197,-0.389,30.639,227.172,348.982,8,room
04-25-46,2,-0.055,0.908,-0.021,0.270,132.156,146.751,352.646,8,room
04-25-47,2,-0.014,0.654,-0.059,0.754,3.234,81.684,353.850,8,room
04-25-48,2,-0.017,0.687,-0.082,0.710,5.274,87.928,352.183,8,room
04-25-49,2,-0.027,0.982,-0.120,0.132,13.197,164.101,354.968,8,room
04-25-50,2,0.004,0.973,-0.140,0.126,16.132,165.291,277.608,8,room
04-25-51,2,-0.151,0.904,-0.272,-0.201,32.684,201.487,206.523,8,room
04-25-52,2,-0.096,0.949,-0.298,0.016,34.251,173.913,346.647,8,room
04-25-53,2,-0.050,0.836,-0.532,-0.021,64.890,176.098,350.114,8,room
04-25-54,2,-0.024,0.729,-0.683,0.026,84.101,124.074,304.158,8,room
04-25-55,2,-0.043,0.774,-0.631,0.014,77.435,158.187,335.779,8,room
04-25-56,2,0.004,0.745,-0.665,0.017,83.367,168.299,268.659,8,room
04-25-57,2,-0.020,0.716,-0.695,0.014,85.546,81.517,260.960,8,room
04-25-58,2,-0.027,0.808,-0.316,0.433,32.139,118.084,339.187,8,room
04-25-59,2,0.043,0.767,-0.157,0.617,17.102,101.321,352.537,8,room
04-26-00,2,-0.011,0.697,-0.085,0.711,5.891,88.448,352.107,8,room
04-26-01,2,-0.015,0.678,-0.102,0.727,6.660,85.454,350.234,8,room
04-26-02,2,-0.033,0.723,-0.059,0.687,2.315,92.734,352.528,8,room
04-26-03,2,-0.042,0.785,-0.050,0.615,1.582,103.726,352.660,8,room
04-26-04,2,-0.029,0.772,-0.074,0.631,4.442,101.191,352.095,8,room
04-26-05,2,-0.014,0.825,-0.132,0.529,12.113,113.878,351.343,8,room
04-26-06,2,0.034,0.906,-0.262,0.328,29.763,138.265,352.664,8,room
04-26-07,2,0.055,0.906,-0.271,0.317,31.814,140.057,355.043,8,room
