Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-29-38,3,-0.027,-0.895,-0.084,0.436,349.966,232.036,238.592,9,sea
12-29-39,3,-0.018,-0.886,-0.067,0.458,352.201,234.792,358.315,9,sea
12-29-40,3,-0.018,-0.886,-0.063,0.459,352.616,234.930,358.498,9,sea
12-29-41,3,-0.012,-0.870,-0.063,0.489,353.041,238.839,357.677,9,sea
12-29-42,3,-0.030,-0.860,-0.057,0.506,352.589,240.938,161.047,9,sea
12-29-43,3,-0.054,-0.898,-0.051,0.432,352.146,231.215,3.049,9,sea
12-29-44,3,-0.040,-0.929,-0.073,0.360,350.513,222.250,67.936,9,sea
12-29-45,3,-0.033,-0.945,-0.071,0.317,351.147,217.044,134.371,9,sea
12-29-46,3,-0.017,-0.948,-0.063,0.311,352.554,216.411,212.907,9,sea
12-29-47,3,-0.022,-0.982,-0.061,0.178,352.720,200.496,98.167,9,sea
12-29-48,3,-0.015,-0.983,-0.066,0.172,352.235,199.828,115.613,9,sea
12-29-49,3,-0.002,-0.978,-0.066,0.196,352.567,202.743,358.751,9,sea
12-29-50,3,-0.003,-0.973,-0.067,0.222,352.474,205.829,358.677,9,sea
12-29-51,3,-0.001,-0.963,-0.066,0.260,352.621,210.371,358.085,9,sea
12-29-52,3,-0.010,-0.957,-0.069,0.281,352.124,212.791,358.840,9,sea
12-29-53,3,-0.013,-0.951,-0.067,0.302,352.207,215.333,359.057,9,sea
12-29-54,3,-0.010,-0.944,-0.066,0.322,352.468,217.689,358.621,9,sea
12-29-55,3,0.037,-0.810,-0.084,0.560,355.006,249.679,351.129,9,sea
12-29-56,3,0.025,-0.584,-0.092,0.803,356.004,288.289,349.689,9,sea
12-29-57,3,-0.035,-0.518,-0.052,0.852,353.533,297.542,232.921,9,sea
12-29-58,3,-0.043,-0.479,-0.035,0.875,353.748,302.677,309.197,9,sea
12-29-59,3,-0.060,-0.455,-0.018,0.888,352.927,305.655,36.206,9,sea
12-30-00,3,-0.072,-0.550,-0.014,0.829,352.177,292.569,3.331,9,sea
12-30-01,3,-0.054,-0.729,-0.065,0.679,350.316,266.009,207.130,9,sea
12-30-02,3,-0.053,-0.688,-0.063,0.716,350.466,272.357,279.001,9,sea
12-30-03,3,-0.055,-0.623,-0.070,0.777,350.052,282.729,357.661,9,sea
12-30-04,3,-0.053,-0.622,-0.066,0.778,350.495,282.903,357.840,9,sea
12-30-05,3,-0.051,-0.618,-0.062,0.782,350.982,283.534,358.062,9,sea
12-30-06,3,-0.030,-0.505,-0.078,0.856,352.605,299.287,354.065,9,sea
12-30-07,3,-0.043,-0.407,-0.064,0.910,352.467,312.050,355.339,9,sea
